Der EGKS-Vertrag wird in Kürze auslaufen.	The ECSC Treaty is due to expire shortly.
Deshalb ist die Frage, die uns heute beschäftigen muß, insbesondere die, wie künftig die Stahlbeihilfen gehandhabt werden.	Hence, what we must focus on today is the question as to how state aid is to be managed in future.
Die Entscheidungen der Europäischen Kommission, die in dem Bericht dargelegt werden, werden vom Europäischen Parlament begrüßt, einschließlich der Entscheidung, Mittel in einem konkreten Fall zurückzufordern und damit den Artikel 88 des EGKS-Vertrags anzuwenden.	The European Commission' s decisions, which feature in the report, are welcomed by the European Parliament, as is the decision to ask for the money back in specific cases, thus applying Article 88 of the ECSC Treaty.
Die Wettbewerbsfähigkeit der europäischen Stahlindustrie ist gleichzeitig auch Inhalt der jüngsten Mitteilung der Kommission, über die wir im Parlament noch nicht beraten haben.	The competitiveness of the European steel industry also forms the subject of the Commission' s most recent communication, which we have not yet debated in Parliament.
Wie in anderen Bereichen auch gilt für die Eisen- und Stahlindustrie das generelle Beihilfeverbot nach Artikel 87 Absatz 1 des EG-Vertrags.	As in other sectors, the general ban on state aid according to Article 87 (1) of the EC Treaty also applies to the iron and steel industry.
Nach diesem Artikel sind staatliche Beihilfen grundsätzlich mit dem gemeinsamen Markt unvereinbar.	According to this article, state aid is irreconcilable with the common market, in principle.
Ausnahmen sind nur in genau definierten Fällen erlaubt.	Exemptions are only permitted in precisely defined cases.
Gemäß Artikel 88 ist die Kommission zur Kontrolle staatlicher Beihilfen verpflichtet.	Under Article 88, the Commission is obliged to supervise state aid.
Im Jahre 1998 war der größte Fall die Zuführung von Eigenkapital an die PREUSSAG in Deutschland in Höhe von 540 Millionen Euro.	In 1998, the largest case concerned the supply of company capital totalling EUR 540 million to the PREUSSAG in Germany.
Außerdem müssen die Mitgliedstaaten der Kommission ihre Beihilfevorhaben vorher mitteilen.	Furthermore, the Member States must give the Commission advance warning with regard to their intentions concerning state aid.
Für den Bereich der Stahlindustrie sind die geltenden Regeln am 18. Dezember 1996 aufgestellt worden.	The rules pertaining to the steel industry were drawn up on 18 December 1996.
Danach können Beihilfen zugunsten der Stahlindustrie nur in bestimmten, genau definierten Fällen vergeben werden. Es sind Forschungs- und Entwicklungshilfen, Umweltschutzhilfen, soziale Beihilfen zur Förderung der Schließung von Stahlwerksanlagen und Beihilfen für endgültige Betriebsaufgaben nichtwettbewerbsfähiger Unternehmen.	These stipulate that state aid can only be awarded to the steel industry in particular, precisely-defined cases i.e. those involving aid for research and development, aid for environmental protection, social security to ease the closure of steelworks and aid to help non-competitive enterprises cease trading altogether.
Zusätzlich gibt es eine Sonderregelung bis zu 50 Millionen Euro für den Mitgliedstaat Griechenland.	In addition, there is a special provision of up to EUR 50 million for Greece.
Offensichtlich gab es bei der praktischen Handhabung des Stahlbeihilfekodex in den vergangenen Jahren jedoch Probleme, die im Bericht nicht vollständig erörtert wurden.	However, there were obviously problems with the practical administration of the steel aid code over the past few years that were not brought fully to bear in the report.
Aus der Sicht des Parlaments ist es wichtig, daß heute bereits über eine Anschlußregelung nach Auslaufen dieses Stahlbeihilfekodex geredet wird.	As far as Parliament is concerned, it is important for us to waste no time in getting down to a debate on the regulations that are to succeed this state aid code once it has expired.
Eine Aufweichung der bestehenden Grundlinien des Stahlkodex darf nicht beschlossen werden.	There must be no watering-down of the existing principles underlying the steel aid code.
Niemand will einen hemmungslosen Subventionswettlauf in Europa.	No one wants an unimpeded subsidy competition in Europe.
Dies würde den Binnenmarkt auch nach der Konsolidierung der Stahlindustrie in den letzten Jahren erheblich beeinträchtigen.	This would be to the considerable disadvantage of the internal market, regardless of the fact that the steel industry has undergone consolidation in the past few years.
Deshalb hält es das Parlament für erforderlich, daß der Stahlsubventionskodex im Hinblick auf die von der Industrie behauptete Ungleichbehandlung abgeändert wird und die Kommission dem Rat eine Nachfolgeregelung unterbreitet.	Consequently, Parliament believes it is necessary for the steel aid code to be amended in the light of the industry' s claims about unequal treatment, and for the Commission to provide the Council with follow-up regulations.
Es ist bekannt, daß der Rat sich bisher geweigert hat, eine solche Nachfolgeregelung zu beschließen.	We all know that so far the Council has dragged its feet with regard to follow-up regulations of this kind.
Das liegt auch daran, daß man glaubt, wenn der Stahlbeihilfenkodex ausläuft, kann man wieder ohne die lästige Kontrolle durch die Europäische Kommission machen, was man will.	The reason for this is that people are under the impression that once the steel aid code expires, they will be able to do their own thing again without the inconvenience of the European Commission' s supervision.
Wir fordern deshalb, daß nach Auslaufen des Vertrags die Stahlbeihilfen durch eine Ratsverordnung nach Artikel 94 geregelt werden müssen, weil nur so die notwendige Rechtsverbindlichkeit und Klarheit möglich ist.	We therefore demand that once the Treaty expires, steel aid must be regulated by a Council regulation according to Article 94, for that is the only way to create the necessary legal validity and clarity.
Das strikte Verbot aller Beihilfen, die nicht vom Kodex gedeckt sind, kann nur so durchgesetzt werden.	This is the only way to enforce the strict ban on all aid not covered by the code.
Eine Ratsverordnung, die unmittelbar geltendes Recht ist, muß auch von den regionalen Regierungen beachtet werden.	A Council regulation that is directly applicable law must also be observed by the regional governments.
Beeinträchtigungen der Wettbewerbsbedingungen und Störungen des Gleichgewichts auf den Märkten müssen auch in Zukunft vermieden werden.	What we need to avoid doing in the future is compromising competition conditions and disturbing the balance in the markets.
Zu kritisieren ist auch die Praxis der Kommission, Mehrfachbeihilfen für Stahlunternehmen zu genehmigen, die nach ihrer Ansicht nicht unter die Kategorien des Kodex fallen, auch wenn der Europäische Gerichtshof in einzelnen Entscheidungen diese Ungleichbehandlung gebilligt hat.	We also need to criticise the Commission' s practice of approving multiple aid packages for steel enterprises which in their view, do not fall within the categories of the code, even given the fact that the European Court of Justice approved this unequal treatment where certain individual decisions were concerned.
In einem noch zu erstellenden Bericht für das Jahr 1999 wird die Kommission aufgefordert, ihre aktive Rolle bei der Ausarbeitung von Umstrukturierungsplänen und genehmigten Ausnahmefällen detailliert darzulegen und damit auf dieser Grundlage eine sachgerechte Bewertung der Gesamtzusammenhänge zu ermöglichen.	The Commission will be called upon, in a report that has yet to be compiled for the year 1999, to give a detailed explanation of its active role in the elaboration of restructuring plans and approved exemptions, thus enabling a proper assessment of the overall situation to be made.
Nachdem der Wirtschafts- und Währungsausschuß den Berichtsentwurf einstimmig bei zwei Enthaltungen angenommen hat, bitte ich darum, daß wir im Plenum diese Vorgabe, die wir selbst hier dargelegt haben, voll und ganz erfüllen.	Once the Committee on Economic and Monetary Affairs has adopted the draft report unanimously with two abstentions, I would ask that we make full use of this opportunity, which we have ourselves created, in plenary sitting.
