Herr Präsident, Herr Kommissar! Jawohl, wir brauchen Wettbewerb!	Mr President, Commissioner, competition is exactly what we need.
Wir brauchen Wettbewerb um die geringste Arbeitslosigkeit, um eine ausgefeilte Gesundheitsversorgung, um soziale Gerechtigkeit, um hohe soziale Standards, und wir brauchen natürlich auch - das sind volkswirtschaftliche Wettbewerbskriterien - den betriebswirtschaftlichen Wettbewerb: höchste Qualität der Produkte, gleiche Marktzugangsbedingungen aller Unternehmen, umweltfreundliche Produkte.	We need competition if there is the least unemployment, for a smooth-running healthcare system, for social justice, for high social standards, and, of course, we also need - these are competition criteria to do with the economy - business management competition so as to achieve highest-quality products, equal market access conditions for all enterprises, and environmentally-friendly products.
Das heißt, es muß uns gelingen, die volkswirtschaftlich notwendigen Wettbewerbskriterien mit den betriebswirtschaftlichen zu koppeln.	In other words, we must succeed in linking the competition criteria that are necessary to the economy with those relating to managerial economics.
Ich habe manchmal den Eindruck, im Gegensatz zu dem Land, aus dem ich komme - aus der DDR -, wo die volkswirtschaftliche Wettbewerbsfähigkeit über alles gestellt wurde und die betriebswirtschaftliche außer acht gelassen wurde, wird jetzt sehr häufig das Gegenteil gemacht; die Gesellschaft denkt fast nur betriebswirtschaftlich.	I often have the impression, unlike the country I come from - former East Germany - where economic competitiveness is prized above all else and competitiveness relating to managerial economics is disregarded, that very often the reverse is the case; society thinks almost exclusively in terms of managerial economics.
Das sage ich Ihnen selber als Unternehmer, der durchaus daran interessiert ist.	I say that as an entrepreneur who has a vested interest in this.
Aber so kann ein System nicht funktionieren! Es geht nur in der Kopplung.	But a system cannot function in this way: it will only work if the two aspects go hand in hand.
Ich gebe ihnen ein Beispiel: Die Europäische Union hat zu Recht das Stahlwerk Grönitz in Brandenburg gefördert, obwohl von 5 000 Arbeitsplätzen nur noch 700 übriggeblieben sind.	I will give you an example: the European Union was right to support the Grönitz steelworks in Brandenburg, although out of 5 000 jobs only 700 remained.
Das sind aber wettbewerbsfähige Arbeitsplätze, denn dieses Stahlwerk ist jetzt die Nummer 2 der Werkzeugstahlhersteller in der Bundesrepublik Deutschland.	But these are competitive jobs, for this steelworks is now the number two tool steel manufacturer in the Federal Republic of Germany.
Wer jetzt durch Rückforderung der damals zugebilligten Beihilfen im Prinzip die Produktion dieses Stahlwerks gefährdet, gefährdet nicht nur das Stahlwerk selbst, er gefährdet in dieser Region einen Arbeitgeber, von dem natürlich auch kleine und mittelständische Unternehmen abhängen.	Anyone who would jeopardise production at this steelworks on principle, by demanding the return of the aid that was granted at the time, would not just place the steelworks itself in jeopardy but also one of the region' s employers that small and medium-sized enterprises are, of course, dependent on too.
Das kann natürlich keine Wettbewerbspolitik der Europäischen Union sein!	It goes without saying that that is not what the European Union' s competition policy is designed to achieve.
Wenn wir Wettbewerb haben wollen, dann müssen wir diese Kopplung zwischen den volkswirtschaftlichen Notwendigkeiten und den betriebswirtschaftlichen Voraussetzungen hinkriegen.	If we want there to be competition then we must establish this link between the requirements of the national economy and the pre-requisites of managerial economics.
Das ist auch die einzige Chance, in den unterentwickelten Regionen über diesen Weg regionale Wirtschaftskreisläufe aufzubauen, die dazu führen, daß die Leute sozial abgesichert sind, daß die Kaufkraft gestärkt wird.	Indeed that is the only way to build up regional economic circulation in the under-developed regions that will protect people' s social welfare and boost purchasing power.
Damit müssen wir auch eine nachfrageorientierte Wirtschaftspolitik entschieden stärker berücksichtigen als nur die angebotsorientierte!	To that end, we must also make it our business to take more account of demand-orientated economic policy as opposed to one focusing heavily on supply.
