Herr Präsident, meine sehr verehrten Damen und Herren, liebe Kolleginnen und Kollegen!	Mr President, the monopolies' ban is the key element of functioning competition order in Europe.
Das Kartellverbot ist das Kernstück einer funktionierenden Wettbewerbsordnung in Europa. Die praktische Handhabung der Überwachung des Kartellverbots ist von der Kommission als unbefriedigend empfunden worden; dem ist zunächst auch zuzustimmen.	The Commission deemed the practical administration relating to the monitoring of the monopolies' ban to be unsatisfactory, something I would wholeheartedly agree with.
Aber im Hinblick auf die Lösung gehen die Meinungen auseinander.	But opinion differs as to the solution.
Der Vorschlag der Kommission weicht formal vom Kartellverbot nicht ab, aber im Ergebnis ist dieser Vorschlag ein Übergang von einem Verbot mit Erlaubnisvorbehalt zu einer Erlaubnis mit Verbotsvorbehalt.	The Commission' s proposal does not formally deviate from the monopolies ban but the upshot of this proposal is a transition from a ban with permit reservation to a permit with ban reservation.
Dies ist der Übergang vom Verbotsprinzip zum Mißbrauchsprinzip.	In other words, we are making the transition from the principle of banning to that of misuse.
Ein derart gravierender Systemwechsel wird von mir und von anderen Kollegen entschieden abgelehnt.	Both I and other MEPs utterly reject such a drastic change of system.
Ich akzeptiere nicht, daß ein Umsetzungsproblem in der Praxis der Grund für eine Änderung der Rechtsordnung sein soll.	I do not accept that a practical transposition problem should give rise to changing the law.
Wir ändern das Recht, damit es wieder exekutierbar wird; das finde ich so nicht akzeptabel.	We would be changing the law to make it executable again, which is something I consider to be unacceptable.
Die Kommission gibt ihr Freistellungsmonopol auf.	The Commission is giving up its monopoly on exemptions.
Vor dem Hintergrund dieses geplanten Systems der Legalausnahme sind Wettbewerbsbeschränkungen ohne weiteres freigestellt, sofern die Voraussetzungen des Artikels 81 Absatz 3 EGV vorliegen.	Competition restrictions are to be automatically exempted against the background of this planned system of legal exemption, insofar as the provisions of Article 81(3) of the Treaty on European Union allow.
Die Notwendigkeit von Anmeldungen in Brüssel entfällt, das heißt, die Kommission befindet sich bezüglich dieses Sachverhalts zukünftig im Blindflug.	The requirement to lodge applications in Brussels will be dropped; in other words, the Commission will be completely in the dark in future.
Dies halte ich nicht für akzeptabel.	This is unacceptable to my mind.
Ergänzt wird das Konzept der Kommission durch eine verstärkte nachträgliche Kontrolle der nationalen Behörden und der Gerichte der Mitgliedstaaten.	The Commission' s programme is to be supplemented by enhanced follow-up supervision of the national authorities and Member States' courts.
Hier werden wir aber, wenn dies im Rahmen einer Renationalisierung so stattfindet, zu einem wettbewerbspolitischen Flickenteppich in Europa kommen.	But if this takes place in the course of renationalisation then what we will have here is a patchwork quilt of competition policy.
Ich glaube, daß dies nicht akzeptabel ist.	This is unacceptable in my view.
Hier wird ein Kernbestand der europäischen Politik geschwächt.	It would weaken a key element of European policy.
Der von der Europäischen Kommission ins Auge gefaßte Systemwechsel im europäischen Kartellrecht ist wettbewerbspolitisch hoch riskant.	The change of system in European monopolies law that the European Commission is contemplating is high risk as far as competition policy is concerned.
Wir haben genügend andere Optionen im vorhandenen System, um offene Märkte und freien Wettbewerb zu sichern.	There are enough other options in the present system to safeguard open markets and free competition.
Im übrigen kommt die Kommission mit ihrem Vorschlag wieder auf alte Vorschläge zurück, die schon einmal in den fünfziger und sechziger Jahren unterbreitet wurden.	In any case, the Commission' s proposal refers back to old proposals that were put forward as long ago as the fifties and sixties.
Damals fand das keine Mehrheit.	There was no majority for this at the time.
Weil Frankreich damals die Legalausnahme sehr stark in den Vordergrund gestellt hat, wurde es durch Zugeständnisse in der Agrarpolitik entschädigt.	Since France laid a huge amount of emphasis on legal exemption at the time, it was damaged by concessions in agricultural policy.
Vierzig Jahre später kommt dieser Vorschlag nun wieder auf den Tisch, und er wird - da bin ich mir sicher - Spielräume schaffen für Kartellbildungen zu Lasten der Verbraucher in Europa.	Forty years on, this proposal has again been placed on the table and I am certain that it will create room for manoeuvre for the monopolies, to the detriment of Europe' s consumers.
Dies halte ich nicht für akzeptabel!	I consider this to be unacceptable.
