Herr Präsident, ich würde ganz gern noch schnell zu zwei Punkten etwas sagen.	Mr President, I would very much just like to add to two particular points.
Erstens: Ich möchte nicht auf die philosophischen Fragen der Subsidiarität und der Souveränität der Mitgliedstaaten Bezug nehmen, obwohl ich sehr dafür bin, eine solche Debatte zu führen, weil mein regelmäßiger Blick in britische Fernsehsender mir doch offenbart, was dort von nationalen Politikern an Bedrohung für die heimische Rechtskultur durch den Kontinent beschworen wird.	Firstly, I would not wish to take up the philosophical issues of subsidiarity and the sovereignty of Member States, although I am very much in favour of having such a debate, for my regular viewing of British television programmes has shown me what the national politicians are conjuring up there in the way of threats posed by the continent to the home-grown legal system.
Manchmal ist das schon kabarettreif und verdient eine Diskussion. Das ist aber nicht mein Punkt.	Sometimes it is worthy of satire and merits discussion, but I digress.
Mein Punkt ist der Bericht von Frau Theato.	The point I want to make relates to Mrs Theato' s report.
Ich glaube, daß man sich bei den juristischen Schwierigkeiten, die hier bestehen - und offensichtlich gibt es nur einen ganz schmalen Pfad für die Europäische Union, diese Straftatbestände als europäische Straftatbestände justiziabel zu machen -, auf dem Pfad juristisch verheddert hat.	I believe that as far as the judicial difficulties are concerned that we are facing here - and the European Union evidently has only very limited room for manoeuvre when it comes to making these offences litigable as European criminal offences - we have become embroiled in legalities.
Ich beziehe mich auf die Empfehlungen 1 und 2. Es steht ja nicht mehr ein europäischer Staatsanwalt drin, sondern aus juristischen Gründen ist es nun eine unabhängige europäische Behörde geworden, vorhin in den Worten von Frau Theato ein Organismus.	I am referring to Recommendations 1 and 2. After all, there is no longer mention of a European Public Prosecutor, rather, for legal reasons it has now become an independent, European authority, or "body" to quote Mrs Theato.
Da haben wir offensichtlich Schwierigkeiten mit der Rechtsgrundlage.	We obviously have difficulties there with regard to the legal basis.
Dann haben wir Schwierigkeiten mit den Straftatbeständen.	We also face difficulties with regard to offences.
Das wurde nicht verändert.	Nothing has changed there.
Da stehen dann nach wie vor Straftatbestände, die sozusagen auch über die europäischen Straftatbestände hinausgehen, zumindest hinausgehen können, wie Geldwäsche, Hehlerei, Bildung einer kriminellen Vereinigung.	As has always been the case, there are offences that transcend European offences, as it were, or at least there is the potential for them to do so, and these might include money-laundering, receiving stolen goods, and forming a criminal organisation.
Was das angeht, sind meiner Ansicht nach juristische Unklarheiten da, die man beseitigen sollte.	As far as that is concerned, I believe there are judicial uncertainties that need to be overcome.
Was aber unbedingt erforderlich ist, und deshalb werden wir für die Ziffer 1 ohne diese Empfehlungen stimmen, ist das klare politische Signal des Parlaments an Kommission und Rat, daß wir die Verhältnisse, wie sie eingerissen sind, durch einen klaren Rechtsakt beendet haben wollen.	What Parliament needs to do as a matter of urgency though - and this is why we intend to vote for recital 1 without these recommendations - is to send out a clear political signal to the Commission and Council that we want to see a clear legislative act put an end to this disorderly state of affairs.
