Herr Präsident, erlauben Sie mir noch eine Frage an den Kommissar.	Mr President, allow me to ask the Commissioner one more question.
Zunächst folgender Hinweis, Herr Kommissar Byrne: Das Europäische Parlament besitzt in der Gesetzgebung kein Initiativrecht.	First allow me to point out, Commissioner Byrne, that the European Parliament has no right of legislative initiative.
Wir nehmen uns aber das Recht, wenn Sie eine Änderung einer Richtlinie oder einer Verordnung vorschlagen, die ganze Verordnung in den Blick zu nehmen und nicht nur das, was Sie sich als einen Teil herausgesucht haben.	But we do reserve the right, when you propose to amend a directive or a regulation, to look at the whole regulation and not just the part which you have singled out.
Wir haben uns dennoch in unseren Änderungsanträgen auf formale Angleichung mit anderen Richtlinien beschränkt. Die inhaltlichen Fragen haben wir sogar noch außer acht gelassen.	Nonetheless, we have confined ourselves in our proposed amendments to bringing the text into line with that of other directives and we have disregarded the question of content.
Sie sind beispielsweise nicht auf Antibiotika eingegangen.	For example, you did not go into antibiotics.
Von daher geht es nur um die Angleichung der rechtlichen Bestimmungen in den einzelnen Richtlinien.	We are therefore talking about harmonising the legal provisions in the individual directives.
Meine Frage, Herr Kommissar Byrne: Gerade wurde auf der UN-Konferenz in Montreal durchgesetzt, daß es im internationalen Handelsverkehr eine Kennzeichnung von genetisch veränderten Organismen geben muß.	My question, Commissioner Byrne is this: the UN conference in Montreal decided that genetically-modified organisms must be labelled for international trade.
Glauben Sie wirklich, daß das Parlament - wenn wir jetzt diese Möglichkeit haben - es zulassen kann, daß diese Kennzeichnung innerhalb der Europäischen Union bei den Futtermittelzusatzstoffen nicht durchgesetzt wird?	Do you really believe that, if we could, Parliament would permit labelling to be left off feedingstuff additives within the European Union?
Herr Kommissar Byrne, Sie laufen auf eine Kraftprobe mit dem Parlament hinaus.	Commissioner Byrne, it appears that you want to engage in a test of strength with Parliament.
Wir haben über das Saatgutverkehrsgesetz zwei Jahre verhandelt.	We negotiated the seed marketing legislation for two years.
Ich freue mich auf unsere gemeinsamen Gespräche.	I look forward to the next round.
