Herr Präsident! Ihre Ausführungen soeben, Herr Fischler, stimmen mich optimistisch.	Mr President, I am encouraged by what you have just said, Mr Fischler.
Das Ausmaß der Katastrophe vor der bretonischen Küste ist wirklich enorm.	The disaster off the coast of Brittany is truly enormous in scale.
Die wirtschaftlichen und ökologischen Auswirkungen der Havarie des Öltankers Erika sind so groß, daß wir uns zum zweiten Mal innerhalb von wenigen Wochen mit diesem Thema in diesem Hause beschäftigen; das zu Recht.	The accident involving the oil tanker Erika has had such a huge economic and ecological impact that this is the second time we have dealt with this issue in the space of a few weeks, and rightly so.
Ein ganzer Wirtschaftszweig, die Fischerei und Aquakultur und die damit zusammenhängenden Arbeitsplätze, ist in Frage gestellt.	A whole branch of industry, fisheries and aquaculture and the jobs they generate, hangs in the balance.
Da können und dürfen wir eben nicht tatenlos zusehen.	We cannot, and must not, stand idly by in the face of this.
Schöne Reden und heiße Tränen helfen nicht weiter.	Fine speeches and bitter tears are not much use.
Ob wir zwei, acht oder sechzehn Stunden reden, davon wird kein Fisch lebendig und kein bretonischer Fischer satt.	We could talk for two, eight, or sixteen hours, but it would not bring fish back to life or put food in a Breton fisherman' s stomach.
Solidarität drückt sich eben nicht nur in Worten aus.	There is certainly more to solidarity than making speeches.
Deshalb kann unser Entschließungsantrag nur ein erster Schritt sein, dem Taten, d. h. Maßnahmen folgen müssen, die endlich dafür sorgen, daß derartige Katastrophen nicht mehr passieren, und vor allem nie mehr vor Europas Küsten.	That is why our motion for a resolution can only be a first step, and deeds, i.e. measures, must then follow which will at last serve to ensure that never again will there be a disaster of this kind, particularly off the coast of Europe.
In der vorliegenden fraktionsübergreifenden Entschließung fordern wir die Anerkennung des Verursacherprinzips.	We demand recognition of the polluter pays principle in this motion, which has the overall support of the groups.
Wir fordern weiter eine unbürokratische Hilfe für die in ihrer Existenz gefährdeten Fischer und Aquakulturbetreiber.	We also demand red tape-free aid for the fishermen and aquaculture operators whose livelihoods are under threat.
Dies darf jedoch nicht zu einer wettbewerbsverzerrenden Dauersubvention führen.	However, this must not become a competition-distorting, long-term subsidy.
Wir fordern auch, den Seeverkehr sicherer zu gestalten, und wir wollen insgesamt ein besseres Monitoring.	We also demand improved safety conditions for sea traffic and we want there to be better monitoring overall.
Die Kommission, wie wir gehört haben, packt an.	As we have heard, the Commission is getting stuck in.
Ein Treffen mit Vertretern der Industrie soll die Vorschläge der Kommission bekanntmachen.	A meeting with representatives of industry is to make the Commission' s proposals known.
Angesprochen wird dabei nicht nur die Notwendigkeit strengerer Hafenstaatkontrollen, sondern auch der künftig zwingende Einsatz von Doppelwandtankern.	The need for more stringent Port State Control will not be the only subject of discussion on this occasion, as the pressing need to deploy double-hulled tankers in the future will also be on the agenda.
Ich begrüße das sehr.	I welcome this with open arms.
Aber meine Forderungen gehen darüber hinaus.	My demands go further, however.
Die Erika hat das Faß zum Überlaufen gebracht.	The Erika is the straw that broke the camel' s back.
Für die Sicherheit und den präventiven Schutz der europäischen Küsten und den Fortbestand der Fischerei als einem anerkannten Wirtschaftsfaktor brauchen wir eine europäische Umweltküstenwache und ein maritimes Datennetz zur effektiven Zusammenarbeit der Mitgliedstaaten, wie wir es gestern eingeklagt haben.	In the interests of the safety and protection, through preventative measures, of European coastal areas, and of the continued existence of the fisheries sector as an established economic factor, we need a European environmental coastguard and a maritime data network affording effective cooperation between the Member States, which is what we were appealing for yesterday.
Hier ist Europa gefordert.	This is the challenge Europe faces.
Europas Glaubwürdigkeit steht auf dem Spiel.	Europe' s credibility is at stake.
Eine weitere Katastrophe, die wir lediglich mit einigen Reden begleiten, können wir uns nicht leisten!	We cannot afford to have another disaster where all we do is make a few speeches!
