Herr Präsident, die Kommission hat ein anspruchsvolles Arbeitsprogramm für das Jahr 2000 vorgelegt.	Mr President, the Commission has submitted a promising work programme for the year 2000.
Man kann diesem Programm nur voll zustimmen.	We cannot do other than give this programme our full backing.
Aber dieses Programm enthält auch bedauerliche Lücken.	However, there are also some unfortunate gaps in it.
Auf eine möchte ich besonders hinweisen, sie wurde gerade vorhin auch vom Kollegen Jarzembowski angesprochen.	There is one gap in particular I would like to discuss; it is one Mr Jarzembowski touched on just before.
Mir fehlt im Arbeitsprogramm der Tourismus vollständig.	I do not see the work programme make any mention whatsoever of tourism.
Es handelt sich hier um einen der wichtigsten Wirtschaftszweige im Rahmen der Union und außerhalb der Grenzen der Europäischen Union.	We are talking about one of the most important branches of industry here, both within the EU and beyond its borders.
Seit langem werden uns hier Maßnahmen versprochen.	We have long been promised measures for this sector.
Eine Verbesserung des Umfeldes ist dringend vonnöten, aber es geschieht nichts.	It requires improvement as a matter of urgency, but nothing is happening.
Die Kommission ist aber nicht nur im Legislativbereich mit wichtigen Aufgaben betraut.	But the Commission has other important tasks to perform besides those of a legislative nature.
Sie hat auch - das hat heute bereits Kollege Poettering angesprochen - eine ganz zentrale Funktion als Hüterin der Verträge.	As Mr Poettering has already mentioned today, it also has a pivotal role as guardian of the treaties.
Hier hat sich die Kommission - ich sage, aus gegebenem Anlaß - die Aufgabe gegeben, einen Mitgliedstaat besonders zu überwachen.	With that in mind, the Commission - I say this in view of the occasion - has taken upon itself the task of monitoring the activities of one Member State in particular very closely.
Als Bürger dieses Landes habe ich mit dieser Vorgangsweise keine Probleme.	As a citizen of the country in question, I do not object to this modus operandi.
Auch mein Heimatland wird keine Probleme haben, sich beim Thema Menschenrechte, Fremdenrechte, Antirassismuspolitik der europäischen Beobachtung zu stellen.	Nor will my homeland have a problem with subjecting itself to European scrutiny in matters of human rights, the rights of foreign nationals, and anti-racist policy.
Ganz im Gegenteil: Wir haben in der Vergangenheit gezeigt, daß unser Land in all diesen Punkten einen der besten records hatte. Wir werden das auch in Zukunft so halten.	On the contrary, we have shown in the past that our country has one of the best records on all these points, and we intend to keep it that way.
Wenn Hüterin der Verträge, dann aber bitte umfassend, Herr Kommissionspräsident!	If the Commission is to be the guardian of the treaties then please, Mr Prodi, be thorough in your work.
Auch das Verhalten der Vierzehn oder zumindest einiger aus diesem Kreis kann Gemeinschaftsrecht verletzen, und in den letzten Tagen und Wochen ist Gemeinschaftsrecht in einigen Punkten verletzt worden, etwa in der Frage Kulturhauptstadt 2000, in Schulaustauschprogrammen der Union und in anderen Bereichen.	The behaviour of "the Fourteen" , or at least of some members of this coterie, can infringe Community law too, and in recent days and weeks, Community law has been infringed on a number of points, for example over the Cultural Capital 2000 issue, school exchange programmes in the Union, and other matters.
"Und so weiter ", habe ich hier stehen, ich hoffe, es geht nicht "und so weiter ".	I have "and so on and so forth" written down here, but I hope that things do not continue in this vein.
Daher meine Bitte an die Kommission, sie möge auch in diesem Bereich ihre Funktion als Hüterin der Verträge wahrnehmen und wachsam sein.	Hence I urge the Commission to uphold its role as guardian of the treaties in these matters too, and to remain vigilant.
