Herr Präsident, ich möchte dem Berichterstatter gratulieren. Es ist eine ausgezeichnete Arbeit.	Mr President, I should like to congratulate the rapporteur on an excellent piece of work.
Wir haben im Bereich der erneuerbaren Energien an und für sich ausgezeichnete Grunddokumente, wie das erwähnte Weißbuch, mit einer hervorragenden Argumentation.	We have what are per se excellent basic documents in the field of renewable energy sources, such as the White Paper referred to, which contains a brilliant critical analysis.
Aber im großen und ganzen ist jeder dafür.	But, on balance, everyone is in favour.
Jeder sagt ja, wir brauchen diese neuen Energieträger.	Everyone says yes, we need these new sources of energy.
Sie sind ein wesentlicher Bestandteil des 21. Jahrhunderts, des Denkens im 21. Jahrhundert.	They are a fundamental component of the 21st century, of the 21st century way of thinking.
Aber jeder möchte es ein bißchen anders machen, und das Ergebnis ist sehr oft, daß wir keine einheitliche Linie zur Erfüllung dieser Ziele gefunden haben.	But everyone has slightly different ideas and, as a result, we often fail to find a standard line which will allow us to achieve these objectives.
Der zweite Punkt, den wir haben, ist das Problem, daß wir polarisieren.	The second point is that we tend to polarise, and that causes problems.
Auf der einen Seite sagen wir, gibt es die Anhänger der erneuerbaren Energieträger, ökologisch orientierte Menschen, zukunftsorientierte.	On the one hand, we say, there are the advocates of renewable energy sources, ecologically-minded, forward-looking people.
Auf der anderen Seite gibt es Energieversorger, Ölhändler, Ölproduzenten, und die wollen genau das Gegenteil.	On the other hand, there are the energy suppliers, oil traders and oil producers, who want exactly the opposite.
Hier wird eine Feindschaftsposition erarbeitet.	All we are doing is fanning the flames of enmity.
Ich glaube, die sollten wir überwinden und erkennen, daß diese erneuerbaren Energieträger einen einzigen Feind haben.	I think we should put this enmity behind us and acknowledge that these renewable sources of energy only have one enemy.
Dieser Feind ist die Unwissenheit über die phantastischen Möglichkeiten, die sich uns bieten.	That enemy is our ignorance of the fantastic opportunities which they offer us.
Erstens, die ökologischen Vorteile, zweitens, die Arbeitsplatzvorteile.	First, there are ecological advantages and, secondly, there are job opportunities.
Drittens: Ich glaube, daß alles, was in diesen Bereich investiert wird, weder Subvention noch Förderung ist, sondern volkswirtschaftlich sinnvolle Investition.	Thirdly, I think that whatever we invest in this area is neither subsidy nor promotion but sensible investment from a national economic point of view.
Das müssen wir erkennen.	We must recognise that.
Viertens: Es müßte uns klar werden, daß in letzter Zeit die fossilen Energieträger Preisschwankungen mit sich gebracht haben, die von 10 Dollar bis 30 Dollar pro Barrel gelten.	Fourthly, we must bear in mind that sources of fossil fuels have been accompanied recently by price fluctuations ranging from 10 to 30 dollars a barrel.
Fünftens: Es gibt immer mehr Studien, die besagen, daß die tatsächlichen fossilen Energieträger wesentlich geringer sind, als wir heute erfahren.	Fifthly, more and more studies are implying that actual sources of fossil fuels are much smaller than we perceive them to be today.
Sechstens: Wir führen weltweit Auseinandersetzungen - und wir können es uns ansehen, von Tschetschenien über den Golf bis nach Afrika - um die Restressourcen der Erde.	Sixthly, we are conducting discussions throughout the world - and we can see this happening from Chechnya via the Gulf to Africa - about earth' s remaining resources.
Wenn wir jetzt erkennen, daß Sie auch Friedensbringer sind, so haben wir wahrscheinlich einen großen Schritt getan, wenn wir morgen diesen Bericht annehmen.	If we now recognise that you are also a bringer of peace, then we will probably have made a huge step if we accept this report tomorrow.
