Herr Präsident! Frau Kommissarin!	Mr President, Commissioner, ladies and gentlemen.
Meine Damen und Herren! Zwei Herzen wohnen ach in meiner Brust!	Alas, I sit here between a rock and a hard place.
Das eine möchte und sollte wohl auch im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr die Entlastung der Kommission aufgrund des zufriedenstellenden prozentualen Ausschöpfungsgrades der uns betreffenden Haushaltslinien empfehlen, und dies trotz zahlreicher kritischer Anmerkungen.	On the one hand, I would and should recommend, on behalf of the Committee on Regional Policy, Transport and Tourism too, that the Commission be discharged due to the satisfactory take-up rate of the budget lines which affect us, despite numerous critical comments.
Das andere kann die Entlastung aufgrund ungeklärter Vorgänge in der Kommission, die zu existenzbedrohenden Belastungen regionaler Projektträger, um deren Aufklärung ich als Vertreter meiner Heimatregion seit Monaten kämpfe, eigentlich nicht empfehlen.	On the other hand, I cannot in fact recommend discharge due to unclarified incidents at the Commission which are beginning to threaten the very existence of regional project agencies and which, as the representative of my home region, I have been fighting to have clarified for months.
Es ist zu wenig, wenn die heutige Kommission die Fehler der alten Kommission anerkennt, aber keine Lösungswege findet.	It is not enough for the present Commission to acknowledge the errors of the old Commission without finding a solution.
Doch solche persönlichen Erfahrungen gehören wohl nicht an diese Stelle.	However, this is not the place for such personal experiences.
Gestatten Sie mir vielmehr als Vertreter und Verfasser der Stellungnahme des RETT-Ausschusses, auf folgende kritisch bewertete Tatsachen hinzuweisen.	Allow me rather to highlight the causes for criticism as the representative and draftsman of the RETT Committee.
Erstens: Nach wie vor steht der Abschluß einiger Maßnahmen von vor 1989 noch offen.	Firstly, certain measures dating back to before 1989 have still not been completed.
Zweitens: Vom Rechnungshof festgestellte Regelwidrigkeiten beziehen sich insbesondere auf Fehler bei der Ausgabenbescheinigung, für die die Mitgliedstaaten verantwortlich zeichnen.	Secondly, the irregularities identified by the Court of Auditors refer mainly to errors in relation to proof of expenditure which are signed by Member States, and for which they are responsible.
Hier trifft die Kommission eine geringe, indirekte Mitschuld insoweit, als sie klarere Regelungen für Zuschüsse bzw. Förderfähigkeiten hätte erlassen müssen.	The Commission is indirectly and to some extent jointly responsible here insofar as it should have issued clear rules for grants and aid.
Drittens: Der unsere Bürger verunsichernde und zum Teil ruinierende Zahlungsverzug durch die Kommission, der seine Ursachen entweder in Verfehlungen bzw. uneffektiven bürokratischen Strukturen und Verschleierungsmanövern oder in Liquiditätsproblemen infolge der Kürzungen von Zahlungsermächtigungen durch den Rat hat.	Thirdly, delayed payments by the Commission which unsettle and, sometimes, ruin our citizens, as the result either of transgressions or inefficient bureaucratic structures and cover-ups or liquidity problems following cuts in payment appropriations by the Council.
Der an Bedingungen gebundene zeitlich begrenzte Aufschub der Entlastung, wie ihn Frau Stauner fordert, ist zu begrüßen.	The conditional postponement of the discharge suggested by Mrs Stauner is to be welcomed.
Persönlich wünsche ich mir in Zukunft bessere Möglichkeiten zur qualitativen Kontrolle der Verwendung der Haushaltsmittel der EU und zwar vor Ort!	I personally would like to have better facilities for quality control, in situ, of how EU funds are used.
