Frau Präsidentin, wohin soll die Reise in Europa gehen?	Madam President, where should our travels in Europe take us?
Zu einem europäischen Bundesstaat mit einem starken Zentrum und weitreichenden Zuständigkeiten, oder soll das sorgfältig weiterentwickelt werden, was bisher das Markenzeichen und die Garantie des Erfolgs der europäischen Integration war, nämlich eine Union der Völker und der Staaten Europas?	To a European federal state with a strong centre and far-reaching competences, or should we carefully develop what has so far been the trademark of European integration and a guarantee of its success, namely a Union of Europe' s peoples and States?
Nach dem Text des Ausschusses für konstitutionelle Fragen schien es fast so, als ob die europäischen Föderalisten es bereits geschafft haben: eine Kommission, in der nicht jeder Mitgliedstaat immer vertreten ist, ein Parlament, in dem sogar die Vertreter mittlerer Staaten nicht mehr ins Gewicht fallen, und ein Rat, der seine Mehrheiten im Kern auf 51 % der Gesamtbevölkerung der Mitgliedstaaten aufbaut.	To read the text of the Committee on Constitutional Affairs, you would almost believe that the European federalists have already won the day: a Commission that does not contain representatives from every Member State, a Parliament in which even the representatives of the medium-sized States no longer carry any weight, and a Council that essentially bases its majorities on 51% of the total population of the Member States.
Selbst für einen begeisterten Europäer wäre das ein Zerrbild.	This would be a travesty, even for an ardent European.
Der Text, den wir morgen beschließen werden, wird, wie ich hoffe, ein anderer sein, ein ausgewogenerer Text, der auf ein weiteres gemeinsames Funktionieren von Groß und Klein abstellt und die Besonderheiten unserer europäischen Völker und Staaten weiterhin respektiert und damit die europäischen Bürger, die schon jetzt immer öfter Probleme mit der Zentrale Brüssel haben, nicht noch mehr überfordert.	The text we adopt tomorrow will, I hope, be a different one, a more balanced text that is geared to continuing teamwork between large and small States, and which continues to respect the distinguishing features of our European peoples and States, and therefore does not make even more demands of the citizens of Europe, who have enough problems with the degree of centralisation in Brussels as it is.
In einem zweiten Punkt hoffe ich auch noch auf eine Veränderung des Ausschußtextes.	My second point is that I am hoping for a change to the Committee' s text.
Dimitrakopoulos/Leinen schlagen in Ziffer 29 eine Revision des Suspendierungsverfahrens für Fälle schwerwiegender Demokratie- und Menschenrechtsverletzungen vor.	Mr Dimitrakopoulos and Mr Leinen put forward a proposal in recital 29 to modify the procedure for suspending a Member State in the event of serious democratic and human rights violations.
Lassen Sie mich hier sehr deutlich werden und Ihnen sagen, wie die Menschen in meinem Land Österreich in großer Mehrheit diesen Vorgang sehen!	Allow me to leave you in no doubt as to how the vast majority of people in my country, Austria that is, feel about such a development.
Sie machen derzeit die bittere Erfahrung, daß schon jetzt im Namen von politischer correctness das geltende Gemeinschaftsrecht nicht eingehalten wird.	They are already learning, from bitter experience, what it is like when Community law in force is not adhered to, in the name of political correctness.
Das stärkt nicht das Vertrauen in den zentralen Grundwert des gemeinsamen Europa.	This does nothing to boost confidence in the central tenet of a united Europe.
Eine Rechtsgemeinschaft muß sich an ihr eigenes Recht halten.	A community of law must uphold its own law.
Daß alles nur bilaterale Politik ist, was den Österreichern derzeit angetan wird, ist schlicht und einfach nicht wahr.	It is simply not true that the policies adopted towards Austria at present are only bilateral in nature.
Wer noch eine Bestätigung dieser Tatsache gebraucht hat, hat sie heute durch die Wortmeldung der Präsidentin dieses Hauses erhalten.	Anyone still requiring confirmation of this fact need look no further than the speech made today by the President of this House.
Wie soll man sonst den Satz verstehen, daß Nicole Fontaine hofft, Österreich werde eines Tages wieder vollwertiges Mitglied der Union sein?	How else are we to interpret Nicole Fontaine' s statement to the effect that she hopes that Austria will become a full member of the Union again one day?
Was sind wir denn jetzt?	What does that make us now?
Verzichten wir daher auf scheinheilige Korrekturen an den Artikeln 6 und 7 des EU-Vertrages.	Therefore let us dispense with hypocritical amendments to Articles 6 and 7 of the EU Treaty.
Halten wir uns an das geltende Recht und setzen wir uns mit den Österreichern so auseinander, wie der EU-Vertrag das verlangt.	Let us abide by the law in force and handle the Austrians as required by the EU Treaty.
Grenzen wir nicht aus, sondern binden wir ein!	Inclusion, and not exclusion, is what we need!
