Herr Präsident, liebe Kolleginnen und Kollegen, guten Morgen!	Mr President, ladies and gentlemen, I bid you good morning!
Eigentlich müßten alle Politiker sich für dieses Programm verantwortlich fühlen und es besonders ernst nehmen. Denn ohne überzeugte junge Europäer, die diese Überzeugungen später auch weitergeben können, steht das Europäische Haus auf tönernen Füßen.	It is in fact the case that all politicians ought to feel a sense of responsibility for this programme and take it particularly seriously, for if we do not succeed in convincing young Europeans, who could pass these convictions further down the line, the European edifice is on shaky ground.
Wir müssen daher alles tun, um Bedingungen zu schaffen, damit sich Jungen und Mädchen in diesem Europa zu Hause fühlen und die jeweilige Andersartigkeit respektieren und schätzen lernen.	We must therefore do everything we can to create the conditions that will enable girls and boys to feel at home in the Europe we have created, and to respect and appreciate the differences between people.
Dieses Jugendprogramm ist ein wichtiges Instrument, um das gegenseitige Verstehen zu lernen, Toleranz einzuüben.	This youth programme is an important instrument for teaching people to show mutual understanding and display tolerance.
Die Aktivitäten als Freiwilliger im Bereich von Umwelt, von Kultur helfen, die europäische Realität kennenzulernen und auch Sprachkenntnisse zu erwerben.	Voluntary activities in the environmental and cultural spheres help people to learn what Europe is really all about and also to learn other languages.
Nur zwischenmenschliche Kontakte ermöglichen das Einüben demokratischer Werte und das Verständnis von europäischer Bürgerschaft.	Interpersonal contact alone facilitates the acquisition of democratic values and promotes understanding on the part of European citizens.
Dazu dient dieses Programm.	That is what this programme is intended to achieve.
Ich meine, in diesem Augenblick muß man auch sagen, daß es nicht angeht, daß der Ausschluß österreichischer Jugendlicher von der Teilnahme an diesen Programmen als Folge von sogenannten bilateralen Sanktionen an der Tagesordnung ist.	I feel now is also the time to say that it is not on for Austrian young people to be excluded from taking part in these programmes as a consequence of so-called bilateral sanctions.
Dies ist unverantwortlich und müßte von allen - vor allem von diesem Parlament und von der Kommission - bekämpft werden!	This is misguided and should be contested by everyone, and particularly by this Parliament and the Commission.
Mit diesem neuen Programm haben wir bisherige Jugendaktivitäten gebündelt und verbessert.	This new programme has enabled us to consolidate and improve on previous youth activities.
Dank unserer Änderungsvorschläge haben wir den sozialen Schutz der TeilnehmerInnen auch verbessert.	Thanks to our proposed amendments we have also improved the level of social protection for participants.
Die dafür jetzt vorgesehene Summe ist natürlich nicht ausreichend, obgleich wir in gemeinsamer Arbeit mehr herausholen konnten, als der Rat uns geben wollte.	Of course the total amount that has now been made available does not suffice, although concerted action on our part enabled us to get more out of the Council than they wanted to give.
Aber die Summe straft eigentlich die Minister-Sonntagsredner Lügen!	But the total amount gives the lie to the Ministers who get up on their soapboxes to speak!
Ich bin dennoch sicher, wir werden das Beste daraus machen, und viele Jugendliche werden davon profitieren können.	I am certain, however, that we will make the best of it, and many young people will benefit as a result
Ich möchte auch gerne Frau Kollegin Gröner dafür danken, daß sie sich dieser großen Mühe unterzogen hat und mit Rat und Kommission am Ende dennoch zu einem guten Ergebnis gekommen ist.	I would also very much like to thank Mrs Gröner for taking on this mammoth task and still being able in the end to reach a satisfactory outcome with the Council and the Commission.
Vielen Dank, und für alle Glück auf!	Thank you very much and the best of luck!
