Herr Präsident! Ich muß und ich kann mich kurzfassen.	Mr President, I must, and can, be brief.
Wir können in dieser Woche zum ersten Mal einen Rechtsakt der Europäischen Union verabschieden, der auf Initiative des Europäischen Parlaments zustande gekommen ist und an dem Gott sei Dank Kommission und Rat positiv mitgearbeitet haben.	This week we are able, for the first time, to adopt a European Union legislative act which has been drawn up on the initiative of the European Parliament and on which, thank God, the Commission and the Council have cooperated positively.
Es geht um einen verbesserten Unfallopferschutz in der Europäischen Union.	It is about improved protection for accident victims in the European Union.
Wir haben mit dieser Richtlinie einen großen Teil der Probleme gelöst, die normalerweise bei einem Unfall, den man in einem anderen Land erleidet, entstehen.	This directive resolves a large number of the problems which usually arise when people are involved in an accident in another country.
Ich will aber zunächst einmal einen Blick in die Zukunft werfen, bevor ich einen Blick zurück werfe.	First of all, however, and before looking back, I wish to take a look into the future.
Es gibt, verehrter Herr Kommissar Bolkestein, den Entwurf einer fünften Richtlinie.	Commissioner Bolkestein, a draft fifth directive already exists.
Ich habe ihn erarbeitet, und er wird demnächst auf dem Tisch des Parlaments liegen.	I have drawn it up and it will soon be put before Parliament.
Ich hoffe sehr, daß wir auch in dieser Frage eng kooperieren können.	I very much hope that we will also be able to cooperate closely on this issue.
Die fünfte Richtlinie ist also schon auf dem Weg.	The fifth directive is therefore already in the pipeline.
Wir werden - auch das gehört zu dem Blick in die Zukunft - Anfang Juni bei der Europäischen Rechtsakademie in Trier einen Kongress zu einer weiteren wichtigen Frage abhalten, nämlich zur Reform des Personenschadens, und möglicherweise ergibt sich daraus wiederum eine parlamentarische Initiative.	At the beginning of June - this is also part of our glance into the future - we will be holding a conference at the Academy of European Law in Trier on another important issue, the reform of personal injury, and this may give rise to a further parliamentary initiative.
Das heißt, wir wollen eine gewisse Dynamik in diese Diskussion über einen verbesserten Unfallopferschutz hineinbringen.	As you can see, we wish this debate on improved protection for accident victims to gain a certain momentum.
Ich wäre gerade Ihnen, Herr Kommissar, sehr dankbar, wenn wir das gemeinsam machen könnten.	I would be very grateful to you in particular, Commissioner, if we could achieve this together.
Ich wäre Ihnen deshalb dankbar, weil Sie einen wichtigen Beitrag zu dieser Diskussion - und damit ein Blick zurück - über die vierte Richtlinie geleistet haben.	I would be grateful to you because you made an important contribution - and this is where I start to look back - to the debate on the fourth directive.
Es gab nämlich das große Problem, ob diese Richtlinie Anwendung finden sollte, wenn sich der Unfall in einem Mitgliedstaat der Europäischen Union ereignet hat.	You see there was the major problem of deciding whether this directive ought to apply when the accident had taken place in a Member State of the European Union.
Ich habe nie verstanden, mit welcher Starrsinnigkeit die Kommission sich anfangs dagegen gewehrt hat, was logisch, politisch und rechtlich nicht zu begründen war.	I have never understood why the Commission initially fought against this so stubbornly; its stance could not be justified from a logical, political or legal point of view.
Gott sei Dank haben Sie dann, als wir hier im Parlament Ende letzten Jahres darüber diskutiert haben, den Weg bereitet, damit wir eine Möglichkeit finden konnten.	Then, thankfully, when we discussed this in Parliament at the end of last year, you prepared the ground for us to make this possible.
Jetzt wird diese Richtlinie in allen Ländern, die dem grünen Kartensystem angehören, Anwendung finden, und damit sind immerhin schätzungsweise 90 % aller Unfälle abgedeckt, in die Europäer verwickelt sein können.	This directive will now apply in all countries which are members of the green card system, meaning that approximately 90% of all accidents in which Europeans might be involved will be covered.
Wenn ich gerade bei Zahlen bin: Es geht allein in der Europäischen Union - die Drittländer nicht dazugezählt - um schätzungsweise 500 000 Unfälle pro Jahr, die wir künftig wesentlich leichter regulieren können.	And while I am on the subject of figures, we are talking about approximately 500 000 accidents a year in the European Union alone - not counting third countries - where we will be able to settle claims much more easily in the future.
Vorher gab es das Problem, daß man mit einer fremden Sprache, mit einem fremden Recht zurechtkommen mußte und so weiter.	In the past there was the problem that people had to cope with a foreign language, foreign laws and so on.
Das hat sich zum Teil ewig lange hingezogen.	Sometimes the process dragged on for ages.
