. Herr Präsident, Frau Kommissarin!	Mr President, Commissioner, thank you for your presentation.
Vielen Dank für die Einführung, und Ihre letzten Worte möchte ich gleich aufnehmen.	I should like to pick up straight away on your closing words.
Ich glaube nicht, daß wir, wenn wir den Haushalt 2001 diskutieren, Prinzipienreiterei betreiben sollten.	I do not think that we should harp on about principles during our discussion of the Budget 2001.
Aber ich glaube auch, daß es eher eine Aufforderung Richtung Rat als eine Aufforderung an uns ist, nichtsdestotrotz das, was uns Parlamentariern bisher von dem Haushaltsvorentwurf vorliegt, zu bewerten.	But I also think that this is a call directed at the Council rather than a call directed at us, notwithstanding what has been submitted to us parliamentarians so far from the preliminary draft budget for evaluation.
Dann kommt man schon dazu zu sagen: In allererster Linie hat die Kommission dem Wunsch des Rates Rechnung getragen, einen möglichst sparsamen Haushalt vorzulegen.	This leads me to say that, first and foremost, the Commission has taken account of the Council' s wish that it present as economical a budget as possible.
Sie haben es gerade selbst gesagt, der Haushalt des Jahres 2001 steigt im Verhältnis zu dem des Jahres 2000 nur um 1%, wenn man die Agrarausgaben herausrechnet, und wir wissen alle, daß die Agrarausgaben einen unheimlich dicken Posten in unserem Haushalt ausmachen.	You, yourself, said just now that the Budget 2001 is only 1% higher than the Budget 2000 without agricultural expenditure and we all know that agricultural expenditure accounts for a huge part of our budget.
Dann von sparsamer Haushaltsführung nur in unsere Richtung zu reden, ist natürlich völlig verkehrt, gleichwohl wir als Parlament für eine sparsame Haushaltsführung sind.	To then talk of rigorous financial management to us alone is, of course, completely misplaced, especially as we here in Parliament are in favour of economical financial management.
Das hat die Diskussion und das haben unsere verabschiedeten Haushalte in der Vergangenheit auch gezeigt, und so soll es auch bleiben.	The debate and the budgets which we have voted in the past demonstrate this and that is the way it should stay.
Um auch noch einmal die Kollegen daran zu erinnern: Die Agrarausgaben für die Marktordnung sollen um 7,6% steigen.	Allow me to remind the House: agricultural expenditure for the organisation of the markets is to rise by 7.6%.
Die Ausgaben für die ländliche Entwicklung - und Sie haben das sehr betont, selbstverständlich liegt uns die ländliche Entwicklung sehr am Herzen - sollen um 10,1% steigen.	Expenditure on rural development - and you stressed that we of course set great store by rural development - is to rise by 10.1%.
Wenn man nur diese relativen Zahlen nimmt, also die Prozentzahlen, dann können wir sehr zufrieden sein.	On the face of it, these relative figures alone, i.e. the percentages, are highly satisfactory.
