Herr Präsident!	Commission.
Ich danke Ihnen, daß Sie mir noch einmal das Wort geben, weil die Sitzung gerade dann beendet wurde, als Herr Präsident Chirac kam, zwar mit Verzögerung, aber die Flugverbindung von Paris nach Straßburg hat ja dann doch geklappt.	Mr President, I would like to thank you for allowing me to take the floor once again, because the sitting was just finishing when President Chirac arrived, albeit belatedly, but at least the flight from Paris to Strasbourg came together in the end.
Ich möchte einige der Fragen, die in der Diskussion an mich gestellt wurden, doch noch beantworten.	I would still like to answer some of the questions put to me during the debate.
Das war zum einen die Frage der Umstrukturierung der Haushaltskontrolle und die Fragestellung: Wie wird sie gemacht?	Firstly, there was the issue of restructuring budgetary control and the question as to how this is to be achieved.
Ich kann hier noch einmal für die Kommission sagen, daß es zum einen die Errichtung des internal audit service ist, mit der eine unabhängige und eigenständige Behörde errichtet wird; wir werden selbstverständlich für die Übergangsperiode auch die Vorabkontrolle in zentralisierter Form aufrechterhalten, und zwar nach einem risk management, das heißt, nach einer Einschätzung der Risiken, die für die verschiedenen Bereiche vorhanden sind.	Again, on behalf of the Commission, I am able to tell you that in the first place, this will be done by setting up an internal audit service, which will be used to set up an independent and self-contained office. Naturally we intend to maintain centralised ex-ante control during the transitional period, and in fact this will take place following a risk management exercise, i.e. following an assessment of all the risks facing the various areas.
Das zweite betrifft die Fragen, die mit Rückforderungen verbunden sind, und konkret auch noch einmal den Fall Fléchard.	Secondly, there were questions to do with demanding the return of funds: the Fléchard case to be precise.
Frau Morgan hat an mich die Frage gestellt, ob die Kommission hier weiter bereit sei, Fragen zu beantworten.	Mrs Morgan asked me whether the Commission was still prepared to answer questions on this.
Selbstverständlich ist die Kommission dazu bereit, und ich bin eigentlich zuversichtlich, Frau Vorsitzende des Ausschusses für Haushaltskontrolle, daß wir auch da ein Verfahren finden, um den Informationsaustausch so abzuwickeln, daß es hier keine Differenzen und Meinungsverschiedenheiten gibt.	Of course the Commission is willing to do so and I am in fact confident, Chairman of the Committee on Budgetary Control, that in this respect too, we will be able to find a way of completing the exchange of information in such a way that there are no disagreements or differences of opinion.
Ein weiterer Punkt, der angesprochen wurde, betraf die Suche nach dem Protokoll der Sitzung von 1994.	Another point raised concerned the search for the minutes of the meeting that took place in 1994.
Hier möchte ich dem Fragesteller noch einmal sagen, daß OLAF eine erneute Suche nach dem Protokoll durchführt, die noch nicht abgeschlossen ist, aber seitens der Kommission, und das halte ich für wichtig, wurde die Konsequenz gezogen, das gesamte Archivierungssystem einer Reform zu unterziehen.	To the person who asked the question, I would reiterate that OLAF is carrying out a fresh search for the minutes which has yet to be completed. However the Commission - and I think this is important - has come to the conclusion that the entire archiving system needs to be overhauled.
Frau Theato, Sie hatten an mich die Frage gestellt: Wo bleibt die Vorlage zum umfassenden Rechtsrahmen, für explizite Betrugsbekämpfung, nicht allein die Verbesserung des Finanzmanagements, sondern explizit die Betrugsbekämpfung?	Mrs Theato, you asked me what has become of the draft of the comprehensive legal framework, specifically for combating fraud, and not just for improving financial management.
Die Kommission hat in der vergangenen Woche ein Strategiepapier zu einem umfassenden Ansatz zur Betrugsbekämpfung beschlossen, das wir sicherlich bald auch im Ausschuß für Haushaltskontrolle diskutieren können, mit vier Haupthandlungssträngen, nämlich einmal dem Handlungsstrang einer umfassenden Gesetzgebung zur Betrugsbekämpfung, der auch die Prävention von Betrug mit einbezieht, zweitens dem Ausbau der Kooperation mit den Mitgliedstaaten, den Bewerberstaaten, mit Drittstaaten, dann als dritter Handlungsstrang die interinstitutionelle Zusammenarbeit zur Bekämpfung und Vermeidung von Betrug im Amt.	In the past week, the Commission adopted a strategy paper on a comprehensive approach to combating fraud, which we are certain to be able to discuss in the Committee on Budgetary Control before long. It proposes four courses of action, firstly that of comprehensive legislation to combat fraud, including fraud prevention, secondly extending cooperation with the Member States, the candidate states and third countries, then the third course of action would be interinstitutional cooperation for combating and preventing fraud in office.
Viertens, die Verbesserung der strafrechtlichen Dimension, der strafrechtlichen Schlußfolgerung.	Fourthly, there is the improvement of the criminal dimension, i.e. criminal prosecution.
Hierzu kann ich ankündigen, daß nach aller Voraussicht die Kommission noch in diesem Monat einen Vorschlag für die Regierungskonferenz beschließen wird, die europäischen Verträge dahingehend zu ergänzen, daß die Einrichtung eines Amtes für einen europäischen Staatsanwalt ermöglicht wird.	On the subject of which, I am able to tell you that in all probability, the Commission will adopt a proposal for the Intergovernmental Conference before the end of this month recommending that the European Treaties be amended in such a way as to enable a European Public Prosecutor' s Office to be set up.
Das ist eine Forderung, die gerade vom Ausschuß für Haushaltskontrolle an dieses Parlament, an die Kommission und natürlich auch an den Rat herangetragen wurde.	This is a demand that the Committee on Budgetary Control has just put to Parliament, the Commission and of course the Council.
Wir wissen, daß dieser Vorschlag im Rat kontrovers diskutiert wird und nicht auf besonders viel Zustimmung stößt.	We know that controversial discussions are taking place over this proposal in the Council and that it is failing to meet with a great deal of approval.
Insofern ist dann zu überlegen, falls dieser Vorschlag nicht angenommen werden sollte, daß die Konvention, die immer noch nicht ratifiziert ist, in ein anderes Regelwerk, eben eine Richtlinie eingebracht werden muß.	That being the case, we should give thought to whether, in the event of this proposal failing to be adopted, the convention, which has still not been ratified, should be incorporated in a different form of legislation, perhaps even a directive.
Ich darf mich im Namen der Kommission noch einmal für die Aussprache heute vormittag und auch für die kritische Zusammenarbeit bedanken und möchte Ihnen nochmals versichern, daß die Kommission die Schritte unternehmen wird und teilweise schon unternommen hat, um einen besseren Vollzug des Haushalts der Europäischen Union zu gewährleisten.	On behalf of the Commission, I would again like to thank you for this morning' s debate and also for the constructive criticism, and I would like to reassure you once again that the Commission will take steps - some of which it has already taken - to guarantee more effective implementation of the budget of the European Union.
