Herr Präsident, meine sehr verehrten Damen und Herren!	Mr President, ladies and gentlemen, I have two things to say.
Ich habe zwei Botschaften: Die eine ist, dass ich den beiden Berichterstattern für ihre lesenswerten Berichte danken möchte; zum zweiten möchte ich an die Kommission gerichtet sagen: Bleiben Sie hart, bleiben Sie hart gegenüber dem Rat!	The first is that I should like to thank both rapporteurs for their reports, which were well worth reading. Secondly, I should like to say directly to the Commission: stick to your guns, stick to your guns with the Council!
Denn das eigentliche Problem ist, dass der Rat, dass die Mitgliedstaaten in einer Angelegenheit, die Sie nach dem Vertrag zu erledigen haben, ständig mitreden.	Because the real problem is that the Council, that the Member States, are forever wanting to have their say on a matter which the Treaty says is your responsibility.
Man stelle sich einmal vor, die Amerikaner hätten ihre Marshallplan-Hilfe nach dem Krieg so durchgeführt, dass sie bei jedem Unterprogramm die Mitgliedstaaten der USA gefragt hätten, ob sie beispielsweise im südwestlichen Teil von Bayern ein Wiederaufforstungsprogramm finanzieren dürfen oder nicht!	Just imagine that the Americans had implemented their aid under the Marshall Plan after the war in such a way that for each sub-programme they had asked the Member States of the USA whether they, for example, ought to fund a reforestation project in the south-western part of Bavaria or not!
Wahrscheinlich hätte die Auszahlung der Marshallplan-Hilfe bis zum Ende des vergangenen Jahrhunderts gedauert.	It would probably have taken until the end of the last century to disburse the Marshall Plan aid.
Dieses wünsche ich Ihnen nicht.	This is not what I want to happen to you.
Herr Patten, bleiben Sie hart!	Mr Patten, stick to your guns!
Das Parlament sollte Sie dabei unterstützen.	Parliament ought to support you on this.
Der Rat bzw. die Mitgliedstaaten haben ein Recht auf Beratung, aber sie haben kein Recht auf Mitentscheidung.	The Council or the Member States have a right to be consulted, but they do not have a right to co-decision.
Das wird vermutlich auch für die Kommission die entscheidende Frage sein, wenn dereinst die Geschichte über sie urteilt.	I suspect that this will also be the decisive issue for the Commission when history judges it one day.
Man wird Sie an der Osterweiterung, aber auch daran messen, ob Sie einen Spielraum in Fragen der Außenpolitik schaffen.	You will be judged on enlargement towards the east, but also on whether you create your own room for manoeuvre in external policy.
Nun verlangen wir nicht, dass die Kommission etwa bei den Atomstreitmächten Großbritannien oder Frankreich mitredet.	Now we are not demanding a voice for the Commission alongside the United Kingdom or France on nuclear capabilities for example.
Aber was den Haushalt anbelangt, den eigenen Haushalt der Europäischen Union, sind Sie die Exekutive.	But where the budget is concerned, the European Union's own budget, you are the executive.
Das sollten wir auch durchsetzen und verteidigen!	We should secure this position and defend it!
Da sollten Sie das Parlament auch als Verbündeten haben.	In Parliament you should have an ally here!
