Herr Präsident! Die gute Nachricht: In Europa geht die Arbeit nicht aus.	Mr President, the good news is that Europe has not run out of work.
Die schlechte Nachricht: Es wird gearbeitet, allerdings immer öfter schwarz.	The bad news is that, more and more often, work goes undeclared.
Die nicht angemeldete Erwerbstätigkeit ist kein Kavaliersdelikt.	Failing to declare work is no mere peccadillo.
Die selbsternannten Helden an den Stammtischen, die sich brüsten, den Staat übers Ohr zu hauen, müssen ausgegrenzt werden.	The wide-boy in the local pub who brags about ripping off the State should no longer be indulged.
Gehen zum Beispiel in Deutschland durch illegale Beschäftigung Arbeitsplätze verloren, sind das pro zehntausend Jobs an die 240 Millionen DM an entgangenen Steuern und Beiträgen zur Sozialversicherung.	In Germany, for example, work is being lost due to illegal employment and, for every ten thousand jobs, DM 240 million is lost in taxes and social security contributions.
Anne Glase beziffert in ihrem sehr guten und ausgewogenen Bericht das Volumen der Schwarzarbeit in der EU zwischen 10 und 20 % des BSP.	In her splendid and balanced report, Anne Glase estimates the volume of undeclared work in the EU at between 10 and 20 per cent of GNP.
Schwarzarbeiter sind nicht nur unter den Arbeitslosen zu finden, nicht nur unter den illegal Eingereisten, die unter den Profiteuren der Arbeitslosigkeit leiden müssen.	People who engage in undeclared work are to be found not only among the unemployed and among those who have entered the country illegally and have to suffer at the hands of those who profiteer from unemployment.
Sie finden sich auch unter Teilzeitarbeitnehmern, die zusätzlich abends und nachts an Computern aktiv sind, ebenso unter Selbständigen, die nebenher unangemeldet arbeiten.	They are also to be found among part-time workers who, in addition, are working at night and in the evenings on their computers, as well as among the self-employed who do additional work they do not declare.
Davon betroffen sind kleine und mittlere Unternehmen, die sich an die Gesetze halten, im Gegensatz zur illegal arbeitenden Konkurrenz.	Those affected by this are small and medium-sized businesses which, unlike competitors who operate illegally, obey the law.
So können weder Arbeitsplätze gesichert werden noch neue entstehen.	Jobs cannot be safeguarded in this way. Nor can new ones be created.
Was ist zu tun?	What is to be done?
Erstens: Der Missbrauch von Leistungen muss geahndet werden, mit Geldbußen für jene, die Schwarzarbeit leisten, und für diejenigen, die andere damit beauftragen.	Firstly, abuse of the rules governing work must be punished, with fines for those who engage in undeclared work and for those who employ others to do such work.
Wer Arbeitnehmer ohne Arbeitserlaubnis verleiht, ist von öffentlichen Aufträgen auszuschließen.	Those who hire workers who do not have work permits should be excluded from being awarded public contracts.
Darüber hinaus muss er mit Freiheitsstrafen rechnen.	Moreover, they should expect to receive custodial sentences.
Zweitens: Durchgreifende Kontrollen von Behörden, auch grenzüberschreitend, sind nötig.	Secondly, thorough checks, including cross-border checks, by the relevant authorities are necessary.
Ordnungsämter müssen zusammenarbeiten mit Gewerbeaufsicht, Finanzämtern, mit Ausländerbehörden, am besten in Task-Force-Groups.	Town clerks' offices must cooperate with factory inspectorates, and tax offices with immigration authorities, preferably in task forces.
Drittens: Anreize zu Missbrauch müssen verringert werden.	Thirdly, incentives to abuse the system must be reduced.
Steuern und Abgaben für Unternehmen sind deutlich zu senken. Die Mehrwertsteuer bei arbeitsintensiven Dienstleistungen ist zu ermäßigen.	Taxes and social charges payable by companies must be significantly reduced, as must VAT on labour-intensive services.
Viertens: Besonders wichtig sind mehr Bewusstseinskampagnen, um alle relevanten Zielgruppen davon zu überzeugen, dass nicht angemeldete Arbeit bekämpft werden muss.	Fourthly, it is particularly important that there should be more awareness-raising campaigns in order to convince all relevant target groups that undeclared work needs to be combated.
Sie richtet wirtschaftlich und gesellschaftlich extremen Schaden an.	It is extremely damaging both socially and economically.
Illegal ist unsozial!	Acting illegally is anti-social.
