Herr Präsident! Unser Gebet und unser Mitgefühl gilt den 118 Seeleuten und ihren Familien.	Mr President, our prayers and sympathy go to the 118 sailors and their families.
Unsere Solidarität gehört ihnen.	They deserve our solidarity.
Aber eines muss man auch sehen: Wir haben eine große Sorge im Zusammenhang mit der Katastrophe der Kursk, und das ist die Sorge um die Lage in Russland.	But it must also be considered that we have a major concern in connection with the Kursk disaster, namely the situation in Russia.
Wir müssen uns darüber im Klaren sein, dass Präsident Putin um dieses Unglück herum mit den russischen Behörden vielerlei Umstände verschleiert hat.	We need to be quite clear that President Putin and the Russian authorities covered up a lot of the circumstances surrounding this accident.
Tatsachen wurden unterdrückt, verfälscht oder verschleiert.	Facts were suppressed, falsified or hushed up.
Aber er hat in einem Interview auch etwas Wahres gesagt, nämlich dass das Unglück der Kursk symptomatisch für den Zustand ganz Russlands sei.	But in one interview he spoke the truth when he said that the Kursk accident was symptomatic of Russia's condition as a whole.
Dies ist eine Situation, der wir uns endlich stellen müssen.	This is a situation that we finally have to face up to.
Wir müssen die Realität sehen, wie sie ist.	We have to see the reality for what it is.
Das betrifft nicht nur die nukleare Sicherheit und die nukleare U-Boot-Flotte, das betrifft eine Fülle von hochentwickelten Waffentechnologien, denen keine entsprechende Kontrolle und Sicherheit gegenübersteht.	This is not just about nuclear safety and the nuclear submarine fleet, it is also about a mass of highly developed arms technologies for which there are no appropriate control and safety measures.
Deshalb ist es von entscheidender Bedeutung, dass wir alles tun, damit in Russland endlich Transparenz geschaffen wird.	That is why it is of the utmost importance that we should do everything to ensure transparency finally reaches Russia.
Wir verdanken es Herrn Nikitin, den unabhängigen Medien, die verschärften Repressionen ausgesetzt sind, dass wir nach vier Tagen über die Katastrophe überhaupt informiert worden sind. Wir verdanken es internationaler Hilfe, dass zumindest das Schlimmste verhindert werden konnte und hoffentlich auch eine Lösung gefunden werden kann.	It is only because of Mr Nikitin, and the independent media, which face increased repression, that we heard about the disaster at all, four days after the event.Thanks to international support, it was at least possible to avoid the very worst and I hope that it will also be possible to find a solution.
Aber das ist kein befriedigender Zustand.	But that is not a satisfactory state of affairs.
Deshalb ist nicht nur unsere Hilfe gefordert, sondern auch ein offenes Wort.	That is why they need not only our help, but also frank talking.
Es bedarf eines offenen Wortes und eines Angebots zur Kooperation, das eben nicht nur Schecks umfasst, sondern auch einschließt, dass der Rechtsstaat, die Staatlichkeit, die freien Medien in Russland entwickelt werden.	What is called for is some plain speaking and an offer of cooperation that does not just mean reaching for our cheque book, but also includes developing the rule of law, democratic processes and independent media in Russia.
Der wichtigste Punkt ist, alle demokratischen Kräfte, alle unabhängigen Medien, die Verwaltung, die Justiz, die jungen Politiker vor allem in den Kommunen auszubilden und zu unterstützen, damit aus Russland ein Partner wird, mit dem wir in diesem Eurasien ohne Gefahren zusammenleben können.	The most important point is to educate and support all democratic forces, all the independent media, the administration, the judiciary, and young politicians, especially those in local government, so that Russia becomes a partner with whom we can safely live together in Eurasia.
Ich möchte jetzt gar nicht auf andere Fragen wie Tschetschenien und vieles andere eingehen.	I do not want to go into other issues such as Chechnya and a host of others at this point.
Allein schon die Kursk ist symptomatisch, wie sehr sich Katastrophen in Russland ökologisch und politisch unmittelbar auf unser Europa auswirken.	Kursk by itself is symptomatic of how disasters in Russia can have a direct environmental and political impact on our part of Europe.
Deshalb ist es unser ureigenstes Interesse, dafür zu sorgen, dass Russland Schritt für Schritt zu einem demokratischen Rechtsstaat entwickelt wird.	That is why it is very much in our interest to make sure that Russia gradually becomes a democratic state where the rule of law prevails.
Wir sehen derzeit unter Präsident Putin eher eine Rückentwicklung, der unsere ganze Sorge gilt.	What we are witnessing at present under President Putin is instead a retrograde trend which is a matter of great concern to us.
Deshalb haben wir hier eine große Verantwortung.	So we have an enormous responsibility here.
