. Nicht angemeldete Erwerbstätigkeit ist eine schöne Umschreibung für Schwarzarbeit.	Undeclared gainful employment is just a euphemism for illicit work.
Das ist ein Problem. Es gibt sie in allen Mitgliedstaaten, in den einen mehr, in den anderen weniger.	It is a problem all Member States face to a greater or lesser extent, and it exists for all sorts of reasons.
Es gibt sie aus den verschiedensten Gründen.	And there are mountains of regulations for tackling illicit work.
Und es gibt Berge von Vorschriften, um die Schwarzarbeit zu bekämpfen. Diese sind natürlich nur wirksam, wenn auch kontrolliert und bestraft wird.	Of course these are only effective if they are implemented in conjunction with supervisory and punitive measures.
Schwarzarbeit kann man aber nicht mit neuen, europäischen Vorschriften bekämpfen.	But introducing new European regulations is no way to go about tackling the problem of illicit work.
Eine Neuauflage der Regulierungswut aus Brüssel wäre für die Bekämpfung der Schwarzarbeit in den Mitgliedstaaten der Europäischen Union nur ein Pflaster auf ein hölzernes Bein.	A new phase of Brussels-inspired regulating mania would be neither use nor ornament in the fight against illicit work in the Member States of the European Union.
Schwarzarbeit muss an der Wurzel bekämpft werden.	Illicit work must be tackled at the roots.
Weshalb arbeiten denn Menschen schwarz, wenn sie dadurch z.B. kein Recht auf sozialen Schutz haben?	Why, for example, are people prepared to do illicit work when it does not entitle them to social protection?
Weshalb beschäftigen Arbeitgeber Schwarzarbeiter, wenn sie ja die Lohnkosten steuerlich nicht absetzen können?	Why are employers prepared to take on illicit workers when they cannot offset the wage costs against tax?
Unsere Berichterstatterin, Frau Glase, hat mit Recht in ihrem Bericht geschrieben, dass die Bekämpfung der Schwarzarbeit eine Querschnittsaufgabe aus vielen Politikbereichen - Finanzen, Wirtschaft, Soziales, Arbeitsmarkt, Justiz - ist.	Our rapporteur, Mrs Glase, rightly states in her report that the fight against illicit work is a task which cuts across a whole range of policy areas, such as finance, the economy, social issues, the labour market, and justice.
Dass illegale Einwanderer Schwarzarbeit verrichten, kann nicht mit arbeitsrechtlichen Vorschriften bekämpft werden.	Illegal immigrants are engaged in illicit work, but industrial law regulations are not the way to go about tackling this problem.
Die illegale Einwanderung muss unterbunden werden, und diesbezüglich sind manche Mitgliedstaaten viel zu lax.	Illegal immigration must be prevented, and many Member States are too lax on this front.
In dem Bericht wird darauf hingewiesen, dass besonders viele Frauen Schwarzarbeit verrichten, vornehmlich im Dienstleistungsbereich.	It is pointed out in the report that a particularly high number of illicit workers are women, principally in the service industry.
Gerade was das Hauspersonal betrifft, sind sowohl die Arbeitnehmer wie auch die Arbeitgeber allzu bereit, nicht angemeldete Erwerbstätigkeit zu verrichten und verrichten zu lassen: die Arbeitgeber, weil sie den administrativen Arbeitsaufwand scheuen, die Arbeitnehmer aus Kostengründen, was Steuern und soziale Beiträge betrifft.	Particularly where domestic servants are concerned, employees are only too willing to pursue, and employers are only too willing to countenance, undeclared gainful employment; in the employer' s case because it cuts down on the administrative burden, and in the employee' s, because they can avoid paying tax and social contributions.
Die kollektive Besteuerung der Ehegatten ist auf jeden Fall in meinem Land ein wesentlicher Grund dafür, dass Hauspersonal ganz einfach nicht angemeldet werden will.	The collective taxation of spouses is a fundamental reason as to why - in my country at any rate - domestic servants simply do not want to be registered.
Und der administrative Aufwand ist besonders für ältere Privatpersonen ein Handicap, Hauspersonal legal einzustellen.	In addition, the amount of paperwork involved is a stumbling block to the lawful employment of domestic servants , particularly for elderly private individuals.
Wir haben in Luxemburg sicher das Problem nicht gelöst, aber im Rahmen des Beschäftigungsplans haben wir die Arbeitgeber von Hauspersonal von der administrativen Arbeit entbunden, und ich glaube, dass die Auszahlung eines Nettolohnes an solches Personal eine wesentliche Erleichterung ist.	We certainly did not solve the problem in Luxembourg, but under the terms of the employment plan, we have released employers of domestic servants from the administrative burden, and I believe that the payment of a net wage to personnel of this kind represents a substantial improvement.
Ich habe natürlich für den Bericht gestimmt, wollte aber insbesondere, was die Frauen betrifft, darauf hinweisen, dass positive, steuerliche und andere Maßnahmen ein wirksameres Mittel zur Bekämpfung der Schwarzarbeit sind als neue, europäische Verbotsmaßnahmen.	Naturally I voted in favour of the report, but I also wanted to point out that positive, tax-related and other measures are a more effective way of tackling illicit work than new, European prohibitive measures, particularly where women are concerned.
