Sehr geehrter Herr Präsident! Der Bericht Skinner ist zu begrüßen.	Mr President, the Skinner report is to be welcomed.
Wer wagt, gewinnt!	Who dares wins!
Dieser Spruch gilt leider nicht für zu viele europäische Unternehmen.	Unfortunately, there are far too many European companies to which this expression does not apply.
Wir sind zwar reich an Erfindungen, aber arm an erfolgreichen kommerziellen Umsetzungen.	We may be good in terms of inventiveness, but we are bad when it comes to successfully putting our inventions into commercial practice.
Zu häufig wandern Verwertungsrechte an amerikanische oder asiatische Konzerne, bevor Klein- und Mittelunternehmen in Europa selbst die Verwertung wagen.	All too often, rights of exploitation go to American or Asian companies before SMEs in Europe have the courage to exploit inventions themselves.
Gerade Jungunternehmer sind oft nicht darüber informiert, wie sie Beteiligungskapital erlangen können.	Young entrepreneurs in particular often have no idea how to obtain equity capital.
Erschwernisse gibt es vor allem in unseren Steuer- und Verwaltungssystemen.	Our tax and administration systems create special problems.
Diese Systeme sind viel zu kompliziert, sehr oft unverständlich, so dass gerade diese Gruppe von Unternehmen über diese Hürden sehr oft frustriert ist.	These systems are far too complicated and are often incomprehensible, so that companies of this kind face frustrating obstacles.
Alle Forderungen nach Schaffung eines reformierten Steuer- und Verwaltungssystems sind daher zu unterstützen.	We should therefore support all the calls for reform of tax systems and administrative structures.
Diese nachteilige Situation muss deshalb rasch geändert werden. Die österreichische Regierung ist diesbezüglich bereits initiativ geworden.	The present undesirable state of affairs needs to be changed as soon as possible, and the Austrian Government has already taken the initiative in this respect.
So wird ab sofort die Börsenumsatzsteuer abgeschafft und der Steuerfreibetrag für Mitarbeiterbeteiligungen verdoppelt.	Stamp duty on stock-exchange transactions has therefore been abolished with immediate effect and the tax allowance on employee share ownership has been doubled.
Es wäre gut, wenn diese Maßnahmen auch von anderen Regierungen nachvollzogen werden und man nicht abwartet, bis man von der Union dazu aufgefordert wird.	It would be good if these measures could also be adopted by other governments instead of waiting until the EU requests them to do so.
