Herr Präsident! Hut ab vor dem Generalberichterstatter und seinem Team!	Mr President, I take my hat off to the general rapporteur and his team.
Ich denke, der Bericht ist eine großartige Leistung.	I regard the report as a great achievement.
Die Erweiterung schließt nicht nur die Menschen ein, sondern auch die Tier- und Pflanzenwelt.	Not only will enlargement affect human beings, it will also have an impact on the plant and animal kingdom.
Diese Gesamtsicht zeigt die ungeheure Komplexität des Themas Erweiterung.	This all-round view demonstrates the enormous complexity of the issue of enlargement.
Viele Einzelaspekte sind zu berücksichtigen.	There are many individual aspects to be taken into account.
Der Ausschuss für Fischerei will auch mitreden, versteht sich aber keineswegs als Bremsklotz.	The Committee on Fisheries wants to have its say, but has no intention of putting a brake on things.
Wir haben ganz konkrete Vorstellungen.	We have some quite specific proposals.
Wir fangen nicht bei Null an, sondern beharren auf dem gemeinsamen Besitzstand, natürlich dem so genannten acquis communautaire. Das tut auch der Ausschuss für Landwirtschaft und ländliche Entwicklung.	We are not going to start back at square one, but we do insist on upholding the Community patrimony, which is of course known as the acquis communautaire, as does the Committee on Agriculture and Rural Development.
Im Bericht Brok gibt es immerhin zehn Punkte, die sich mit den agrarpolitischen Aspekten der Erweiterung befassen. Das gilt jedoch nicht für den Bereich der gemeinsamen europäischen Fischereipolitik.	After all, although the Brok report contains ten points concerning the agricultural policy aspects of enlargement, the common European fisheries policy goes unmentioned.
Diese ist doch nun wirklich eine Gemeinschaftspolitik, eine umfassende dazu.	Now that is a real Community policy, and an all-encompassing one to boot.
Sie erfasst alle Bereiche unseres täglichen Lebens und hat unmittelbare Auswirkungen auf den europäischen Arbeitsmarkt.	It encompasses all aspects of our daily life and directly affects the European labour market.
Die Konsequenzen einer nicht berücksichtigten Fischereipolitik könnten verheerend sein und sollten nicht mit dem bloßen Hinweis auf die Solidarität der Völker abgetan werden.	The consequences of failing to take the fisheries policy into account could prove disastrous and should not be dismissed merely by referring to solidarity amongst the nations.
Leider haben diese Aspekte bisher im Bericht keine Berücksichtigung gefunden, mit der Ausnahme, dass die einstimmige Stellungnahme des Ausschusses für Fischerei als Anhang wiederzufinden ist.	Unfortunately, so far, the report has failed to take account of these aspects, apart from the fact that the unanimous opinion of the Committee on Fisheries reappears as the annex.
Das reicht nicht.	That is not enough.
So bitten wir den Berichterstatter, die Kommission und den Rat, den agrarpolitischen Teil um den fischereipolitischen Teil zu ergänzen, zum Beispiel, indem wir aus dem Titel "agrarpolitische Aspekte der Erweiterung " "agrar- und fischereipolitische Aspekte der Erweiterung " machen.	We therefore call upon the rapporteur, the Commission and the Council to supplement the agricultural policy section with the fisheries policy section, for example by changing the title 'Agricultural Aspects of Enlargement' to 'Agricultural and Fisheries Aspects of Enlargement' .
Die redaktionelle Aufnahme dürfte sich mühelos durchführen lassen.	It should not prove difficult to make the necessary editorial changes.
Rechtsvorschriften und Informationspflichten beispielsweise hält nämlich auch der Ausschuss für Fischerei für elementar wichtig.	After all, the Committee on Fisheries believes legal provisions and information obligations, for example, to be of fundamental importance too.
Ich bitte um Unterstützung der entsprechenden Anträge.	I would urge you to support the relevant amendments.
