. Weniger wäre mehr gewesen!	Less would have amounted to more!
Ich habe mich bei der Abstimmung über diese Bandwurmentschließung zur Erweiterung enthalten, weil ich der Meinung bin, dass das Parlament mit diesem teils unverdaulichen Papierberg der politisch wichtigen und guten Sache der Erweiterung der europäischen Union nach Osten und Süden keinen guten Dienst geleistet hat.	I abstained in the vote on this never-ending resolution on enlargement because I believe that Parliament would be doing a disservice to the politically important and worthy cause of eastward and southward enlargement of the European Union to the south and east with this semi-digestible screed of paper.
Ich befürchte sogar, dass diese Sammlung von Länder- und Querschnittsberichten sich vor allem in den Ländern, insbesondere in Zentral- und Osteuropa, die einen Antrag auf Beitritt zur Europäischen Union gestellt haben, als kontraproduktiv erweisen wird.	I even fear that this collection of country reports and comparative reports will prove counterproductive, particularly in the countries that have applied for membership of the European Union, and more especially in the applicant countries of Central and Eastern Europe.
Die Wirkung der Bandwurmresolution von 127 Paragraphen riskiert sogar, im umgekehrten Verhältnis zu ihrer Länge zu stehen.	The impact of this long-winded resolution of 127 paragraphs, indeed, is liable to be in inverse proportion to its length.
Wir hätten es bei den Länderberichten und bei höchstens einer kurzen aber prägnanten Entschließung bewenden lassen sollen.	We should have made do with the country reports, adding at most a short, yet succinct resolution.
Worauf es doch ankommt, ist, von hier aus das richtige Signal zu entsenden, dass wir den Beitritt wollen, dass er nicht verzögert werden soll, wobei allerdings klar sein muss, dass die Erweiterung sowohl für die beitrittswilligen Länder als für die Gemeinschaft wirtschaftlich, sozial und finanziell verkraftbar sein muss.	Our purpose, after all, should be to send the right signal from here, saying that we want these countries' accession and that it should not be delayed, but also making it clear that enlargement must be economically, socially and financially manageable, both for the applicant countries and for the Community.
Realismus in Bezug auf das Verkraftbare ist nicht Verzögerung, im Gegenteil!	A realistic approach to manageability is not procrastination - it is quite the opposite.
Wir wollen, aus vielen guten Gründen und nicht zuletzt für die Sicherung eines dauerhaften Friedens, die Vereinigung Gesamteuropas, die allein die Kriege, die meine Eltern und auch ich erlebt haben, unmöglich machen wird.	For many good reasons, not least among which is the desire to safeguard a lasting peace, we want the unification of the whole of Europe, which is the only way to exclude the wars that my parents and I have experienced.
Dies hätte heute, mit wenigen Worten, unser Signal sein sollen.	That, in a few words, should have been our message today.
Wir können und wollen von den beitrittswilligen Ländern auch nicht mehr verlangen in puncto "acquis communautaire", als wir selbst bisher zu leisten imstande waren.	We cannot and should not expect the applicant countries to go further than we ourselves have been able to go in implementing the established body of Community law and practice - the acquis communautaire.
Wenn ich das Kapitel "Chancengleichheit und Erweiterung" der Entschließung lese, wo es heißt, dass die Übernahme des gemeinschaftlichen Besitzstandes im Bereich der Gleichstellung der Geschlechter eine conditio sine qua non sei, und die folgenden Forderungen an die beitrittswilligen Länder, so könnte das, was da zusammengeschrieben wurde, von diesen Ländern als "die" Bremse für ihren Beitritt interpretiert werden.	Reading the section of the resolution entitled 'Enlargement and Equal Opportunities' , which states that the adoption of the Community acquis in the area of equality is a sine qua non for accession and makes other demands of the applicant countries, I have the impression that all this could be interpreted by those countries as the ultimate bid to block their accession.
Sie sollten wissen, dass es mit dem gemeinschaftlichen Besitzstand gerade auf diesem Gebiet, das mir sehr am Herzen liegt, gar nicht so weit her ist.	They should know that in this domain, to which I attach great importance, the Community has not actually come very far.
Auf dem Papier, da wurde vieles in puncto Gleichbehandlung und Chancengleichheit von Frauen und Männern erreicht. Aber wie sieht es in der Praxis aus?	On paper, a great deal has been achieved in the area of equality of treatment and equal opportunities for men and women, but how do things stand in practice?
Wir haben ja gerade auf der Tagesordnung dieser Sitzung einen Bericht über die Chancengleichheit für Frauen und Männer, der ja wieder illustriert, wie schlecht es mit dem acquis communautaire in der Praxis gerade auf diesem Gebiet bestellt ist.	It so happens that we have a report on equal opportunities for men and women on the agenda for this very sitting, a report which once more illustrates how stunted the body of Community practice still is in this particular area.
Es wäre ja geradezu arrogant, von den beitrittswilligen Ländern mehr zu fordern als wir seit 25 Jahren, seit es die ersten Gleichbehandlungsrichtlinien gibt, auf diesem Gebiet zu leisten imstande waren.	So it would be nothing less than arrogance on our part to expect more of the applicant countries in this domain than we ourselves have been able to achieve in the 25 years since the adoption of the first directives relating to equal opportunities.
Dies wollte ich gesagt haben und mit meiner Enthaltung zum Ausdruck bringen, dass dieses Parlament besser daran getan hätte, weniger Papiere, dafür aber mehr Substanz zu produzieren.	This is my view, and the purpose of my abstention was to emphasise that this Parliament would have done better to produce less paper but more substance.
Es kam mir auch darauf an, hiermit ein Signal zu senden, das in den beitrittswilligen Ländern richtig verstanden wird, und zwar dass wir den Beitritt wollen, aber auch bei uns imstande sein müssen, die hierfür erforderlichen Bedingungen zu schaffen.	I also wanted to send a signal that would be properly understood in the applicant countries, to convey the message that we are in favour of accession but that we, like they, must first be in a position to create the necessary conditions for their membership.
Und wenn ich mir das ansehe, was bisher in der Regierungskonferenz diesbezüglich geleistet wurde, dann brauchen wir nicht sonderlich stolz zu sein und sollten zuerst vor unserer eigenen Tür fegen, anstatt von den beitrittswilligen Ländern Vorleistungen zu verlangen, die wir selbst nicht zu vollbringen imstande sind.	When I look at what has been done so far to that end at the Intergovernmental Conference, I feel that we have little cause for pride and that we should put our own house in order before imposing prior conditions on the applicant countries, especially when we ourselves have been unable to satisfy these conditions.
