Frau Präsidentin! Herr Hoher Bevollmächtigter!	Madam President, High Representative, honourable Members.
Meine Damen und Herren Abgeordnete! Ich stimme den Kommentaren des Hohen Beauftragten zur Lage im Nahen Osten und zur Lage in Belgrad zu.	I agree with the High Representative' s observations on the situation in the Middle East and on the situation in Belgrade.
Lassen Sie mich zunächst etwas zu Serbien sagen.	Allow me to start by saying a few words on Serbia.
Bei den Wahlen am 24. September hat das serbische Volk Milosevic und sein Regime abgewählt.	During the elections on 24 September, the Serbian people ousted Milosevic and his regime.
Das serbische Volk hat sich deutlich für einen Neuanfang mit neuen politischen Führern entschieden.	The Serbian people voted clearly in favour of a new beginning with new political leaders.
Die Europäische Union hat stets deutlich gemacht, dass das serbische Volk genauso zu Europa gehört wie alle anderen Völker Europas auch.	The European Union has always made it clear that the Serbian people have as much right to be in Europe as any of the other people of Europe.
Wir haben immer deutlich gemacht, dass wir unsere Politik gegenüber Serbien grundlegend neu gestalten werden, wenn das serbische Volk bei den Wahlen für einen Wechsel stimmen wird, der zu einem demokratischen Wandel führt.	We have always made it clear that we would radically revise our policy towards Serbia if the Serbian people voted at the elections in favour of the opposition and, hence, democratic change.
Wir haben deutlich gemacht - und ich möchte das bekräftigen -, dass die Entscheidung bei einem demokratischen Wandel zugleich die Entscheidung für eine Rückkehr nach Europa ist.	We made it clear - and I should like to reaffirm this - that any decision in favour of democratic change would also be a decision to return to Europe.
Es gibt nicht den leisesten Zweifel, dass diese Botschaft in Serbien vernommen wurde. Das serbische Volk hat seine Entscheidung getroffen.	There is not the shadow of a doubt that this message was heard in Serbia and the Serbian people have cast their vote.
Der Sieg wurde errungen, obwohl das Regime große Anstrengungen unternommen hat und weiterhin unternimmt, um ihn zu verhindern.	The victory has been won, although the regime has made and continues to make huge efforts to forestall it.
In diesen Stunden in den Straßen von Belgrad wird sich vielleicht entscheiden, ob der demokratische Wandel jetzt eintritt und ob er gewaltlos eintreten kann.	The question of whether democratic change can now be introduced and if it can be introduced without violence will perhaps be decided in the next few hours on the streets of Belgrade.
Lassen Sie mich das deutlich sagen: Europa steht uneingeschränkt an der Seite der demokratischen Opposition in Serbien.	Allow me to say loud and clear: Europe unreservedly supports the democratic opposition in Serbia.
Wir verlangen, dass die Stimme des serbischen Volkes gehört und respektiert wird, und wir teilen seinen brennenden Wunsch nach dem Abgang von Milosevic und seinem ganzen Regime, das so vielen Menschen im eigenen Land und in vielen anderen Ländern Leid und Unglück gebracht hat.	We call for the voice of the Serbian people to be heard and respected and we share its burning desire to see the back of Milosevic and his cohorts, who have brought so much suffering and unhappiness to so many, both in Serbia and in several other countries.
Sobald der Wille des Volkes respektiert wird - und es wird geschehen, da bin ich ganz sicher -, öffnet das, was in Serbien geschehen ist, die Chance für einen echten und dauerhaften Frieden in der Balkanregion.	As soon as the will of the people is respected - and it will be, of that I have no doubt - what has happened in Serbia will create an opportunity for real, lasting peace in the Balkans.
Es wird dem serbischen Volk die Möglichkeit bieten, wieder ein Teil der europäischen Völkerfamilie zu werden und gemeinsam mit seinen Nachbarn an einer friedlichen und stabilen Zukunft zu bauen.	It will give the Serbian people the chance to rejoin the European family of nations and to build a peaceful and stable future together with its neighbours.
Wenn das serbische Volk einen demokratischen Wandel herbeiführt - und das hat die Europäische Union seit langem versprochen -, erhält die Bundesrepublik Jugoslawien die gleichen Vorteile wie ihre Nachbarn. Die Europäische Union wird zu ihr die gleichen Beziehungen unterhalten.	If the Serbian people bring about democratic change - and the European Union promised this a long time ago - the Federal Republic of Yugoslavia will enjoy the same benefits as its neighbours and the European Union will maintain the same relations with it.
Wir müssen bereit sein, dieses Versprechen einzulösen, sobald der Wille des Volkes respektiert ist.	We must be prepared to keep this promise as soon as the will of the people is respected.
Wie Herr Solana bereits angedeutet hat - und ich kann das bestätigen, die Kommission arbeitet bereits an der Wiederaufbauhilfe für die Wirtschaft und die Infrastruktur in Serbien -, wird diese Hilfe zum Tragen kommen, sobald eine demokratische Regierung im Amt ist.	As Mr Solana has already indicated - and I can confirm that the Commission is already working on reconstruction aid for the Serbian economy and infrastructure - this aid will come to fruition as soon as a democratic government is in office.
Wir sind bereit, die Sanktionen aufzuheben und Nothilfe für die Härten des Winters zu leisten.	We are prepared to lift sanctions and provide emergency aid against the harsh winter conditions.
