Frau Präsidentin, wir haben einiges erlebt in dieser BSE-Krise.	Madam President, we have certainly been through a lot with the BSE crisis.
Eine Kommission ist gestürzt, eine Regierung in Großbritannien wurde auch aus diesen Gründen abgewählt, und es gibt eine innenpolitische Krise in Frankreich - wer weiß, wo sie endet.	It has led to the resignation of a Commission, a British government was voted out partly because of it and now there is an internal policy crisis in France - who knows where it will all end!
Es gibt Menschen, Länder, die diese BSE-Krise instrumentalisieren.	There are people and countries who are using the BSE crisis as a political instrument.
Da stellt sich ein Staatspräsident eines Landes hin und verkündet, es darf kein Tiermehl mehr verfüttert werden, Tiermehl, das nie hätte verfüttert werden dürfen, weil Frankreich die Norm nicht erfüllt hat.	For example, the president of one country has stood up and announced that no more animal meal is to be used as animal feed - animal meal that should never have been fed to animals in the first place, because France has not complied with the standards.
Da stellt sich eine Gesundheitsministerin eines deutschen Bundeslandes hin und sagt, sie fordert wieder Importverbot für englisches oder französisches Rindfleisch.	And the health minister of one of Germany's Länder recently stated that she was demanding a new import ban on English and French beef.
Diese Ministerin hat sich geweigert, Tests einzuführen, was wir im Verbund mit der Aufhebung dieses Embargos gefordert haben.	This minister had refused to introduce the tests which we called for in association with lifting this ban.
Dann hätten wir Tests in Deutschland und damit den wissenschaftlichen Nachweis entweder dafür, dass es kein BSE gibt oder dass es doch BSE-Fälle gibt.	That would have given us tests in Germany and thus, scientific proof, either that there is no BSE or that cases do actually exist.
Dann hätte man sich jetzt nicht beschweren müssen, dass man in eine Kategorie eingestuft wird, in die man nicht hätte eingestuft werden wollen, weil man einfach nur postuliert hat, man ist BSE-frei.	Had that happened, we would not now be complaining that we have been put in an undesirable category just because we asserted that we were BSE-free.
Dann muss ich mir anhören, was Herr Gollnisch hier im Hause sagt, dass seine Fraktion die Speerspitze in der Auseinandersetzung um BSE gewesen sei.	Then Mr Gollnisch turns round and tells this House that his group has been spearheading the BSE debate.
Ihre Fraktion habe ich in dem Untersuchungs- und Kontrollausschuss BSE überhaupt nicht wahrgenommen!	Mr Gollnisch, I do not recall your group contributing to the Temporary Committee of Inquiry into BSE.
Sie haben da überhaupt nicht dran teilgenommen!	You played no part in it whatsoever.
Dann kommt ein Ratspräsident und erzählt uns hier, was er jetzt alles für Maßnahmen ergreifen soll.	Then the President-in-Office comes along and tells this House what measures he now intends to take.
Natürlich ist das richtig, was Sie sagen.	Of course, what you say is quite right, Mr President-in-Office.
Aber das ist selbstverständlich, was Sie uns mitgeteilt haben, selbstverständlich!	But what you told us goes without saying, it is blindingly obvious!
Das ist europäisches Gesetz!	It is European law!
Es ist dringend erforderlich, dass wir der Kommission Instrumentarien an die Hand geben, und das ist auch eine Anforderung an Nizza, dass bei Gefahr im Verzug - Herr Böge hat schon darauf hingewiesen - diese Kommission auch unmittelbar stilllegen, handeln und Strafen verhängen kann, damit nicht erst Jahre vergehen, bis das, was wir als wissenschaftlich und politisch notwendig erkannt haben, nun auch umgesetzt wird!	We urgently need to give the Commission the mechanisms it requires, and that is something that should be done in Nice. And if new threats arise in future - Mr Böge has already referred to this - the Commission needs powers to close down factories, negotiate and impose sanctions immediately, so that years do not have to pass before we recognise what needs to be done in scientific and political terms and take action!
Das ist der eigentliche Skandal, und es hängt - in diesem Moment jedenfalls - nicht an der Kommission, das muss man sagen, Herr Byrne, und ich begrüße Ihren Beitrag heute.	That is the real scandal, and this is not, for the moment at least, a matter for the Commission. We have to recognise that, Mr Byrne, and I welcome your contribution today.
Aber es hat auch mal an der Kommission gehangen!	But it was indeed a matter for the Commission at one point!
Nun hängt es an den Mitgliedstaaten, die nicht umsetzen wollen.	Now it is down to the Member States, who do not want to implement the legislation!
Hier müssen wir den entscheidenden Druck ausüben!	We have a key role to play in exerting pressure here.
Wir befinden uns auf der europäischen Ebene.	This is now a European problem.
Darum habe ich mir erlaubt, über Frankreich und Deutschland zu reden, weil wir es als europäisches Problem begreifen und uns aus den nationalen Scharmützeln, die hier ausgefochten werden, raushalten müssen!	That is why I have taken the liberty of talking about France and Germany, because we have to recognise that this is a European problem and stop indulging in national squabbling!
Wir haben für alle europäischen Bürger die Vorsorgepolitik sicherzustellen, und das haben wir hier solide und vernünftig getan.	We need to establish a precautionary policy for the European public as a whole, and we have done that in a solid and rational way here.
In diesem Sinne begrüße ich auch die Entschließung.	I accordingly welcome the motion for a resolution.
Wir haben uns nicht locken lassen, ein Totalverbot für Tiermehl auszusprechen, denn dann hätten wir ein Totalverbot für Fleisch fordern müssen, denn wenn das, was gegessen werden darf, an die Tiere nicht mehr verfüttert werden kann, ist das nicht nur Unsinn, sondern politischer Populismus!	We have not let ourselves be lured into calling for a total ban on animal meal, because in that case we would have had to call for a total ban on meat, because if what is deemed fit for us to eat can no longer be fed to animals, that is not just nonsense, it is political populism!
Auf den müssen wir hier verzichten und solide weiterarbeiten, wie wir es getan haben!	We need to steer clear of that and to carry on working in the same sensible way as before!
(Beifall)	(Applause)
