Herr Präsident! Vor jeder Regierungskonferenz standen bisher die Zeichen nicht gut.	Mr President, the omens have never been good before any Intergovernmental Conference.
Die offenen Fragen überwogen, und der gemeinsame Grund war schmal.	Unresolved issues have predominated, and the common ground has been narrow.
Jetzt, einige wenige Tage vor dieser Regierungskonferenz, stehen die Zeichen wieder nicht gut.	Now, very few days before the ministerial meeting of the present Intergovernmental Conference, the signs are once again unpromising.
Freilich, diesmal ist es paradoxerweise der sich abzeichnende Konsens, der vielen von uns politische Kopfschmerzen verursacht.	This time, however, it is paradoxically the prospect of an emerging consensus that is causing us political headaches.
Die Einigung, die von Tag zu Tag wahrscheinlicher wird, ist zwar nicht der kleinste gemeinsame Nenner, aber leider doch eher nur ein kleiner, ein sehr kleiner gemeinsamer Nenner.	As the days go by, it is becoming ever likelier that the agreement the ministers will reach, while not representing the lowest common denominator, will be a rather low common denominator, indeed a very low common denominator.
Viele von uns fürchten daher, dass das, was Nizza an institutionellen Reformen bringen wird, die Union nicht wirklich in die Lage versetzen wird, die große Erweiterung um 12 und mehr Mitgliedstaaten durchzuführen, jedenfalls nicht ohne weitere weitergehende Reformen.	Many of us therefore fear that what Nice will offer in the way of institutional reforms will not really enable the Union to implement a major enlargement process involving the accession of twelve or more new Member States, unless further, more extensive reforms are implemented.
Ob in der neuen größeren Familie Einstimmigkeit leichter zu erzielen sein wird als jetzt, wage ich zu bezweifeln.	I venture to doubt whether consensus will be easier to achieve in the new extended family than it is now.
Hoffen wird man aber wenigstens können.	One can but hope.
Neben der globalen Bilanz der kommenden IGC macht mir ein kleines, leider aber nicht feines Detail Sorge.	Besides, the overall result of the coming IGC ministerial meeting, another small but unfortunately far from delicate detail is causing me some concern.
In der Entschließung zu Nizza, über die wir hier diskutieren, gibt es im Punkt 6 einen letzten Halbsatz. Er lautet sinngemäß: Im Verfahren des Artikels 7 EuV, Gefährdung von Demokratie, Menschenrechten usw., soll auch das Parlament ein Initiativrecht bekommen.	In the resolution on Nice that we are discussing here, the last clause in point 6 says in essence that Parliament too should have a right of initiative in procedures under Article 7 of the EU Treaty (breaches of the principles of democracy, respect for human rights, etc.).
Das würde ganz allgemein die zentrale Rolle der Kommission tangieren.	In general terms, this would impinge upon the central role of the Commission.
Ihr Initiativmonopol ist dabei in unserer Union essentiell.	The fact that the Commission has the sole right of initiative is an essential element of our Union.
Ein Initiativrecht des Europäischen Parlaments würde aber auch in dieser hochsensiblen Frage parteipolitischer Willkür Tür und Tor öffnen.	Granting the European Parliament a right of initiative in this highly sensitive domain would throw the door wide open to party-political despotism.
Wollen die europäischen Sozialdemokraten, die diesen Vorschlag eingebracht haben, nun jede Wahl, bei der eine Linksmehrheit verloren geht, das zum Anlass für die Einleitung eines europäischen Scherbengerichts machen?	Do the European Socialists, who tabled this proposal, intend to react to every election in which the Left loses its majority by initiating a campaign of European ostracism against the new government?
Ich warne davor und bitte, morgen gegen diesen Halbsatz zu stimmen!	I advise the House to beware of such a move and ask you to vote against this clause tomorrow.
