Herr Präsident, meine Damen und Herren!	draftsman of the opinion of the Committee on Legal Affairs and the Internal Market.
Im mitberatenden Ausschuss für Recht und Binnenmarkt haben zwei Fragen zu diesem Vorschlag eine entscheidende Rolle gespielt.	Mr President, ladies and gentlemen, two questions about this proposal played a decisive role in the Committee on Legal Affairs and the Internal Market.
Die erste Frage war die, wieweit es überhaupt eine Rechtsgrundlage für diesen Vorschlag gab.	The first question was to what extent there actually was a legal basis for this proposal.
Ich habe als Berichterstatter die Ansicht vertreten, dass das zwar ein lobenswertes Unterfangen ist, das uns hier vorgelegt wurde, aber dass es nun mal leider so ist, dass es innerhalb der Europäischen Union und auch im Verhältnis zu den Mitgliedstaaten relativ klare Regeln gibt, wer welche Kompetenz hat.	As rapporteur, I took the view that the undertaking proposed to us here was admittedly a laudable one, but that, unfortunately, it was simply the case that within the European Union and also in relation to the Member States there were relatively clear rules about who had which competences.
Meine Meinung als Berichterstatter ist, dass Fragen der Organisation der Strafverfolgung und des Strafprozessrechts nicht in die Kompetenz des EU-Vertrages fallen, sondern dass diese Dinge im Bereich der Mitgliedstaaten zu erledigen sind.	As rapporteur, my opinion is that issues relating to organising criminal prosecution and procedural criminal law do not fall within the competence of the Treaty on European Union and that these matters should be dealt with by the Member States.
Leider ist der Ausschuss in meinem konkreten Fall diesem Vorschlag nicht gefolgt, aber ich möchte hier trotzdem diese Meinung als Berichterstatter kundtun.	Unfortunately, the Committee did not go along with my proposal in this specific case, but, as rapporteur, I should nevertheless like to make this opinion known.
Der zweite Aspekt, der eine gewisse Rolle gespielt hat, war die Frage der Videovernehmung.	The second aspect which played a certain part was the issue of evidence recorded on video.
Sie erinnern sich vielleicht an die Debatte über den sogenannten Di Pietro-Bericht, die vor einiger Zeit hier im Hause gelaufen ist.	You may remember the debate on the so-called Di Pietro report, which was held here in this House some time ago.
Damals war dies schon ein hochstreitiges Thema.	At the time, this was already a highly controversial matter.
Der Rechtsausschuss war dem Vorschlag des Berichterstatters entsprechend der Meinung, dass diese Videovernehmung kein geeignetes rechtsstaatliches Mittel sein sollte und hat deshalb Videoaufnahmen aus dem entsprechenden Absatz des entsprechenden Artikels gestrichen.	The Committee on Legal Affairs agreed with the rapporteur's view that this recorded evidence was not a suitable instrument in a State under the rule of law and therefore deleted video recordings from the relevant paragraph of the article concerned.
Ich bitte darum, dass dies auch hier bei den weiteren Beratungen mitberücksichtigt wird.	I would ask that this also be taken into account here in further discussions.
Im Übrigen ist der Vorschlag sehr begrüßenswert.	Otherwise the proposal is very much to be welcomed.
Es wäre nur besser gewesen, man hätte ihn da behandelt, wo er hingehört, nämlich im Bereich des nationalen Gesetzgebers, der alle diese Dinge hervorragend entscheiden könnte.	It would only have been better if it had been dealt with where it belongs, namely in the domain of the national legislator, who could decide all these matters in an exemplary fashion.
Es muss nicht alles auf europäischer Ebene geregelt werden, sonst hätte man nämlich in den Vertrag die Allzuständigkeit reingeschrieben.	Not everything needs to be regulated at European level; if it did an all-embracing competence would have been inserted in the Treaty.
Das hat man aber nicht getan.	But this was not done.
Von daher sollten wir vielleicht auch bei diesem Vorhaben einmal darüber nachdenken, ob es so richtig ist, wenn wir dafür stimmen.	That is why we should perhaps consider once again whether it is right for us to vote in favour of this initiative.
