Herr Präsident! Das Ergebnis von Nizza ist enttäuschend, unzureichend und kleinkariert.	Mr President, the results of Nice are disappointing, unsatisfactory and petty.
Die Handlungsfähigkeit der Union in wirklich entscheidenden Fragen ist nicht verbessert worden.	The Union's ability to act on decisive matters has not been improved.
Das Ergebnis der Kompromisse von Nizza ist nicht mehr Transparenz, sondern mehr Verschleierung.	The outcome of the compromises brokered in Nice is not more transparency, it is more cover-up.
Die demokratische Legitimation der europäischen Politik ist nicht erhöht worden. Stattdessen wurde das Tor geöffnet zu einer schleichenden Intergouvernementalisierung der europäischen Politik und damit auch zu einer noch größeren Bürokratisierung.	The democratic credibility of European policy has not been enhanced; on the contrary, the door has been opened to the insidious intergovernmentalisation of European policy and, by extension, to even greater bureaucratisation.
Sicher, es soll den Post-Nizza-Prozess geben, wenigstens ein kleines Licht am Ende des Tunnels, das wollen wir nicht verkennen.	We shall, of course, have the post-Nice process - that, at least, is a faint light at the end of the tunnel and we must not underestimate it.
Die Erweiterung hat Sie und uns alle vor die gleiche Aufgabe gestellt, vor der Monnet und Schuman und andere vor fünfzig Jahren standen: nämlich eine Methode, eine Struktur und eine Vision für die Zukunft Europas zu entwickeln.	Enlargement has given you, has given us all the same task as Monnet and Schuman had fifty years ago: the task of developing a method, structure and vision for the future of Europe.
Damals galt das für das halbe Europa, und jetzt müssen wir es für das ganze entwickeln.	At that time, this applied to half of Europe; now we must develop it for all of Europe.
Die Erweiterung wäre eine Chance dazu, und diese Chance, Herr Ratspräsident, haben Sie in Nizza vertan.	Enlargement would be a chance to do so, a chance, Mr President-in-Office, which you missed in Nice.
Das ist meine Hauptkritik an Sie.	That is my main criticism of you.
Es mag ja sein, dass Nizza die EU arithmetisch erweiterungsfähig macht.	It may well be that Nice prepares the EU for enlargement numerically.
Aber das historische Versäumnis von Nizza ist, dass hinter ihren Beschlüssen keine Vision erkennbar ist für eine Union, die aus 27 Staaten bestehen wird.	But the historic failing of Nice is that your resolutions are not based on any identifiable vision for a Union of 27 Member States.
Es ist dieser Geist, der Geist Monnets, Schumans und anderer, der in Nizza gefehlt hat und den wir gebraucht hätten.	It is this spirit, the spirit of Monnet, Schuman and others, which was missing in Nice and which was sorely needed.
Stattdessen bestand der Geist von Nizza offensichtlich darin sich zu fragen, wie kann man blockieren, wie kann man intergouvernementalisieren, wie kann man sich also zu Hause als Verteidiger der nationalen Interessen feiern lassen, statt dafür zu sorgen, die Europäische Union wirklich voranzubringen.	Instead, the spirit of Nice clearly amounted to wondering how to block, how to intergovernmentalise, how to be feted at home as the defender of national interests, rather than how to take the European Union forward.
Wenn Monnet, Schuman, Adenauer, de Gasperi und andere so gehandelt hätten, dann hätten wir nie Europäische Gemeinschaften bekommen und dann hätten wir immer noch keine Europäische Union.	If Monnet, Schuman, Adenauer, de Gasperi et al had acted thus, we would never have had European Communities and, as a result, we would still not have European Union.
Präsident Chirac hat von den Regierungschefs gesprochen, die darauf hinweisen, dass die öffentliche Meinung mehr und andere Fortschritte noch nicht versteht und nicht akzeptiert.	President Chirac referred to Heads of Government who point out that public opinion still does not understand or accept more or a different sort of progress.
Das mag ja sein.	That may well be.
Das liegt aber auch daran, ja hauptsächlich daran, dass keiner der Chefs den Mut hat, die öffentliche Meinung zu führen, zu erziehen, voranzutreiben, statt ihr nachzulaufen.	But that is because, that is mainly because none of the heads of government has the courage to lead and educate public opinion pro-actively, rather than running along behind it.
Das Elend Europas ist, dass von den vielen, die es führen wollen, so wenige bereit sind, ihr politisches Schicksal mit der Einigung Europas zu verbinden.	What is heart-breaking about Europe is that so few of its many leaders are prepared to risk their political career by standing or falling by the unification of Europe.
