Herr Präsident! Wir sind in einer Situation, die wir schon seit mittlerweile sechs Jahren haben.	Mr President, we are in exactly the same situation as we were six years ago.
Eigentlich müsste direkt nach mir jetzt noch Herr Graefe zu Baringdorf sprechen, und dann wären diejenigen wieder zusammen, die im Grunde seit sechs Jahren in ihrer Arbeit schwerpunktmäßig nichts anderes machen als BSE. Vieles von dem, was die Agrarminister - sagen wir mal halb freiwillig, halb unfreiwillig - jetzt beschlossen haben, fordert das Europäische Parlament bereits seit mehr als sechs Jahren.	I believe that Mr Graefe zu Baringdorf is due to speak after me; that means that all of us who have basically concentrated on little else in our work over the last six years except BSE are back again. The European Parliament has been calling for much of what the agricultural ministers have now decided - half willingly, half unwillingly - for over six years now.
Herr Byrne hat darauf hingewiesen.	Mr Byrne intimated as much.
Wie war es denn mit der Entfernung von Risikomaterialien?	What was done then about removing risk material?
Da haben doch alle Mitgliedstaaten versucht, zu hindern und zu blockieren, solange es geht.	All the Member States tried to obstruct and block for as long as possible.
Herr Byrne, wenn ich mir dann jetzt anhöre, dass es eine Schwierigkeit ist, über die Frage der Entfernung der Wirbelsäule nachzudenken, dann ist es doch schon wieder ein Gezerre.	If, Mr Byrne, as you now say, the question of removing the vertebral column is a problem, then they are again dragging their feet.
Was soll denn das?	What is the matter with them?
Zur Zeit müssen wir die Wirbelsäule als Risikomaterial verstehen, und zwar in allen Mitgliedsländern.	For the moment we must consider the vertebral column to be risk material, in all Member States.
Sie muss entfernt werden, sie muss im Schlachthaus entfernt werden, und sie muss als Risikomaterial behandelt werden.	It must be removed, it must be removed in the abattoir and it must be treated as risk material.
Schluss! Punkt!	And there is an end to it.
Nicht wieder hier ein kleines Schlupfloch, da ein kleines Schlupfloch!	Not here a little loophole, there a little loophole!
Ich habe mittlerweile gelernt, in elf Jahren in diesem Europäischen Parlament, dass Fortschritt eine Schnecke ist.	I have learned in my eleven years in the European Parliament that progress here moves at a snail's pace.
Das ist nun einmal so.	It is a fact of life.
Wir haben uns im Schneckentempo voranbewegt.	We have moved forward at a snail's pace.
Das ist ja gut, solange wir nach vorne gehen.	That is fine as long as we move forward.
Dagegen habe ich ja gar nichts, aber jetzt möchte ich einmal ein kleines bisschen schneller gehen, denn wir haben die große Chance, dass wir rund um uns in den Mitgliedsländern zitternde Fleischmärkte haben und damit zitternde Agrarminister, zitternde Wirtschaftsminister und alles, was damit zusammenhängt.	I have nothing against that, but I would like to move a wee bit faster here, because now is our chance: we are surrounded in the Member States by jittery meat markets and, as a result, we have got jittery agricultural ministers, jittery finance ministers - everyone has got the jitters.
Leider betrifft es auch Bauern, es betrifft auch die verarbeitende Fleischindustrie und die Tierfutterproduktion, die ich immer in einem Atemzug nenne, die in der Vergangenheit nicht unbedingt etwas getan haben, um die Qualität zu steigern.	Unfortunately, it is also affecting farmers and the meat processing industry and the feedingstuffs industry, which I always mention in the same breath as everyone who did not exactly go out of their way to do anything about improving quality in the past.
Wenn wir uns jetzt diese kollabierenden Fleischmärkte ansehen und die Chance erkennen, die darin liegt, nämlich jetzt Maßnahmen voranzubringen, dann müssen wir uns überlegen: Was sind denn das für Maßnahmen, die wir brauchen?	So if we look at these compliant meat markets and see that here is our chance, the chance to push measures forward, then we must decide exactly what sort of measures we need.
Das beinhaltet natürlich, was Sie eben gesagt haben, Herr Byrne, nämlich die Ausweitung des Begriffs Risikomaterial, dass wir jetzt endlich Separatorenfleisch insgesamt verbieten können.	They obviously include, as you have just said Mr Byrne, extending the definition of risk material, so that we can, at long last, ban all mechanically recovered meat.
Na prima, das hätten wir seit Jahren haben können, aber es muss insgesamt verboten werden, und nicht wieder nur so ein bisschen vom Schädelknochen und von der Wirbelsäule!	Of course, we could have done this years ago, but it must all be banned, not just a bit from the skull and a bit from the vertebral column like last time.
Insgesamt weg damit, das brauchen wir nicht mehr in einer Überflussgesellschaft wie der unseren, das ist völlig klar!	We must get rid of it all; we no longer need it in an affluent society like ours, that is obvious.
Was brauchen wir denn noch?	What else do we need to do?
Wir brauchen in der Tat eine gleiche Behandlung von tierischen Fetten.	We need to do the same with animal fats.
Es kann nicht sein, dass wir bei tierischen Fetten oder bei Gelatine einen Unterschied machen, ob es zum Beispiel in die menschliche Nahrungsmittelkette gelangt oder ob es zum Beispiel für Kosmetika oder für Pharmazeutika verwendet wird.	We cannot differentiate between animal fats or gelatine on the basis, for example, of whether or not they reach the human food chain or whether or not they are used in cosmetics and pharmaceuticals.
Das kann nicht sein.	That is out of the question.
Fette müssen unter dem Hochdruckverfahren sterilisiert werden, Punkt!	Fats must be sterilised by pressure cooking. End of story!
Nichts anderes darf mehr verwendet werden.	No other method should be allowed now.
Wir müssen Risiken minimieren, völlig klar!	We must minimise the risks, that is obvious.
Sie haben dann etwas ganz Wundervolles gesagt, Herr Byrne. Darauf möchte ich auch gerne zurückkommen.	You said something quite wonderful, Mr Byrne and I should like to pick up on it.
Wie behandeln wir Ausnahmen in den Mitgliedsländern, bei der Wirbelsäule, bei Fetten und bei anderen?	How do we handle derogations in the Member States for the vertebral column, fats and so on?
Wie behandeln wir Mitgliedsländer, die BSE-frei sind?	What do we do about the Member States which are BSE-free?
Da lehne ich mich entspannt zurück und denke mir: Das kenne ich doch.	That is when I lean back in my chair and think to myself: here we go again.
Das habe ich doch schon einmal gehört in den letzten Jahren.	I have heard it all before in recent years.
Welches Mitgliedsland ist denn BSE-frei?	Exactly which Member State is BSE-free?
Und, gestatten Sie mir die Frage: Woher wissen die das?	And may I ask: how do they know?
Gucken die den Rindern in den Kopf rein, und wenn sie das können, möchten sie uns bitte erklären, wie das geht!	Do they look inside the animals' head? And if they can do that, perhaps they can tell us exactly what is going on.
Das möchten wir dann bitte auch können!	We too want to do likewise.
Solange die Mitgliedsländer keinen flächendeckenden Test gemacht haben, bei allen Nachlässigkeiten dieser Tests, die wir kennen, solange nicht flächendeckend alles getestet wird, und zwar - mit dem Kollegen Böge bin ich einer Meinung - auch die Tiere, die vom Markt genommen werden, denn nur dann bekommen wir ein vollständiges Bild, solange nicht flächendeckend getestet wird, wissen wir nicht, ob Finnland, Deutschland, Österreich oder Italien BSE-frei sind.	Until such time as the Member States introduce comprehensive testing, and we know how slipshod testing can be, until such time as everything is tested comprehensively, including - and I agree with Mr Böge here - the animals taken from the market, then we shall never have a complete picture; until such time as there is comprehensive testing, we shall not know if Finland, Germany, Austria or Italy are BSE-free.
Solange wir das nicht wissen, behandeln wir alle Mitgliedsländer gleich, Punkt!	And until we have that information, we shall treat all Member States the same, end of story.
Dann wollen wir sehen, welches Mitgliedsland wieder der Blockierer ist, und das machen wir in der Öffentlichkeit deutlich.	Then we shall see which Member States block everything again and we shall publicise the fact.
Ich möchte die Mitgliedsländer sehen, die das zur Zeit aushalten.	I wonder just which Member States think they can hold out now.
Neben all den Punkten, die ich nun nicht mehr ansprechen kann, komme ich trotzdem kurz zu meinem Lieblingsthema seit langem: Wir können die beste Gesetzgebung hier in der Europäischen Union machen - sie nutzt nichts, solange sie in den Mitgliedsländern nicht kontrolliert wird.	There is no time left to address all the points, but I must, nonetheless, touch on what has been my favourite subject for a long time: we can pass the best legislation here in the European Union, but what use is it if it is not controlled in the Member States?
Ich bin der Überzeugung, es gibt in allen Mitgliedsländern zu wenig Veterinäre, zu wenig Lebensmittelkontrolleure und zu wenig Kontrollen vor Ort.	I believe that there are too few veterinarians in all the Member States, too few food inspectors, too few on-site inspections.
Deshalb fordere ich Sie auf, Herr Byrne, die Mitgliedsländer zu verpflichten, Ihnen zu berichten, wie viele Veterinäre es gibt, wie viele Lebensmittelkontrolleure es gibt, wann kontrollieren die was, und was haben sie in der Vergangenheit getan, und Ihre monatlichen Berichte begrüße ich sehr und danke Ihnen dafür!	Which is why I call on you, Mr Byrne, to force the Member States to report to you on how many veterinarians they have, how many food inspectors they have, when and what they control and what they have done in the past. I welcome and thank you for your monthly reports!
