Zu meinem Erstaunen spricht als nächster Redner Herr Ferber für zwei Minuten!	To my astonishment, the next speaker is Mr Ferber for two minutes.
Ferber (PPE-DE).	Ferber (PPE-DE).
Herr Präsident, Sie haben hier die Sitzung zu leiten und kein Erstaunen kundzutun! Herr Kommissionspräsident, liebe Kolleginnen und Kollegen!	Mr President, it is your job to chair the debate, not proclaim your astonishment.
Die Kommission hat uns ein fleißiges Arbeitsprogramm für das Jahr 2001 vorgelegt. Also eines kann man sicherlich konstatieren: Fleißig ist sie, fleißig will sie sein.	Mr President of the Commission, ladies and gentlemen, the Commission has presented us with a tough programme of work for 2001, leaving us in no doubt as to the fact that it is hard-working and that it wants to be hard-working.
Aber wenn ich mir anschaue, was allein an Übertragungen aus dem Jahr 2000, also aus dem letztjährigen Arbeitsprogramm, für dieses Jahr noch zusätzlich dazukommt, dann habe ich schon die Sorge, dass wir am Ende nur noch Übertragungen haben und gar keine Zeit mehr für neue Initiativen.	But just seeing what else has to be done this year, merely in order to clear the backlog from 2000, i.e. from last year's programme of work, and I am already worrying that we will have carry-overs at the end and hardly any time left for new initiatives.
Das heißt, Sie müssten sich schon einmal überlegen, ob Sie nicht auch im Vorgriff auf das, was im Post-Nizza-Prozess erarbeitet werden soll, nämlich die Frage der Kompetenzabgrenzung, ob Sie die Arbeit nicht auf das Wesentliche zu konzentrieren haben, und ob Sie da als Kommission, als vorschlagsberechtigte Instanz in diesem Europa, mit gutem Beispiel vorangehen könnten.	In other words, you should have anticipated the need to focus on the fundamental issues to be worked out in the post-Nice process, namely the division of powers, and seen if you as the Commission, as the institution with the right of initiative in the European Union, could set a good example here.
Damit würden Sie zum einen erreichen, dass Sie nicht so viele Themen in das nächste oder übernächste Jahr übertragen, zum anderen, dass die Menschen mitbekommen, was an wichtigen Entscheidungen in diesem Europa insgesamt getroffen wird.	That way you would not need to carry so many subjects over to the following year, or even the year after that, and the people would realise just what important decisions are taken in Europe as a whole.
Ich möchte Sie wirklich ermuntern - und ich habe alles mit großer Aufmerksamkeit durchgelesen, was Sie vorschlagen wollen - hier zu überprüfen, ob nicht das eine oder andere Thema im Rahmen einer sinnvollen Kompetenzabgrenzung als nicht unbedingt nötig betrachtet werden könnte.	I really would urge you - and I have read everything that you have proposed very carefully - to check if any of the subjects within the framework of a sensible division of powers are perhaps not absolutely necessary.
Ein zweites Thema möchte ich kurz ansprechen, weil ich ein überzeugter Kämpfer für die repräsentative Demokratie bin.	There is a second point that I should like to touch on because I am a dyed-in-the-wool supporter of representative democracy.
Ich habe ein bisschen Sorge angesichts Ihres Ansatzes der new governance.	I am a little concerned about your approach to new governance.
Es geht um die Frage, welche Rolle ein gewähltes Parlament, das sich verantworten muss, auch zu Hause vor den Bürgerinnen und Bürgern, im Verhältnis zu Verbänden hat, die diese Verantwortung so nicht haben.	What I should like to know is what role an elected parliament, which must answer for itself, including to its citizens at home, has in relation to associations which have no such responsibility.
Gerade auf europäischer Ebene kommen zahlreiche Vertreter von Verbänden immer wieder auch zu uns in die Büros, und man fragt sich manchmal schon, wo sind die zu Hause überhaupt noch angekoppelt, wen vertreten die eigentlich hier in Europa?	It is here at European level that endless representatives of associations keep popping up and beating a path to our offices and one sometimes wonders exactly who has accredited them back home, whom exactly they are representing here in Europe.
Es kann nicht Sinn und Zweck eines solchen neuen Ansatzes sein, dass die, die nicht legitimiert sind, das Sagen bekommen, während die, die legitimiert sind, nämlich wir, das Europäische Parlament, damit entmachtet werden!	Surely the purpose of this new approach cannot be to give those with no credentials a say and to undermine those with credentials, namely us here in the European Parliament, in the process.
Der Präsident.	President.
Herr Kollege, ich glaube, Sie haben mich vorhin missverstanden.	My dear sir, I think you misunderstood me earlier.
Mein Erstaunen bezog sich nicht auf Ihre Person, sondern lediglich auf die Länge Ihrer Redezeit!	The cause of my astonishment was merely your speaking time, not you personally.
