Herr Präsident, ich will dort fortfahren, wo Kollegin Stenzel aufgehört hat.	Mr President, I will continue where my colleague Mr Stenzel left off.
Wir hatten Bedenken gegen den Beitrittsstatus, aber jetzt ist er da, und deshalb hat die Türkei auch das Recht, an den finanziellen Mitteln teilzuhaben.	We had concerns about Turkey's candidate status, but now it is here, and Turkey therefore also has the right to be included in the financial instruments.
Ich sage das ohne Wenn und Aber.	I say this without any ifs and buts.
Ich begrüße es, dass mit dieser Verordnung nunmehr Klarheit geschaffen wurde, zumal die Europäische Union in den letzten fünf Jahren seit Abschluss des Zollunionsvertrages wenig getan hat, um ihre finanziellen Verpflichtungen gegenüber der Türkei tatsächlich zu erfüllen.	I welcome the fact that this regulation has now established clarity, especially as the European Union has actually done very little to fulfil its financial commitments towards Turkey since the conclusion of the Customs Union Treaty five years ago.
Hiermit ist ein Neuanfang gemacht, den wir uneingeschränkt unterstützen.	So this is a fresh start which has our full support.
Was die beiden Programme angeht, möchte ich der Kollegin Stenzel zwar zustimmen, auf der anderen Seite aber auch sagen, dass es nicht reicht, wenn wir die 177 Millionen, die im Rahmen der Heranführungsstrategie bereits veranschlagt waren, als Gesamtrahmen ansehen; der Türkei muss dann auch, wie es der Kollege Kuckelkorn formulierte, frisches Geld, also zusätzliches Geld für die wirtschaftliche und soziale Kohäsion zur Verfügung gestellt werden.	As far as the two programmes are concerned, I wish I could agree with my colleague Mr Stenzel, but I must also point out that it is not enough for us to view the 177 million already envisaged for the pre-accession strategy as a general framework. As Mr Kuckelkorn has said, new money, i.e. additional funding, must be made available to Turkey for economic and social cohesion.
Das ist unser gemeinsames Anliegen, und deshalb unterstützen wir auch den Gesamtbericht von Herrn Swoboda, nicht in allen Facetten, nicht in allen Änderungsanträgen, aber in der Gesamttendenz.	This is our common concern, and we therefore support Mr Swoboda's report in general terms - not in every respect, and not all the proposed amendments, but its general trend.
Die Verordnung sieht einen Artikel 4 vor, der es unter besonderen Bedingungen ermöglicht, die Mittel auszusetzen.	The regulation includes an Article 4 which allows funding to be suspended under certain circumstances.
Dieser Artikel 4 ist notwendig, und es liegt jetzt an der Türkei, alle unsere Fragen, die wir seit Jahren aufwerfen, zu beantworten und Fortschritte im Hinblick auf die demokratische Grundstruktur, im Hinblick auf die Rolle des Militärs im nationalen Sicherheitsrat, im Hinblick auf die Verwirklichung der Menschenrechte, der Minderheitenrechte zu verzeichnen.	This Article 4 is necessary, and it is now up to Turkey to answer all the questions which we have been asking for years, and make progress with regard to a basic democratic structure, the role of the military in the National Security Council, and human and minority right.
Ich glaube, dass sich hier zu unserem großen Bedauern in den letzten Monaten relativ wenig getan hat; im Gegenteil, wir haben den Eindruck gewonnen, dass die Fortschritte, die im zweiten Halbjahr 2000 am Anfang zu verzeichnen waren, jetzt wieder zurückgedreht werden und dass die türkische Seite, die Regierung selbst, der Mut verlassen hat, um diese Schritte mutig und schnell einzuleiten.	To our great regret, I believe that relatively little has been done in these areas in recent months; on the contrary, we have the impression that the progress initially achieved in the second half of 2000 has now been reversed and that the Turkish side - the government itself - has lost the courage to adopt these measures swiftly and resolutely.
Dieser Artikel 4 ist kein Instrument, das man beliebig nutzen kann, sondern nur für den Fall gedacht, dass in diesem Heranführungsprozess wirklich gravierende Mängel vorhanden sind, und ich hoffe, dass dieser Artikel 4 nicht schon bald angewendet werden muss.	Article 4 is not an instrument which can be used indiscriminately; it is only intended for the event that very serious shortcomings become evident in the pre-accession process, and I hope that it will not need to be used in the near future.
Eines muss allerdings klar sein: Den Beitritt der Türkei zur Europäischen Union kann es nur zu den europäischen und nicht ausschließlich zu den türkischen Bedingungen geben.	But one thing must be clear: Turkey's accession to the European Union can only take place under the conditions set by Europe, not simply on Turkey's terms.
Diesem Missverständnis in der türkischen Öffentlichkeit wurde bisher weder von der Politik noch von der Regierung entgegengewirkt.	So far, neither politics nor the government has addressed this misconception held by the Turkish public.
Ich habe auch die Bitte an die Kollegen auf der Tribüne, dass sie daran mitwirken, dieses Missverständnis endlich zu beseitigen.	So I would also ask our colleagues on the rostrum to help dispel this misconception at last.
Einen Beitritt wird es nur zu unseren Bedingungen geben.	Accession will only take place on our terms.
