Herr Präsident, meine sehr verehrten Damen und Herren!	Commission.
Ich möchte zunächst dem Herrn Abgeordneten Swoboda für seinen Bericht sehr herzlich danken und dem Parlament auch insgesamt danken für eine außerordentlich konstruktive und verantwortungsvolle Debatte, von der ich glaube, dass sie ein sehr positives, aber auch ein sehr klares und deutliches Signal an die Türkei gesandt hat.	Mr President, ladies and gentlemen, I would first of all like to congratulate Mr Swoboda on his report and to thank Parliament for an extremely constructive and responsible debate. I think you have sent a very positive and also a very clear and unambiguous signal to Turkey.
Ich glaube, wir können am Ende dieser Debatte feststellen, dass die Übereinstimmung in der Frage der Türkei-Politik deutlich größer geworden ist.	I believe that, at the end of this debate, we can say that consensus regarding our policy towards Turkey has become much broader.
Wir stimmen darin überein, dass die derzeitige Lage der Menschenrechte, des Minderheitenschutzes, der demokratischen und rechtsstaatlichen Qualität in der Türkei unseren Vorstellungen nicht entspricht.	We agree that the current situation regarding human rights, the protection of minorities and the quality of democracy and the rule of law in Turkey is not what we would wish for.
Daran hat sich leider nichts geändert.	Unfortunately, nothing has changed in that regard.
Es hat keinen Sinn, diese Feststellung zu beschönigen oder irgendetwas von den Tatsachen zu verschweigen.	There is no point glossing over this fact or remaining silent about what is actually happening.
Gerade weil es so ist, weil die Lage so unbefriedigend ist, reden wir ja darüber und darüber, welche politischen Möglichkeiten wir haben, das zu verändern.	Because the situation is as it is, because it is so unsatisfactory, we have endlessly debated what political possibilities we have of changing it.
Damit komme ich zum zweiten Punkt.	This brings me to my second point.
Auch darin stimmen wir überein, dass es nicht nur im türkischen, sondern im gesamteuropäischen Interesse, und ganz besonders im Interesse der Europäischen Union liegt, die Türkei als einen stabilen und verlässlichen Partner dauerhaft an uns zu binden.	We also agree that it is not only in Turkey' s interest but in the interest of Europe as a whole, and especially in the interest of the European Union, to have Turkey as a stable and reliable partner in the long term.
Sicher stimmt mir jeder in diesem Hause zu, wenn ich sage, dass die Stabilität eines Staates auf Dauer nur garantiert ist, wenn dieser Staat gegründet ist auf den Werten, die wir gemeinsam teilen, wie Demokratie, Rechtsstaatlichkeit und Minderheitenschutz.	I am sure everyone in this House will agree with me when I say the long-term stability of a state can only be guaranteed if this state is founded on the values we all share, such as democracy, the rule of law, and the protection of minorities.
Ich denke, drittens stimmen wir auch darin überein, dass sich die Perspektive der Mitgliedschaft in der Europäischen Union, bisher jedenfalls in der gesamten Geschichte unserer Erweiterungen, als der zentrale, der wichtigste Beschleuniger für Reformen erwiesen hat.	Thirdly, I think we agree that the prospect of membership of the European Union has been the central and most important catalyst for reform; at least this has been the case throughout the entire history of our enlargement process.
