Herr Präsident! Ich finde den Bericht in Ordnung, und ich gratuliere der Berichterstatterin.	Mr President, I believe the report is a sound one, and I congratulate the rapporteur.
Ich finde auch den Begriff "Forschungsraum " ein gelungenes Wort.	I also find the term 'research area' very effective.
Ich glaube, das ist eine gute Initiative der Kommission.	I believe this is a good initiative from the Commission.
Ich möchte etwas zu den Ausführungen von Herrn Alyssandrakis sagen, der mir das Stichwort für die folgenden Bemerkungen gegeben hat. Wenn Griechenland mehr Geld für die Forschung ausgeben würde, wäre es auch weniger abhängig von Brüssel.	I should like to say a word or two on Mr Alyssandrakis' remarks, which invite the comment that, if Greece spent more money on research, it would be less dependent on Brussels.
Das ist das Problem vieler Länder in der Europäischen Union.	That is the problem for many countries in the European Union.
Sie haben ihre Forschungsmittel - für große wie kleine Vorhaben - zurückgenommen.	They have cut back on their research funding for both large and small projects.
Die europäische Forschung kann diese Lücke nicht füllen.	European research cannot fill this gap.
Wenn wir einen europäischen Forschungsraum haben wollen, müssen zwei Beteiligte mitwirken, die EU und auch die Mitgliedstaaten, sonst kommt es zu einer Schieflage, die wir nicht bewältigen können.	If we want to have a European Research Area, the EU and the Member States must both play their part, otherwise we shall be faced with an imbalance that we cannot redress.
Ferner sehe ich eine große Aufgabe im Zusammenhang mit der Verwaltung dieser Forschungsvorhaben, insbesondere, wenn wir die Europäische Union vergrößern.	I also see the administration of these research projects as a major challenge, especially when we enlarge the European Union.
Dies ist auf Dauer von Brüssel aus nicht zu verwalten.	Brussels will not be able to go on administering them in the long run.
Deswegen sollten wir in Zusammenarbeit etwa mit der Haushaltskontrolle, mit dem Rechnungshof versuchen, hier Verfahren zu entwickeln, damit die administrativen Lasten geringer werden.	That is why we should try, perhaps with the budgetary control apparatus, with the Court of Auditors, to develop procedures that will lighten the administrative burden in this domain.
Forschung kann übrigens nicht mit dem Geist von Buchhaltern betrieben werden.	Besides, the research effort cannot be governed by the principles of prudent accounting.
Forschung bedeutet Risiken - im Übrigen auch finanzielle Risiken.	Research means taking risks, and some of these risks will inevitably be financial.
Entscheidend ist, was dabei herauskommt.	The crux of all research activity is the final outcome.
Das Ergebnis ist entscheidend, nicht unbedingt immer die Abrechnung.	The bottom line is the result of the research and not necessarily the financial balance.
Mir wäre ein gelungenes Projekt, bei dem man vielleicht auch Geld verloren hat, viel lieber als eine komplette Abrechnung eines Projekts, bei dem am Schluss überhaupt nichts herauskommt.	I should far rather have a successful project on which some losses might have been sustained than a project with a perfect balance sheet but no useful findings.
(Beifall)	(Applause)
