Herr Präsident! Alle Mitgliedstaaten der Europäischen Union betreiben Frauen- und Familienpolitik.	Mr President, every Member State in the European Union applies policies on women and families.
In welcher Form sie das tun, hängt im wesentlichen von den Verfassungen der Länder und deren politischen Instanzen ab.	The way in which they do so depends mainly on their constitution and political institutions.
Trotz einiger Fortschritte in der Behandlung der Frauen in bezahlter Erwerbstätigkeit und bei der Umsetzung von Gleichstellungsgrenzen in ganz Europa bleibt die geschlechterspezifische Ungleichheit weiter bestehen.	Despite some progress in the treatment of women in paid employment and in implementing equal treatment boundaries throughout Europe, sexual inequality persists.
Die Hauptthemen werden im Bericht richtig dargestellt.	The main aspects are correctly presented in the report.
Das ist die Darstellung der Situation hinsichtlich der selbständigen Erwerbstätigkeit von Frauen, das sind die geschlechterspezifischen Lohngefälle, das sind Unterschiede in den Beschäftigungsformen und unbezahlte Arbeit.	This applies to the description of the situation of self-employed women, to gender-specific wage differentials and to differences in types of employment and unpaid work.
Das wirtschaftliche Auf und Ab hat gravierende Folgen für die individuellen Lebensbedingungen der Familien, an deren Lasten die Frauen schwer zu tragen haben.	These economic ups and downs have serious consequences on the standard of living of individual families, most of the responsibility for which is shouldered by women.
Zum bevorstehenden 8. März soll sich der Standpunkt durchsetzen, dass die Leistungen eines Menschen stärker ins Gewicht fallen als sein Geschlecht.	As 8 March approaches, we need to get the point across that a person's achievements count for more than his or her sex.
Häusliche Gewalt und stereotype, um nicht zu sagen mittelalterliche Darstellungen über die Leistung von Frauen für die Gesellschaft sollten endgültig zur Vergangenheit gehören.	Domestic violence and stereotypes, not to mention mediaeval perceptions of a woman's place, should be consigned to the past once and for all.
Ich wünsche mir ein Europa mit einer Kultur, wo die Würde von Mann und Frau, von Ausländern, von Einwanderern ein Zugewinn und keine wirtschaftliche Belastung ist.	I want a Europe with one culture, where the dignity of men and women and of foreigners and immigrants is an asset, not an economic burden.
Der Bericht schätzt ein, dass es damit nicht zum Besten bestellt ist.	The report considers that all is not well here.
Trotzdem nimmt die Zahl der Einwanderungsstände zu, woraus sich schlussfolgern lässt, dass es wirklich Zeit wird, in der Europäischen Union beste Bedingungen zu schaffen, sonst könnten sich die Konflikte verschärfen.	Nonetheless, the number of immigrants is rising, begging the conclusion that it really is time to create optimum conditions in the European Union, otherwise conflicts may intensify.
Der Bericht sollte diese Aufgaben in größerem Umfang abdecken.	The report should cover these tasks more amply.
Ich erinnere an die bevorstehende Osterweiterung, indem viele Frauen andere Traditionen und andere Kulturen mitbringen, die es zu bedienen und nicht auf einen Bereich auszugrenzen gilt.	I would remind you that enlargement to the East is imminent, bringing with it many women with different traditions and different cultures who need to be attended to, not sidelined.
