Herr Präsident! Die Kommission hat uns eine gute Vorlage geliefert.	Mr President, the Commission has given us a good basis for discussion.
Ich möchte aber auch dem Berichterstatter für eine wesentliche Verbesserung und Anreicherung dieser Ideen danken.	However, I should also like to thank the rapporteur for substantially improving and enriching the original ideas.
Diese Ideen sind ja an sich nicht neu.	The ideas themselves, in fact, are not new.
Wir haben schon vor 10-15 Jahren darüber gesprochen.	We have been talking about them for the last ten or fifteen years.
Es gibt Berichte, Studien - alles, was wir eigentlich wissen wollen, wissen wir.	There have been reports and studies - we already know everything we really want to know.
Die Frage ist, wie können wir das umsetzen?	The question is how we can implement it all.
Wie kann die Technik, die vorhanden ist, mit dem Geld, das auch vorhanden ist, verbunden werden?	How can the technology, which is already available, be combined with the money, which is also available?
Und da frage ich mich, ob nicht die Europäische Investitionsbank da eine größere Rolle spielen kann.	And here I wonder whether the European Investment Bank could play a bigger part.
Das zweite Problem, das ich ansprechen möchte, sind administrative Dinge.	The second problem I should like to address concerns administrative matters.
Ein kleines Beispiel aus dem Bundesland, aus dem ich komme: Da gibt es mehrere Universitäten, aber nehmen wir einmal eine als Beispiel.	Let me cite one small example in the federal State from which I come. Our State has a number of universities, but let us just take one of them as an example.
Da sollten Gebäude besser isoliert werden, das Energiesystem verbessert werden.	Some of the university buildings were to be better insulated and have better energy systems installed.
Es hat viele Jahre gedauert, bis man das hingekriegt hat.	It took many years before the buildings were refurbished.
Warum?	Why?
Weil die Gebäude dem Finanzministerium gehörten, das Wissenschaftsministerium aber der Nutznießer war.	Because the buildings belonged to the Ministry of Finance, but the Ministry of Science was their user.
Das heißt, ein Ministerium hätte investieren müssen, und das andere hätte einen Vorteil davon gehabt.	In other words, one ministry would have had to invest, but another would have benefited from the investment.
Weil sie aber eine unterschiedliche Rechnungslegung haben, sind sie nicht zusammengekommen.	Because each of them has its own separate accounting system, they did not sit down together.
Es hat viele Jahre gedauert, und es hat übrigens eine Studie der EU gebraucht, bis die zusammenkommen konnten.	It took many years until they were able to agree - and it took an EU study to bring them together, incidentally.
Absurd, aber so ist die Wirklichkeit!	Absurd it may seem, but that is how things are!
Nebenbei, auch in der Stadt, aus der ich komme, wird ein Auto, das außerordentlich viel Benzin verbraucht, derzeit extrem gut verkauft, während Autos, die wenig Benzin brauchen, Schwierigkeiten haben, Abnehmer zu finden.	By the way, in my home town, cars with extremely high petrol consumption are going for a song at the moment, whereas dealers are finding it difficult to sell cars with low fuel consumption.
Das ist das dritte Problem, es ist ein Verhaltensproblem.	This is a third problem, a question of consumer behaviour.
Es liegt auch an den Verbrauchern, nicht nur am Gesetzgeber.	Consumers bear responsibility too, not only legislators.
Wenn alle drei zusammenkommen, können wir etwas erreichen, und ich bin auch auf die Vorlagen der Kommission gespannt.	If administrators, consumers and legislators get their act together, we can achieve something, and I eagerly await the Commission' s proposals.
Ich kann Ihnen versichern, Frau Kommissarin, wir werden Sie darin unterstützen, und wir werden selbst auch Initiativen in diese Richtung vorbringen.	I can assure you, Commissioner, that we shall support you in these efforts, and we shall also present initiatives of our own to that end.
