Herr Präsident! Was geht in den Köpfen von Terroristen vor?	Mr President, what goes on in the minds of terrorists?
Auf Befehl des Taliban-Chefs Mohammad Omar wurden die beiden weltberühmten Buddha-Statuen in Bamian total zerstört, ungeachtet aller internationalen Proteste.	On the orders of Taliban chief Mohammad Omar, the two world-famous Bamiyan Buddha statues have been completely destroyed regardless of all international protests.
Diese jahrtausendealten Schätze, die zum gemeinsamen Kulturerbe zählen, sind unersetzlich.	These millennia-old treasures that are part of our common cultural heritage are irreplaceable.
Nicht einmal die Zusage von weiteren Hilfsgeldern für dieses völlig verarmte Land konnte die selbsternannten Gotteskrieger von den Schandtaten abhalten.	Not even the promise of further aid for this totally impoverished country could deter the self-styled warriors of God from their scandalous acts.
Sie beherrschen Afghanistan, vertreiben Andersdenkende, beuten das Land aus, Menschenrechte werden mit Füßen getreten, Frauen haben keine Chance zum Schulbesuch - meine Kolleginnen haben darauf hingewiesen - und zum Auftreten in der Öffentlichkeit.	They control Afghanistan, drive out dissenters, exploit the country, human rights are trampled under foot, women are denied the opportunity to go to school, as my fellow Members have pointed out, and they are not allowed to appear in public.
Hier herrscht finsterstes Mittelalter.	It is like living in the Middle Ages.
Im Koran steht, Religions- und Gewissensfreiheit sind neben Gerechtigkeit zentrale Elemente der islamischen Gesellschaftsordnung.	The Koran says that freedom of religion and conscience together with justice are central elements of Islamic social order.
Diese Gebote wurden von den Mullahs falsch ausgelegt, ein Missbrauch, der unverzeihlich ist.	These commandments have been misinterpreted by the mullahs, an abuse that is unpardonable.
Pakistan als engster Verbündeter der Taliban, intervenierte ohne Erfolg.	The Taliban' s closest ally, Pakistan, intervened without success.
Herr Kommissar, hier muss die Europäische Union aktiv werden.	Commissioner, the European Union must act here.
Wir von der EVP sind dafür, dass die internationale Staatengemeinschaft diesen Fanatismus und Vandalismus ächtet!	We in the Group of the European People' s Party and European Democrats want the international community to outlaw such fanaticism and vandalism!
