Herr Präsident! Ich möchte mich ausdrücklich der Intervention von Frau Theato anschließen.	Mr President, I would particularly like to support what Mrs Theato said in her speech.
Ich halte es auch für ein Riesenproblem, dass der Rat bei dieser Diskussion nicht dabei ist.	I too regard it as an enormous problem that the Council is not present for this debate.
Wenn man dann noch den Bericht des Rates zur Entlastung anschaut, dann bekommt man wirklich den Eindruck, dass der Rat in vielen Bereichen keine Ahnung hat, wovon er schreibt.	When you look at the Council's report on the discharge, you really get the impression that in many areas the Council does not know what it is talking about.
Gerade im Bereich des Entwicklungsfonds zum Beispiel hat man den Eindruck, dass der Rat seine Stellungnahmen, die er schon vor Jahren abgegeben hat, einfach wieder auflegte, anstatt sich wirklich mit dem Thema auseinander zu setzen.	For instance, when it comes to the Development Funds, you get the impression that the Council has simply dusted off the same opinions it delivered years ago, instead of really coming to grips with the subject.
Das halte ich besonders deshalb für einen Skandal, weil der Rat gerade in dem Bereich mit dafür verantwortlich ist, dass es hier Probleme gibt.	I think this is particularly scandalous given that the Council is partly responsible for the fact that there are problems in this area in the first place.
Es gibt hier immer noch ungeklärte Zuständigkeitskonflikte zwischen den Mitgliedstaaten und der Kommission.	There are still unresolved conflicts of responsibility between the Member States and the Commission here.
Hier erwarte ich, dass der Rat etwas mehr Verantwortungsbewusstsein zeigt und mehr Verantwortung übernimmt.	So I expect the Council to display a rather greater sense of responsibility and to accept more responsibility.
Das Parlament bemüht sich, bei dieser Entlastung sehr genau zwischen dem, was an dringend erforderlichen Kontrollaufgaben nötig ist, und dem, was auf der anderen Seite natürlich genauso wichtig ist, nämlich einen weiteren Vertrauensverlust für die europäischen Institutionen zu vermeiden, abzuwägen.	Parliament is making an effort in the case of this discharge to strike a very careful balance between the urgently required verification work needed, on the one hand, and on the other hand, and this is just as important, the issue of a further loss of confidence in the European institutions.
Ich habe mir deshalb als Berichterstatterin für den Entwicklungsfonds sehr lange überlegt, ob ich wirklich für einen Aufschub der Entlastung eintreten kann.	So as rapporteur for the Development Funds I have given considerable thought to whether I can really call for postponement of the discharge.
Aber die Entscheidung ist klar, und ich habe auch die volle Zustimmung des Ausschusses für Haushaltskontrolle.	But this is a clear decision, and I have the full support of the Committee on Budgetary Control.
Ich möchte aber noch einmal ausdrücklich betonen, dass wir nicht die Entlastung verweigern, wie es heute zum Beispiel in einer Zeitung stand, sondern dass wir die Entlastung aufschieben.	However, I would like to emphasise once again that we are not refusing to grant discharge, as it said in one newspaper today, but rather that we are postponing the discharge.
Wir wollen deshalb diesen Entlastungsaufschub, weil wir der Meinung sind, dass die Kommission durchaus auf dem richtigen Weg ist, dass es aber noch eines gewissen Drucks bedarf, damit dieser Weg auch zufriedenstellend beschritten wird.	The reason we wish to postpone the discharge in this way is that we believe the Commission is most definitely heading in the right direction, but that it still needs some pressure if it is to go all the way.
Es handelt sich also nicht um Misstrauen gegenüber dem zuständigen Kommissar, sondern es soll damit deutlich gemacht werden, dass der Aktionsplan, den er vor einem Jahr während der Entlastung 1998 gemeinsam mit dem Parlament aufgestellt hat, genau die richtige Antwort auf die vorliegenden Probleme ist, dass wir aber als zuständiger Ausschuss und als Parlament die ersten Ergebnisse dieses Aktionsplans in unseren Entlastungsprozess einbeziehen wollen.	So this is not a question of a lack of confidence in the relevant Commissioner, but rather an attempt to make it clear that the action plan he produced in conjunction with Parliament during the 1998 discharge one year ago is precisely the right answer to the problems before us, so that we as the Committee responsible and as Parliament wish to incorporate the first results from this action plan in our discharge procedure.
Da die ersten Ergebnisse im April/Mai zu erwarten sind, beantragen wir einen Aufschub der Entlastung bis zu diesem Zeitpunkt.	As the first results are due in April or May, we wish to postpone the discharge until then.
Wir halten das auch deshalb für ausgesprochen notwendig, weil gerade im Bereich des Entwicklungsfonds bzw. des Managements des Entwicklungsfonds noch viele Verbesserungen, was das Auditing und die Zusammenarbeit mit den Mitgliedstaaten angeht, vorgenommen werden müssen.	Another reason why we believe that this is undoubtedly necessary is that many improvements still have to be made regarding the Development Funds, or rather the management of the Development Funds, in terms of auditing and cooperation with the Member States.
Ich möchte mich in dem Zusammenhang auch noch einmal für die gute Zusammenarbeit mit dem Europäischen Rechnungshof bedanken, der sehr hilfreich war in seiner Einschätzung des Managements des Entwicklungsfonds.	In this context I would like to express my thanks once again for the excellent cooperation we have had with the European Court of Auditors, which was very helpful in its assessment of the management of the Development Funds.
Ich möchte darauf verweisen, dass die positive DAC, die im Bericht des Rechnungshofes steht, relativ zu bewerten ist, weil auch der Rechnungshof nach Anfragen mündlich und schriftlich darauf hingewiesen hat, dass er natürlich Probleme hat und nicht 77 Länder und 250 Projekte untersuchen kann, dass er in diesem Bereich auf die Zusammenarbeit mit den Staaten angewiesen ist, die die Hilfe bekommen, und hier noch viel Arbeit geleistet werden muss.	I wish to point out that the positive DAS contained in the Court of Auditors' report has to be seen in relative terms, because the Court of Auditors has responded to oral and written questions by commenting that it naturally has some problems here, and that it cannot audit 77 countries and 205 projects itself, so that it is dependent in this area on cooperation with the countries in receipt of aid, and that a great deal of work still remains to be done in this field.
Zum einen müssen die Delegationen vor Ort gestärkt werden, zum anderen müssen aber auch die Verwaltungsstrukturen in den Ländern gestärkt werden, es muss gemeinsame Projekte geben, in denen die Verantwortlichen aus diesen Staaten sich auch in Europa beim Rechnungshof entsprechend sachkundig machen können, sowie Austauschprojekte für die Zuständigen in den Verwaltungsstrukturen der AKP-Staaten mit dem Rechnungshof.	On the one hand, the local delegations have to be strengthened, and on the other administrative structures in these countries also have to be reinforced, and there must be joint projects through which those in positions of responsibility in those countries can obtain the information they need from the EU, that is from the Court of Auditors, and also exchange projects with the Court of Auditors for administrators in positions of authority in the ACP countries.
Wir brauchen dringend eine Verbesserung der Verwaltungsstruktur, um den Aufgaben, die im Bereich der Entwicklungshilfe anstehen, gerecht zu werden.	We urgently need to improve administrative structures so as to deal properly with the work required in the area of development aid.
