Herr Präsident, einen schönen guten Abend!	Mr President, a very good evening to you.
Zu später Stunde diskutieren wir ein wichtiges Thema für die Küsten Europas.	At this late hour we are discussing an important matter for the coasts of Europe.
Mehrere Lesungen und ein Ermittlungsverfahren haben wir hinter uns, und ich sage, es hat ein gutes Ende gefunden.	It has taken several readings and a conciliation procedure, but all' s well that ends well.
Zunächst möchte ich meinem geschätzten Kollegen Willy Piecyk für seine überzeugende Arbeit danken.	First may I thank my honourable fellow member, Willy Piecyk, for his convincing work.
Er hat sich für unsere Häfen engagiert und dafür gebührt ihm unser Dank.	He has worked for our ports and for that he deserves our thanks.
Ich sprach von einem guten Ende.	I said all' s well that ends well.
Mit diesem Happyend meine ich natürlich auch die Tatsache - Sie sehen mir das nach -, dass mein Heimathafen Cuxhaven in die Kategorie A aufgenommen wurde.	Forgive me if I include in this happy ending the fact that my home port of Cuxhaven has been given a category A classification.
Ich muss gestehen, dass mich die Festschreibung des Mindestumschlags auf 1,5 Mio. t für die Einbeziehung in die Kategorie A zumindest nicht begeistert hat.	I must admit that I am not completely happy with the 1.5 million tonnes minimum volume required for category A classification.
Meine Befürchtung ist nach wie vor, dass wir damit vor allem Gebiete in den Randlagen unserer Union benachteiligen, denen ich aber genauso eine internationale Bedeutung zugestehen möchte wie den Aushängeschildern Rotterdam und Hamburg.	What still worries me is that this will particularly disadvantage areas at the edge of the Union, which I should like to see granted the same international status as Rotterdam or Hamburg.
Ich spreche hier wohlgemerkt nicht von Häfen für Tretboote, sondern von Häfen mit einem jährlichen Umschlag von über 1 Mio. t an Gütern.	Mind you, I am not talking here about ports for pedalos, I am talking about ports with an annual volume in excess of 1 million tonnes of freight.
Ich halte es für bedeutsam, auch kleine Häfen in den internationalen Rahmen zu setzen.	I think it is also important to see small ports in an international context.
Wozu reden wir von Globalisierung, wenn wir dann unsere Häfen nach dem Prinzip "Du darfst international spielen, du aber nicht " einteilen?	What is the point of talking about globalisation if we then classify our ports according to the principle of "You may play the game at an international level, but you may not" ?
Im Gegenteil, wir sollten froh sein, dass wir in der EU so viele Knotenpunkte mit internationaler Anbindung besitzen.	On the contrary, we should be pleased that we have so many nodes with international connections in the EU.
Transeuropäische Netze und entsprechende Investitionen machen doch nur Sinn, wenn wir ein echtes Hafennetz über Europa spannen, das einschließt und nicht ausschließt.	Trans-European networks and the concomitant investments only make sense if we cover Europe with a real network of ports which includes rather than excludes.
In den vergangenen Jahren haben die europäischen Häfen eine substantielle Modernisierung durchgeführt, um den neuen Anforderungen im maritimen Verkehr und in Maritimtechnologien genügen zu können.	European ports have modernised considerably over recent years in order to be able to meet the demands of maritime transport and maritime technologies.
Ich glaube an die Zukunft unserer europäischen Häfen in ihrer ganzen Vielfalt. Ich hoffe dabei auch in Zukunft auf die Unterstützung meiner Kollegen!	I believe in the future of our European ports in all their diversity and hope that my fellow members will support me here in the future.
