Herr Präsident, verehrte Kollegen!	.
Mit dem ersten Januar 2002 beginnt eine neue historische Etappe in der Geschichte der europäischen Integration. Zwölf souveräne Staaten werden ihre nationalen Währungen gegen eine gemeinsame europäische Währung eintauschen.	Mr President, ladies and gentlemen, the first of January 2002 will mark the start of a momentous chapter in the history of European integration, when twelve sovereign states exchange their national currencies for a common European currency.
Die Bürger und Bürgerinnen dieser zwölf Mitgliedstaaten werden von diesem Zeitpunkt an die gleichen Scheine und die gleichen Münzen verwenden.	From that moment on, the people of those twelve Member States will use the same notes and the same coins.
Es erscheint angebracht, für diese neue Stufe der Integration nationaler Volkswirtschaften, die gekennzeichnet ist durch einen gemeinsamen Markt und eine gemeinsame Währung und die in der Wirtschaftsgeschichte wohl einmalig ist, eine eigene Bezeichnung zu finden.	It seems appropriate to find a term to describe this new stage in the integration of national economies, a stage which is characterised by a common market and a common currency and which is surely unique in the economic history of the world.
Wir schlagen vor, hierfür den Begriff "Europäischer Heimatmarkt " als Synonym für Euroland oder Eurozone zu verwenden.	We propose the use of the term 'European home market' as a synonym for Euroland or the euro zone.
In diesem europäischen Heimatmarkt gibt es bereits eine einheitliche Geldpolitik.	This European home market already has a common monetary policy.
Seit dem Eintritt in die europäische Wirtschafts- und Währungsunion am 1. Januar 1999 liegt sie in der Hand der Europäischen Zentralbank.	Since European economic and monetary union came into being on 1 January 1999, this policy has been in the hands of the European Central Bank.
Heute stehen wir jedoch vor der Herausforderung, für den europäischen Heimatmarkt angemessene gemeinsame Wirtschaftspolitiken zu formulieren.	Today, however, we are faced with the challenge of formulating appropriate common economic policies for the European home market.
Der Ausschuss für Wirtschaft und Währung hat mit einer breiten Mehrheit vorgeschlagen, dass diese Wirtschaftspolitiken auf den Prinzipien der sozialen Marktwirtschaft beruhen sollten.	The Committee on Economic and Monetary Affairs agreed by a clear majority that these economic policies should be based on the principle of a socially committed market economy.
Das wesentliche Instrument zur Koordinierung der Wirtschaftspolitiken ist auf europäischer Ebene das im Vertrag vorgesehene Verfahren zur Festlegung der Grundzüge der Wirtschaftspolitik.	The main instrument for the coordination of economic policies at European level is the procedure laid down in the Treaty for establishing the Broad Economic Policy Guidelines.
Das Europäische Parlament spielt in diesem Verfahren bisher nur eine untergeordnete Rolle.	The European Parliament has hitherto played a subordinate role in this procedure.
Ich halte es daher für dringend erforderlich, in Zukunft eine stärkere Beteiligung des Europäischen Parlaments vorzusehen.	I therefore believe it is absolutely essential to provide for a greater degree of participation by the European Parliament in future.
Eine weitere Schwäche des Verfahrens ist seine mangelhafte Flexibilität.	Another flaw in the procedure is its lack of flexibility.
Die Empfehlungen werden aufgrund von Prognosen zur Wirtschaftsentwicklung formuliert.	Recommendations are made on the basis of predicted economic trends.
Weichen jedoch die Wirtschaftsdaten im Umsetzungszeitraum von den Prognosen ab, verlieren die Empfehlungen an Wert.	If, however, current economic data diverge from the forecast values, these recommendations lose some of their validity.
Es muss daher Spielraum geschaffen werden, der es in den Mitgliedstaaten erlaubt, auf kurzfristige Änderungen der Wirtschaftsdaten rasch zu reagieren.	The Member States must therefore be given some leeway to respond quickly to unexpected changes in economic indicators.
Eine rechtliche Bindungswirkung der Grundzüge fehlt. Allerdings kann durchaus von einer politischen Bindung an die Grundzüge der Wirtschaftspolitik gesprochen werden.	The Guidelines are not legally binding, but it is certainly accurate to speak of the political binding force of the Broad Economic Policy Guidelines.
Es ist zwar unbestritten, dass Fehlentwicklungen im Interesse aller korrigiert werden müssen. Allerdings sollte auch hier ein gewisser Ermessensspielraum bestehen.	Although there is no disputing that defects must be corrected in everyone' s interest, a certain margin of discretion should exist here too.
So ist es meines Erachtens erforderlich, bei der Bewertung der Wirtschaftspolitik eines Mitgliedstaates zu berücksichtigen, inwieweit die Entwicklung in diesem Land Auswirkungen auf den gesamten Euroraum hat.	I believe there is a need, for example, when assessing a Member State' s economic policies, to consider the extent to which particular trends in that country will affect the euro zone as a whole.
Das Wirtschaftswachstum in der Europäischen Union wird in diesem Jahr deutlich niedriger ausfallen als im Jahr 2000.	Economic growth in the European Union has slowed down since last year.
Die Kommission hat ihre Prognose von 3 % mittlerweile auf 2,8 % reduziert.	The Commission has now revised its predicted growth rate of 3% and has lowered its expectations to 2.8%.
Von anderen Seiten werden noch niedrigere Wachstumsraten erwartet.	Other observers expect even lower growth rates.
Uns erscheint aufgrund dieser neuen Prognosen ein Wert zwischen 2 und 2,5 % für dieses Jahr durchaus realistisch.	On the basis of these forecasts, we consider a figure of between 2 and 2.5% for this year to be entirely realistic.
Angesichts der sich abschwächenden Weltkonjunktur ist es meines Erachtens entscheidend, dass sich die Europäische Union auf ihre eigenen Stärken besinnt.	In view of the general slowdown in the world economy, I believe it is crucial that the European Union should look to its own strengths.
Inwieweit wir von dem getrübten Klima der Weltwirtschaft in Mitleidenschaft gezogen werden, hängt zum großen Teil von uns selbst ab.	How profoundly the bleak global economic climate will affect us is largely in our own hands.
Gerade vor dem Hintergrund der Entwicklung in den USA und Japan wächst der Europäischen Union eine Verantwortung für die Weltkonjunktur zu, der wir gerecht werden müssen.	Particularly in view of developments in the United States and Japan, responsibility for the world economy falls on the European Union, and we must shoulder that responsibility.
Wie sieht die Lage in der Europäischen Union aus?	What is the present state of play in the European Union?
Zum Thema Inflation ist zu sagen, dass die Preissteigerungsrate nach den laufenden Prognosen nun in zwei aufeinander folgenden Jahren über 2 % und damit über dem Wert liegt, den die Europäische Zentralbank selbst als Preisstabilität definiert hat.	As far as inflation is concerned, current forecasts indicate that prices are set to rise by more than 2% in two consecutive years, thereby exceeding the bounds of price stability as defined by the European Central Bank itself.
