.	(PPE-DE), in writing.
Dem vorliegenden gemeinsamen Entwurf der Richtlinie kann ich nicht zustimmen.	I cannot support the draft directive in its present form.
In Artikel 3 werden die Höchstgehalte der Zigaretten festgelegt.	Article 3 lays down the concentration ceilings.
Aufgrund der Tatsache, dass diese Höchstwerte für alle in der EU hergestellten Zigaretten Gültigkeit haben sollen, wird auch die für den Export bestimmte Ware spätestens ab 1. Januar 2007 diese Höchstwerte nicht überschreiten dürfen.	Since these ceilings are supposed to apply to all cigarettes manufactured in the EU, the products destined for export will also become subject to these ceilings on or before 1 January 2007.
Diese Richtlinie schießt über das Ziel hinaus.	This directive is engaging in overkill.
Die Herstellung für den Export in Drittstaaten sollte nicht in diesem Maße von der EU reguliert werden.	The Union should not regulate the manufacture of products for export to countries outside the EU to such an extent.
Allein in Rheinland-Pfalz erwirtschaftet die Tabakbranche einen jährlichen Umsatz von rund 1,5 Milliarden DM.	In the federal state of Rhineland-Palatinate alone, the tobacco industry achieves an annual turnover of some DEM 1.5 million.
In der größten Stadt meiner Region sind 1 250 Menschen direkt in einem Tabakunternehmen beschäftigt.	In the largest city in my region 1 250 people are directly employed by a tobacco company.
Die Zulieferfirmen aus der Region, wie etwa Druckereien und Verpackungsfirmen, sind alles kleine und mittlere Unternehmen.	Its suppliers in the region, such as printers and packaging manufacturers, are all small and medium-sized businesses.
Sollte die Richtlinie in Kraft treten und die Höchstbestimmungen auch auf die für den Export bestimmten Zigaretten Anwendung finden, gingen Tausende von Arbeitsplätzen allein in dieser strukturschwachen Region verloren.	Were the directive to enter into force and the ceilings also to apply to cigarettes intended for export, thousands of jobs would be lost in that structurally fragile region alone.
Die Zigarettenindustrie steht zwar in der Informations- und Aufklärungspflicht, aber Produkte, die für den Export bestimmt sind und höhere Grenzwerte haben, um somit den Anforderungen im Bestimmungsland zu entsprechen, müssen weiter exportiert werden können.	Whilst cigarette manufacturers are certainly required to inform and warn consumers, it must nevertheless remain possible to go on exporting products with higher concentrations to countries where higher ceilings apply.
Die gravierenden Exporthemmnisse, die durch die neue Richtlinie entstehen, werden die europäische Wirtschaft erheblich beeinträchtigen.	The serious restriction of export activity that results from this new directive will be severely detrimental to the European economy.
