Herr Präsident! Der Kollege Cercas Alonso hat einen wirklich ausgezeichneten Bericht verfasst.	Mr President, Mr Cercas Alonso has drafted a quite excellent report.
Wir haben gesehen, dass es um ein Thema geht, das uns allen sehr unter den Nägeln brennt: die Zukunftssicherheit der Renten, ein wirklich heißes Eisen, das durch Liegenlassen nicht abkühlt, sondern immer heißer wird.	As we have seen, this is an issue which we are all itching to get our hands on: safe and sustainable pensions, a truly hot potato which gets hotter rather than cooler the longer we leave it.
Deshalb sind hier die Mitgliedstaaten, aber auch die Europäische Union gefordert.	That is why both the Member States and the European Union need to act here.
Wir brauchen ein ausreichendes Rentensystem. Deshalb finde ich den Hinweis auf die Empfehlung von 1992 besonders wichtig.	We need a satisfactory pension system, which is why the reference to the 1992 recommendation is, I think, particularly important.
Aber es geht auch um die Flexibilität der Rentensysteme mit Blick auf den gesellschaftlichen Wandel und die Anpassung an den Arbeitsmarkt.	But we also need a flexible pension system which has one eye on social change and the need to adjust to the job market.
Die Idee des aktiven Alterns ist im Grunde angenommen.	The idea of an active old age has, basically, been accepted.
In diesem Zusammenhang kann man an die beschäftigungspolitischen Leitlinien 2000 erinnern, das heißt die Erhaltung der Arbeitsfähigkeit und lebenslanges Lernen.	You only have to think of the employment policy guidelines for 2000, i.e. maintaining employability and lifelong learning.
Ich will auch auf das verweisen, was der Ausschuss für die Rechte der Frau in den Bericht eingebracht hat.	I should also like to mention the contribution by the Committee on Women's Rights and Equal Opportunities to the report.
Er weist auf die zahllosen Frauen hin, die Witwenrenten beziehen und ohne eigenes Einkommen leben müssen.	It refers to the numerous women on widow's pensions with no source of income of their own.
Wir müssen der Tendenz entgegenwirken, dass diese Witwenrenten immer mehr abgebaut werden.	We must reverse the trend whereby these widows' pensions are being whittled away.
Das ist ein ganz wichtiges Anliegen des Berichts.	This is one very important matter addressed in the report.
Was die Zukunft anbelangt, wird der Begriff der offenen Koordinierung diskutiert.	As far as the future is concerned, the concept of open coordination is on the table.
Wir müssen das auch mit Blick auf die Renten konkretisieren.	We must also ensure that this has real meaning as far as pensions are concerned.
Wir dürfen es nicht einfach als Zauberwort verwenden, sondern wir müssen sehen, dass man die beschäftigungspolitischen Leitlinien nicht einfach Zeile für Zeile übertragen kann.	We should not simply use it as an open sesame; we have to understand that the employment policy guidelines cannot simply be applied line by line.
Vielmehr brauchen wir neue Formen der Koordinierung, die geschaffen werden müssen.	On the contrary, we need new forms of coordination and these need to be created.
Im übrigen begrüße ich sehr, dass nicht nur die erste Säule, sondern auch die zweite und dritte Säule behandelt werden.	For the rest, I really do welcome the fact that the second and third pillars are dealt with as well as the first.
Hier verweise ich auch auf die Idee der Vermögensbildung in Arbeitnehmerhand.	I would also mention the idea of capital formation by employees.
Wir müssen darauf achten, dass diese Vermögensbildung und die Alterssicherung nicht in einen Gegensatz geraten, sondern dass sie eng zusammenwirken.	We must ensure that capital formation and old-age pensions complement rather than contradict each other.
