Herr Präsident! Ich muss auch sagen, dass dies eine sehr interessante Aussprache ist.	Mr President, I too must say that this is a most interesting debate.
Wir hatten ja schon im Ausschuss eine erste Kostprobe davon, als Herr Laschet plötzlich als glühender Verteidiger einer Ablehnung auftrat, obwohl er ja der gleichen Fraktion wie der Berichterstatter angehört.	We already had a taste of it in committee when Mr Laschet suddenly stepped forward ardently advocating rejection, despite belonging to the same group as the rapporteur.
Wenn wir heute für die Ablehnung sind, dann nicht deshalb, weil wir die Arbeit von Herrn Ferber nicht schätzen.	If we are in favour of rejection today, it is not because we do not appreciate Mr Ferber's work.
Im Gegenteil, wir sind wirklich der Meinung, dass Herr Ferber sehr zäh verhandelt hat.	On the contrary, we truly believe that Mr Ferber was a tough negotiator.
Wir haben größte Hochachtung.	We have the greatest respect.
Dennoch sind wir der Meinung, dass in diesem Parlament nochmal eine Stimme deutlich warnen muss, weil hier eine Entwicklung eingeleitet wurde, die uns alle beunruhigen sollte.	Nonetheless, we take the view that one voice here in Parliament must give a clear warning because a development is being introduced here which should give us all cause for concern.
Ich bin ebenso wie meine Vorredner der Meinung, dass diese Vereinbarung natürlich nicht unter das gentlemen's agreement fallen kann, weil es nicht um administrative Ausgaben geht.	Like the previous speaker, I consider that this agreement cannot come under the gentlemen's agreement because it does not concern administrative expenditure.
Es geht hier wirklich um hochpolitische Fragen. Das hat Herr Ferber bereits in seiner Rede deutlich gesagt.	These are politically charged questions, as Mr Ferber has already made clear in his speech.
Es geht auch um die Frage der Transparenz und Kontrolle der Gemeinsamen Außen- und Sicherheitspolitik und der Verteidigungspolitik.	They are also questions of transparency and control of the common foreign and security policy and of defence policy.
Auch da sind wir völlig einer Meinung.	Here too we are of one opinion.
Herr Ferber glaubt aber, dass durch die Einführung eines eigenen Titels genügend Sicherheit dafür gegeben ist, dass das Parlament künftig kontrollieren kann.	But Mr Ferber believes that introducing a separate title is sufficient guarantee that Parliament will be able to exercise control in the future.
Das bezweifeln wir.	We have our doubts.
Wir sind der Meinung, dass dieser eigene Titel noch nicht dazu führt, dass das Parlament Rechte erhält, ganz im Gegenteil, dadurch, dass diese Stellen beim Rat angesiedelt sind, befinden sie sich außerhalb unseres Einfluss- und Kontrollbereichs.	We take the view that this separate title alone does not empower Parliament; on the contrary, because these posts are the Council's responsibility, they are beyond our influence and control.
Das halte ich für entscheidend, nicht nur die Überschneidung, sondern auch die Frage, wer kontrollieren kann.	I think this is the deciding factor; not just the overlap, but the question of who can exercise control.
Es geht um die empfindliche Machtbalance zwischen Parlament, Kommission und Rat.	What is at stake here is the delicate balance of power between Parliament, the Commission and the Council.
Der Rat zieht immer mehr Aufgaben an sich, versucht immer mehr intergouvernemental zu lösen und nicht, indem er die Bereiche wirklich vergemeinschaftet.	The Council is taking on more and more, trying to resolve more and more intergovernmentally rather than by really communitising these areas.
Das würde bedeuten, sie bei der Kommission anzusiedeln, wodurch auch die Kontrollmöglichkeiten des Parlaments gestärkt würden.	That would mean making the Commission responsible and strengthening Parliament's right of control.
Das ist die eine große Befürchtung, nämlich dass wir keine wirkliche Kontrolle haben.	That is our one great fear, namely that we have no real control.
Einen weiteren Punkt müssen wir auch noch einmal anschneiden.	There is also another point which must also be addressed.
Wir sind der Meinung, dass man diese Frage in einem Vermittlungsprozess lösen muss und nicht im Rahmen eines Trilogs, weil auch damit deutlich wird, welche Bedeutung wir dieser Frage beimessen und wie stark wir darauf pochen, dass das Parlament die volle Kontrollmöglichkeit hat.	In our view this question should be resolved in a conciliation procedure, not under a trialogue, because that would demonstrate exactly how much importance we attach to this question and just how much store we set by Parliament's having full right of control.
Ich denke, der Rat soll klar wissen, dass diese Methode des Nachtragshaushalts, die darauf abzielt, die politischen Verhältnisse und die politischen Machtbalancen zu verändern, beim Parlament auf Widerspruch stößt.	I think that the Council should be quite clear that Parliament will not brook this policy of using supplementary budgets to alter political relations and the political balance of power.
