Herr Präsident, meine Damen und Herren! Europa goes online.	Mr President, ladies and gentlemen, Europe goes online.
E-europe, e-learning, e-commerce, e-business sind in aller Munde und sie bestimmen zunehmend die politische Tagesordnung.	E-europe, e-learning, e-commerce, e-business are on everyone's lips, and are increasingly setting the political agenda.
Wo aber bleibt e-development?	But what about 'e-development' ?
Schließlich steht außer Frage, dass die konzentrierte Nutzung moderner elektronischer Informations- und Kommunikationstechnologien gerade Entwicklungsländern völlig neue Perspektiven eröffnen kann.	There is no doubt that the targeted use of modern electronic information and communication technologies can open up completely new perspectives for developing countries in particular.
Sicherlich wäre es verfehlt, falsche Hoffnungen zu wecken, indem wir IuK zur Allzweckwaffe erklären.	Of course, it would be wrong to raise false hopes by presenting ICT as a panacea.
Aber unbestreitbar ist, dass in vielen Ländern des Südens das Potenzial und der Wille vorhanden sind, den digitalen Graben zu überspringen.	However, there is no disputing that in many countries of the Southern hemisphere, there is the potential - and the will - to bridge the digital divide.
Das ist auch das dringliche Interesse der Entwicklungsländer, und ich kann nur sagen, die Resonanz auf meinen Generalbericht, der sich diesem Thema in der AKP-Versammlung widmet, war außerordentlich groß.	The developing countries themselves have an urgent interest in doing so, and I can only say that the response to my general report on this issue in the ACP/EU Assembly was extremely positive.
Es geht darum, die Entwicklungsländer auf dem Weg in die Wissens- und Informationsgesellschaft mit ans Netz zu nehmen.	The task is to put the developing countries on the net as they move towards the knowledge and information society.
Dazu bedarf es einer gezielten Strategie.	This requires a targeted strategy.
Wir fragen uns: Wo bleibt die europäische Dot-Force - analog zur Vereinbarung des G8-Gipfels -, um den Zugang der Entwicklungsländer zur globalen Kommunikation zu fördern?	Our question is this: where is the European Dot-Force - similar to the agreement adopted at the G8 Summit - to promote the developing countries' access to global communications?
Dass die Europäische Kommission das eine oder andere Vorhaben - wenn auch eher zögerlich - unterstützt, kann nicht darüber hinwegtäuschen, dass es bisher an einer gezielten Strategie fehlt, die Entwicklungsländer auf dem Weg in die Wissens- und Informationsgesellschaft mitzunehmen.	The European Commission gives its admittedly rather tentative support to one or two projects, but this cannot obscure the fact that there is still no targeted strategy to support the developing countries moving towards the knowledge and information society.
Der vorliegende Initiativbericht hat sich zum Ziel gesetzt, hier Abhilfe zu schaffen.	The purpose of the report before us is to remedy this situation.
Ich erwarte, dass wir darüber in einen ertragreichen Dialog mit der Kommission eintreten können.	I am confident that we will be able to engage in fruitful dialogue with the Commission on these issues.
Lassen Sie mich folgende Punkte herausheben: IuK muss auch in der Entwicklungszusammenarbeit eine Schlüsselrolle übernehmen.	Let me underline the following points. ICT must take on a key role in development cooperation as well.
Deswegen haben wir der Kommission vorgeschlagen, eine personell angemessen ausgestattete Development unit zu schaffen, die für eine kontinuierliche Arbeit in diesem Feld steht.	We have therefore proposed to the Commission that an appropriately staffed 'development unit' be set up to undertake continuous work in this area.
Es liegt in der Verantwortung der Kommission, für die Ausstattung mit qualifiziertem Personal zu sorgen, damit wir für alle zukünftigen Herausforderungen gewappnet sind.	It is the Commission's responsibility to ensure that qualified personnel are available so that we are equipped to deal with all future challenges.
Es muss unser Ziel sein, die Entwicklungsländer voll an den Möglichkeiten der Informationsgesellschaft teilnehmen zu lassen, und dafür alle verfügbaren technischen Möglichkeiten zu nutzen.	Our aim must be to enable the developing countries to share fully in the opportunities afforded by the information society and utilise all available technical options for this purpose.
Das ist heute durchaus in greifbare Nähe gerückt, denn die Weiten Afrikas lassen sich beispielsweise mit Mobilfunk erfolgreich erschließen.	We have already moved closer to this goal: mobile telephony, for example, is ideally suited to cover Africa's vast open spaces.
Solartelefonzellen auf Dorfplätzen sind ebenso wie Internetzugang nicht mehr zwingend leitungsgebunden und stromabhängig.	Solar powered telephone transmission cells on village squares, like Internet access, no longer need to be grid-bound and dependent on electricity.
Neue Informationstechniken können die Bevölkerung näher an ihr Staatswesen heranführen, sie können das Gesundheitswesen, die Bildung, die Kultur, die Erziehung, die Umwelt verbessern helfen, in jedem Fall darüber profunde Informationen vermitteln.	New information technologies can also strengthen the links between the people and the state. They can help to improve healthcare, training and education, culture and the environment.
Das verlangt aber auch Regeln, das will ich zum Abschluss deutlich machen.	They are certainly capable of conveying detailed information on these issues.
Auch hier sind wir gefordert, gemeinsam mit den Entwicklungsländern für Regeln zu sorgen, die einen sozialen Nutzen ermöglichen und nicht nur auf Kommerz ausgerichtet sind.	However, this also requires rules, and I wish to conclude by making that quite clear. Here, too, we must work together with the developing countries to ensure that rules are adopted which enhance the social benefits of the new technologies and are not simply targeted to commercial gain.
