Herr Präsident! Ich möchte einen Punkt meines Kollegen Konrad Schwaiger aufgreifen.	Mr President, may I pick up on a point that Konrad Schwaiger has just made.
Ich glaube auch - und ich spreche hier im Namen der Fraktion -, dass es notwendig ist, die Rechenschaftspflicht des Rates neu zu definieren.	I too believe - and I am speaking here on behalf of my group - that there is a need to redefine the obligations of the Council in terms of its accountability.
Wir alle wissen, dass der Rat natürlich formal - und so haben Sie ja auch argumentiert - richtig gehandelt hat, dass der Rat formal das Parlament an dieser Stelle nicht befragen muss.	We all know, of course, that the Council acted correctly in the purely formal sense - this was the honourable Member' s line of argument too - and that the Council is not under any formal obligation to consult Parliament.
Ich glaube, wir reden hier nicht über formale Prozeduren, sondern wir reden über eine vernünftige inhaltliche politische Zusammenarbeit.	However, I do not believe we are talking about formal procedures here, but rather about proper substantive political cooperation.
Ich glaube, was eine vernünftige Zusammenarbeit anbelangt, hat der Rat dem Parlament gegenüber noch einiges zu leisten.	As far as proper cooperation is concerned, the Council is still falling far short of its duty to Parliament.
Ich würde mir wünschen, dass sich der Rat in Zukunft nicht immer auf die formale Position zurückzieht, sondern ein interinstitutionelles Verfahren findet, wie wir im Bereich der Handelspolitik in Zukunft anständig zusammenarbeiten können.	My wish for the future is that the Council, instead of constantly invoking the formal position, will find an interinstitutional procedure that enables us to engage in some decent cooperation in future in the field of trade policy.
Was Sie dieses Mal gesehen haben, das werden Sie in Zukunft häufiger sehen.	What you have seen this time will be seen more often in the future.
Aber machen Sie sich nichts vor: Handelspolitik umfasst immer mehr, vieles geht über Handelspolitik hinaus und wird zur internationalen Politik.	But let us not be under any illusions: trade policy is becoming an ever wider field, and many issues go beyond trade policy and into the domain of international politics.
Diese vielen Handelsauseinandersetzungen mit den Vereinigten Staaten sind ein gutes Beispiel dafür.	These numerous trade disputes with the United States are a prime example.
Wenn Sie das Parlament an Ihrer Seite haben wollen - und die Kommission hat das Parlament, wie mein Kollege Konrad Schwaiger sagte, inhaltlich an ihrer Seite ­, dann müssen Sie auch dafür sorgen, dass wir inhaltlich anständig zusammenarbeiten können.	If you want Parliament to stand by you - and Parliament is with the Commission on the substantive issue, as Konrad Schwaiger said - you must ensure that we can cooperate properly on matters of substance.
Sie müssen uns als erwachsenen Partner sehen, auch wenn der Vertrag das in der Form noch nicht hergibt.	You must look on us as an adult partner, even if the Treaty does not yet formally recognise our adulthood.
Ich glaube, wir haben in der Vergangenheit immer Formen gefunden, interinstitutionell zusammenzuarbeiten.	I believe that the institutions have always found ways and means of cooperating in the past.
Ich würde mir wünschen, dass der Rat diesen Schritt geht und ein neues Verfahren findet.	I wish the Council would do likewise and find a new procedure.
Es kann sein, dass wir jedes Mal eine Beratung bzw. eine Information nach dem Treffen des 133er Ausschusses machen.	It may be that a discussion or briefing session would be held after each meeting of the special committee referred to in Article 133(3).
Oder, wenn Sie offizielle Verfahren einleiten, kommen Sie zum Ausschuss und informieren ihn darüber.	Or, if the Council initiates official procedures, it could come to the parliamentary committee and explain the situation.
Das wären meiner Ansicht nach Möglichkeiten zusammenzuarbeiten, und Sie würden vieles von der Schärfe nehmen, die wir im Moment in der Debatte haben und die ich für völlig überflüssig halte.	I believe these would be ways of cooperating, and they would remove much of what I believe to be utterly unnecessary bitterness from the present debate.
Inhaltlich sind wir hier überwiegend einer Meinung.	We largely agree on the substance of this issue.
Ich hoffe, dass auch viele der Kollegen, die den Brief unterschrieben haben, inzwischen sehen, dass sie damit nicht Recht hatten.	I also hope that many of the honourable Members who signed the letter have come to see that this was not the right course of action.
Insofern möchte ich den Rat wirklich auffordern, vielleicht heute mal einen Schritt zu gehen und für eine neue Form der Zusammenarbeit zu plädieren.	May I therefore urge the Council most earnestly to venture forward, perhaps even today, and make the case for a new form of cooperation.
