Herr Präsident, Frau Ratspräsidentin, Herr Kommissionspräsident!	Mr President, Madam President-in-Office, Mr President of the Commission.
Ich werde mich auf die außen- und sicherheitspolitischen Aspekte konzentrieren, die das Europäische Parlament dem Europäischen Rat von Göteborg empfehlen möchte.	I intend to focus on foreign and security policy aspects which the European Parliament may care to recommend to the Gothenburg Council.
An erster Stelle möchte ich der schwedischen Präsidentschaft für die Initiativen danken, die sie im Bereich der Konfliktverhütung und der zivilen Krisenbewältigung unternommen hat.	First, I should like to thank the Swedish presidency for its initiatives in the area of conflict prevention and civil crisis management.
Das ehrt die Tradition Ihres Landes in diesem Bereich und ist gut und wichtig für die Europäische Union.	They are a credit to the tradition of your country and they are right and proper for the European Union.
Ich möchte Sie, Frau Ratspräsidentin, dazu ermutigen, dieses von Ihnen begonnene Projekt in Göteborg erfolgreich zu Ende zu führen mit einem konkreten, starken Programm, das unverzüglich umgesetzt werden kann.	I should like to encourage you, Madam President-in-Office, to bring the project which you have started to a successful conclusion in Gothenburg in the form of a strong, specific programme which can be implemented at once.
Eine der schwierigsten Aufgaben, nicht nur für die Ratspräsidentschaft, sondern für den ganzen Europäischen Rat in Göteborg wird sein, dem amerikanischen Präsidenten unsere Sorgen und unsere Ängste im Zusammenhang mit der von ihm eingeschlagenen neuen Politik der Vereinigten Staaten von Amerika deutlich zu machen.	One of the most difficult tasks, not just for the Council presidency, but for the European Council as a whole in Gothenburg, will be to convey to the American president just how worried and concerned we are about the new policy which he has adopted for the United States of America.
Nicht nur das Projekt eines Raketenabwehrsystems, die Ablehnung des Abkommens von Kyoto und die Haltung der USA gegenüber dem Internationalen Strafgerichtshof machen uns große Sorgen, sondern vor allem ist die Abwendung der USA von der traditionellen Zusammenarbeit mit der Europäischen Union ein beunruhigendes Zeichen für all jene, die diese Zusammenarbeit für absolut prioritär zur Lösung der enormen weltweit existierenden Probleme halten.	We are not just extremely worried about the rocket defence system, the rejection of the Kyoto Protocol and the USA's attitude towards the International Criminal Tribunal; the USA's aversion to traditional cooperation with the European Union is a particularly worrying sign for anyone who sees this cooperation as instrumental when it comes to resolving huge international problems.
Frau Ratspräsidentin, ich möchte mit der sehr traurigen und sehr dramatischen Situation enden, die uns die ehemalige jugoslawische Republik Mazedonien bereitet.	Madam President-in-Office, my closing point concerns a very sad and dramatic situation emanating from the Former Yugoslav Republic of Macedonia.
Wir sollten jetzt in weniger als einer Stunde hier den Präsidenten der ehemaligen jugoslawischen Republik Mazedonien empfangen, Herrn Trajkovski.	We were due to receive Mr Trajkovski, the president of the Former Yugoslav Republic of Macedonia, here within the hour.
Er kommt nicht. Ich vermute wegen der schwierigen Situation in seinem Land.	He will not be coming - presumably because of the serious situation in his country.
Und wir tragen einen Teil der Schuld, Frau Ratspräsidentin, dass in diesem Land diese Situation entstanden ist.	And we must take our share of the blame, Madam President-in-Office, for the situation in his country.
Wir tragen einen Teil der Schuld für den Terrorismus der UÇK - die wir trotz des Beschlusses 1244 des Sicherheitsrates nicht aufgelöst haben -, die dieses Land heute angreift und die Existenz des Landes in Frage stellt.	We must take our share of the blame for the terrorist action of the KLA, which we have failed to disband, despite Security Council Resolution 1244, and which is now attacking this country and undermining its very existence.
Die Europäische Union muss alles unternehmen, Frau Ratspräsidentin, dass dieser Terrorismus aufhört und dass diesem Land Hilfe zuteil wird.	The European Union must do everything it can, Madam President-in-Office, to put an end to this terrorism and help this country.
