Herr Präsident! Der Tod der nepalesischen Königsfamilie hat uns alle erschüttert.	Mr President, the death of the Nepalese royal family rocked the world.
Wir bekunden unsere Solidarität mit dem nepalesischen Volk.	We would like to tell the people of Nepal that they have our solidarity.
König Birendra, dem ich als Vizepräsident der SAARC-Delegation einige Male begegnet bin, genoss allerhöchste Popularität und Sympathie.	King Birendra, whom I met once as Vice-Chairman of the SAARC delegation, was very popular and very well liked.
Sein Bekenntnis zur Demokratie, zum Mehrheitsparteiensystem, hat diesem Land viel Hoffnung gegeben, einem Land - da hat Reinhold absolut Recht - das wirtschaftlich bitter arm ist, aber kulturell so reich.	His espousal of democracy, of a majority party system, gave a great deal of hope to this country, a country which - as Reinhold quite rightly says - is so bitterly poor economically but so rich culturally.
Die Tragödie im Königspalast in Kathmandu, dem König Birendra, seine Frau Aishwarya und weitere Angehörige zum Opfer fielen, hinterlässt ein Vakuum.	The tragedy in the royal palace in Kathmandu, in which King Birendra, his wife Aishwarya and other members of the family died, leaves a vacuum.
Die Ausgangssperren und Versammlungsverbote können die Lage nur etwas beruhigen; es gab etliche gewalttätige Übergriffe.	The curfew and the ban on meetings can only go some way towards calming the situation; there have already been quite a few violent attacks.
Ein erstes positives Zeichen war der neue König Gyanendra, der sagte: Ich werde die alte Verfassung von Nepal unterzeichnen, die Verfassung meines Bruders, um den demokratischen Weg fortzusetzen, der in der Familie begonnen wurde.	The first positive sign was when the new King Gyanendra said he would sign the old Nepal constitution, his brother's constitution, in order to continue the democratisation process begun by the family.
Auch die Einsetzung einer Untersuchungskommission war wichtig: Sie ist ein erstes Signal, gerade aufgrund der großen Vorbehalte der Bevölkerung dem neuen Machthaber gegenüber, damit Vertrauen erworben werden kann.	Setting up a committee of inquiry was also important as a first step towards winning trust in the face of huge reservations on the part of the people about the new ruler.
Die Kommission wird geleitet vom Chef des Obersten Gerichtshofes, der neutral genug ist, aber die Kommission wird erst dann glaubwürdig, wenn nicht nur Regierungsvertreter, sondern genauso Oppositionsvertreter dabei sind und natürlich auch internationale Beobachter.	The committee is chaired by the head of the supreme court, which is neutral enough, but the committee will only win credibility if members of both the government and the opposition sit on it together, of course, with international observers.
Also, wenn eine Delegation beteiligt sein soll, dann muss das aber die SAARC-Delegation des Europäischen Parlaments sein!	So if a delegation is to take part, it must be the SAARC delegation of the European Parliament.
Die maoistischen Untergrundrebellen haben versucht, die Gunst der Stunde zu nutzen und das Land weiter zu destabilisieren.	The Maoist underground rebels have tried to grab this opportunity to destabilise the country still further.
Die Regierung und die Opposition müssen endlich lernen, auf andere zuzugehen, Konsens zu entwickeln.	The government and the opposition must finally realise that they have to meet each other half way and reach some sort of consensus.
Sie müssen das Umfeld austrocknen für Terrorismus und Umsturz, und das bedarf eben nicht persönlicher Unregelmäßigkeiten, sondern der gemeinsamen konzeptionellen Linie.	They must remove the conditions in which terrorism and subversion thrive and that requires a common approach, not personal ups and downs.
Die EVP-Fraktion appelliert an den König und an verantwortliche Politiker, alles in ihrer Macht Stehende zu tun, um der Bevölkerung ihre Ängste und Sorgen zu nehmen, und die EU, Herr Kommissar, muss Zeichen setzen!	The PPE-DE Group calls on the king and the politicians responsible to do everything in their power to relieve the people of their anxiety and concerns and the EU, Commissioner, must send out a suitable signal.
Erneut fordere ich die Europäische Kommission auf, in Kathmandu, dem Sitz des SAARC-Generalsekretariats, endlich ein Büro zu eröffnen. Von dort aus können wir das exzellente Kooperationsabkommen der Europäischen Union mit Nepal umsetzen.	I again call on the European Commission to open an office in Kathmandu, where the SAARC secretariat-general has its headquarters, which we can use as a base from which to implement the excellent cooperation agreement between the European Union and Nepal.
Es ist eine exzellente Basis. Vor einigen Jahren haben wir hier, im Europäischen Parlament, dieses Abkommen gewürdigt.	This agreement is an excellent basis, as acknowledged by the European Parliament several years ago.
