Jetzt weiß ich gar nicht, wen ich persönlich zu dem Sieg im Fußballspiel beglückwünschen darf!	I really do not know whom I should now be personally congratulating for winning at football!
Herr Präsident, sehr geehrte Frau Berichterstatterin, sehr geehrte Herren Berichterstatter, sehr geehrte Abgeordnete! Haushalte bringen ja wahrlich immer eine Menge zu tun und zu bereden und zu entscheiden, und heute hatten wir gleich vier wichtige Punkte: die beiden Nachtragshaushalte für das laufende Haushaltsjahr, die Entschließung zur Finanzierung des Haushalts und die Vorbereitung auf die erste Lesung des Haushalts 2002 im Rat.	Mr President, rapporteurs, honourable Members, there is always a lot to do, discuss and decide where budgets are concerned, and today we have just had four important points: the two supplementary budgets for the current financial year, the resolution on financing the budget and the preparations for the first reading of the 2002 budget in the Council.
Der Berichtigungshaushalt Nr. 3/2001 betrifft ausschließlich Personalfragen, einmal im Bereich der Forschung, zum anderen bei OLAF.	Amending Budget No 3/2001 is concerned solely with personnel matters, in the field of research and in OLAF.
Der Berichtigungshaushalt Nr. 4/2001 betrifft die Verwendung des Haushaltsüberschusses aus dem letzten Jahr.	Amending Budget No 4/2001 is concerned with the use of the budget surplus from last year.
Zu beiden Haushalten liegt der Bericht von Frau Haug und Herrn Ferber vor.	Both budgets are discussed in the report by Mrs Haug and Mr Ferber.
Sie schlagen hierin zum einen in Bezug auf die Personalfragen im Forschungsbereich der Kommission eine andere Stellenstruktur vor.	In the matter of the Commission' s research personnel, they suggest a different establishment plan.
Dies ist für die Kommission akzeptabel.	This is acceptable to the Commission.
Was die Änderung im Stellenplan von OLAF angeht, so beruhen diese nun auf einem Kompromiss, der in längeren Verhandlungen gefunden wurde, zu dem ich aber an dieser Stelle noch einige Bemerkungen machen möchte.	So far as the change to the OLAF establishment plan is concerned, this is now based on a compromise arrived at in lengthy negotiations and I should like at this point to make a few observations about it.
Zum einen nämlich eine Bemerkung dazu, dass in der Stellungnahme des Ausschusses für Haushaltskontrolle, die hier vorliegt, weiterhin davon die Rede ist, dass schwerwiegende Unregelmäßigkeiten bei OLAF vorliegen, nämlich, dass mehr A-Beamte als Stellen vorhanden seien.	Firstly, a comment on the fact that the opinion of the Committee on Budgetary Control which is before us today still speaks of serious irregularities in OLAF, specifically that there are more A grade officials than posts.
Ich muss zu diesem Begriff Unregelmäßigkeiten schlichtweg noch einmal darauf hinweisen, dass für den Stellenplan 2000 die Haushaltsbehörde eine bestimmte Anzahl A-Stellen bewilligt hatte.	In connection with this word "irregularities" I should simply like to point out once again that the budgetary authority authorised a certain number of grade A posts for the year 2000 establishment plan.
Die sind nicht einmal zur Gänze von der Kommission bzw. von OLAF besetzt worden, aber für den Haushalt 2001 hat die Haushaltsbehörde dann beschlossen, die Anzahl der A-Beamtenstellen zu reduzieren, und zwar auf weniger Stellen, als Beamte vorhanden waren.	Not all of them were actually filled by the Commission or OLAF, but when it came to the 2001 budget the budgetary authority then decided to cut the number of grade A posts to fewer than there were officials in place.
Das ist ein bisher einmaliger Vorgang und schafft natürlich Schwierigkeiten, aber dann davon zu sprechen, es sei eine Unregelmäßigkeit, also den Eindruck zu erwecken, als hätte die Kommission Stellen besetzt, zu denen sie nicht ermächtigt gewesen wäre, ist schlichtweg nicht zutreffend, und ich muss den Ausdruck Unregelmäßigkeiten in diesem Zusammenhang zurückweisen.	Nothing like that has ever happened before and of course it creates difficulties, but to call it an irregularity and to create the impression that the Commission has filled posts it was not authorised to is simply not correct and I must reject the term irregularities in this connection.
