- Herr Präsident, ich bedanke mich für die freundliche Begrüßung!	Mr President, thank you for the warm reception.
Herr Ratspräsident, Herr Kommissionspräsident, meine Damen und Herren! Die belgische Präsidentschaft ist eine Präsidentschaft entscheidender Weichenstellung.	Mr President-in-Office, Mr President of the Commission, ladies and gentlemen, the Belgian presidency comes at a time when the European Union is at a crucial crossroads.
Ich glaube, es hat selten eine solche Präsidentschaft gegeben, die in einer so schwierigen und chancenreichen Situation ihre Arbeit hat aufnehmen können.	Rarely, in my opinion, has a presidency taken office in such a difficult situation, where there are nevertheless so many opportunities on offer.
Denn es ist die Präsidentschaft, in der die Weichen für das zukünftige Gesicht Europas gestellt werden müssen: für den Post Nizza-Prozess, der in Laeken beschlossen werden muss, und gleichzeitig auch für die notwendigen Vorbereitungen auf die Erweiterung der Europäischen Union.	This is the presidency which must shape the future face of Europe: it must steer the post-Nice process, which will have to be concluded in Laeken, and at the same time it must also set the necessary preparations for the enlargement of the European Union in train.
Zwischen beiden muss auch die Verbindung hergestellt werden.	A link must also be established between the two.
Das bedeutet, dass Präsident Prodi auf einen wichtigen Punkt hingewiesen wird, nämlich dass wir nach dem irischen Votum auch eine Option aufrechterhalten müssen, wie die Erweiterung durchgesetzt werden kann ohne Nizza, ohne dass die Erweiterung deswegen verzögert wird.	This means that an important point is being made to President Prodi, namely that following the Irish referendum we need to keep a further option open and consider how enlargement can be achieved without Nice, and without enlargement being delayed as a result.
Dies muss als eine Option aufrechterhalten werden, damit wir in diesen Bereichen eben keine Verunsicherung bei den Beitrittsländern haben.	This must remain an option so that we do not put the accession countries into a state of uncertainty.
Ich freue mich außerordentlich, Herr Ratspräsident, dass Sie mit Ihrem Vorschlag für einen Konvent oder wie man das auch immer nennen mag, eine Voraussetzung geschaffen haben und sie sicherlich in Laeken durchsetzen werden, dass die Europäische Union eine neue Methode findet, die uns aus der Routine bisheriger Regierungskonferenzen herausführt.	I am delighted, Mr President-in-Office, with your proposal for a convention, or whatever you would like to call it, because this paves the way - and I am sure that you will make this a reality in Laeken - for the European Union to find a new method of working which will take us away from the routine of intergovernmental conferences hitherto.
Durch diesen Konvent wird die Vorbereitung der Regierungskonferenz politisiert, und das führt dazu, dass wir nach Lösungen, nach einem Weg suchen, einen Vertrag zu haben, den die Bürger verstehen, einen Vertrag, in dem die Verantwortlichkeiten dem Bürger klar sind, damit Strafen und Belohnungen durch den Bürger ausgesprochen werden können, und dass wir vor allen Dingen eine entscheidungsfähige Union mit 27 Mitgliedsländern haben werden.	This convention will move the preparations for the intergovernmental conference onto a political level, and this will allow us to seek solutions and a means of having a treaty which the public understand, a treaty in which the division of responsibilities is clear to the public, so that the drawbacks and rewards which it has to offer can be articulated by the public and so that, above all, we have a Union of 27 Member States which is capable of making decisions.
Ich freue mich insbesondere auch, dass Sie in diesem Zusammenhang über den Rat gesprochen haben, der als Gesetzgeber, als zweite Kammer, tätig sein muss und zwar öffentlich, um auf diese Art und Weise wirklich die öffentliche Interaktion der Entscheidungsprozesse zu erreichen.	I am also particularly pleased that you mentioned the Council in this context, which will have to be active as a legislator, as a second chamber, and - crucially - in public, so that in this way we really can foster public involvement in the decision-making process.
Gleichzeitig ist es für diese Präsidentschaft angesichts dessen, was in Mazedonien passiert, von Bedeutung, dass wir im Bereich der Außen-, Sicherheits- und Verteidigungspolitik von dem "zu spät, zu wenig" wegkommen und endlich die Entscheidungen so treffen, dass wir nicht wieder in solche kriegerische Auseinandersetzungen hineingeraten.	At the same time, in the light of what is happening in the Former Yugoslav Republic of Macedonia, it is important for this presidency that, where foreign, security and defence policy is concerned, we move away from the 'too little, too late' and finally make the necessary decisions to ensure that we do not have to face military conflicts of this kind again.
