Herr Präsident, meine sehr geehrten Damen und Herren Abgeordneten, meine Damen und Herren!	Mr President, ladies and gentlemen.
Zunächst möchte ich Ihnen, Herr Busk, für Ihren ausgezeichneten Bericht danken.	May I start by thanking Mr Busk for his excellent report.
Die mehrjährigen Ausrichtungsprogramme sind, wie wir alle wissen, wichtige Instrumente der Flottenpolitik.	As we all know, the multi-annual guidance programmes are important instruments for fleet policy.
Da stimme ich Ihnen völlig zu.	I agree with you wholeheartedly there.
Der Jahresbericht gibt Aufschluss darüber, dass die Ziele des MAP4 einerseits viel zu wenig ehrgeizig waren und dass andererseits auch diese bescheidenen Ziele nur teilweise eingehalten wurden.	According to the information in the annual report, not only were the MAGP IV targets not ambitious enough, even these modest targets were not all met.
Nun möchte ich auf zwei Hauptforderungen des Berichts eingehen: die Vermessung von Schiffen und die Sanktionen für Mitgliedstaaten, die ihre MAP-Ziele nicht einhalten.	Now I should like to comment on the two main demands contained in the report: measurements of vessels and sanctions for Member States which fail to meet their MAGP targets.
Erstens fordern Sie, Herr Busk, klare und präzise Kriterien für die Kapazitätsbemessung.	First, Mr Busk, you call for precise and clear criteria for measuring capacity.
Formal ist es so, dass wir 1994 durch die Verordnung 3259 eine einheitliche und in der ganzen Gemeinschaft gültige Definition für die Tonnage eingeführt haben.	In theory, we introduced a uniform definition of tonnage which applies throughout the Community in 1994 in Regulation No 3259.
Laut dieser Verordnung mussten die Mitgliedstaaten bis 1995 Schätzungen der Tonnage vorlegen, und sie haben bis 2003 Zeit, um alle Schiffe nach den einheitlichen Bestimmungen zu vermessen und die tatsächlichen Werte mitzuteilen.	According to this regulation, the Member States had to file tonnage estimates by 1995 and have until 2003 to measure all vessels in accordance with uniform regulations and notify the actual values.
Wir haben allerdings bisher nur Schätzungen bekommen und müssen sie nun nach und nach durch die tatsächlichen Werte ersetzen.	So far, we have only received estimates and now they must gradually be replaced by actual values.
Das heißt also, dass wir bis Ende 2003 mit einer Mischung von richtigen Messdaten und Schätzungen zu arbeiten haben.	This means that we shall have to work with a mixture of accurate measurements and estimates until the end of 2003.
Auch für die Motorleistung gibt es formal harmonisierte Definitionen.	In theory, there are also harmonised definitions for engine power.
Hier haben wir allerdings Probleme bei der Kontrolle, weil die tatsächliche Motorleistung häufig über der deklarierten Motorleistung liegt oder diese nachträglich erhöht wird.	There is a problem here with controls, however, because the actual engine power is often higher than the value declared or is subsequently increased.
Diese Praxis müssen wir abstellen, und die Kommission wird im Herbst dieses Jahres dazu einen Workshop mit Experten der Mitgliedstaaten organisieren, um nach Lösungen für dieses Problem zu suchen.	We must put a stop to this practice and the Commission will be organising a workshop of experts from the Member States in the autumn of this year in order to find solutions to these problems.
Aber in aller Offenheit, es ist tatsächlich berechtigt, darüber hinaus die Frage aufzuwerfen, ob diese beiden Kriterien, nämlich Motorleistung und Tonnage, wirklich die einzig möglichen und am besten geeigneten Kriterien sind, um den Fischereiaufwand eines Schiffes richtig zu bewerten.	In all honesty, however, there is good cause to question, over and above this, if these two criteria, that is, engine power and tonnage, really are the only possible and the most suitable criteria for assessing the fishing effort of a vessel accurately.
Ich habe jedenfalls vor, diese Fragestellung im Rahmen der Überlegungen zur Reform der gemeinsamen Fischereipolitik noch einmal aufzuwerfen und auch näher zu untersuchen.	In all events, I intend to raise this question again when we consider the reform of the common fisheries policy and investigate it more closely.
Zweitens, Herr Busk, fordern Sie wirksame Sanktionen gegen die Mitgliedstaaten, die ihre Verpflichtungen aus dem MAP4 nicht erfüllten.	Secondly, Mr Busk, you call for effective sanctions against Member States which fail to honour their obligations under MAGP IV.
Sie verweisen in diesem Zusammenhang auf die früheren Entschließungen des Parlaments anlässlich des Cunha-Berichtes zum gleichen Thema.	You refer in this context to earlier resolutions by Parliament on the Cunha report on the same subject.
Da stimme ich Ihnen voll und ganz zu.	I agree with you wholeheartedly here.
Wir brauchen effektivere Sanktionen mit einer entsprechenden Wirkung.	We need more effective sanctions which will have the right impact.
Die bislang wirksamste Methode außerhalb des Rechtsweges ist das Einfrieren der öffentlichen Beihilfen für die Flotte.	The most effective method in the past, with the exception of legal recourse, has been to freeze state aid for fleets.
Aber das bleibt natürlich völlig ohne Wirkung in jenen Mitgliedstaaten, wo ohnedies keine Beihilfen gewährt werden, wie das beispielsweise in den Niederlanden oder im Vereinigten Königreich der Fall ist.	This is, of course, completely pointless in Member States which do not grant state aid, such as the Netherlands or the United Kingdom.
Als einziges rechtliches Mittel steht bei der Überschreitung der MAP-Ziele nur der Gang zum Europäischen Gerichtshof bzw. ein Vertragsverletzungsverfahren im Vorfeld als Möglichkeit zur Verfügung.	The only legal recourse available if the MAGP IV targets are exceeded is to go to the European Court and institute infringement proceedings.
Wir haben aber gegenüber mehreren Mitgliedstaaten solche Vertragsverletzungsverfahren vorbereitet, und wir werden diese jetzt starten, weil ansonsten überhaupt keine Möglichkeit besteht, hier mehr Disziplin zu verankern.	We have prepared infringement proceedings against several Member States and we now intend to set them in motion because there is no other way of making sure they toe the line.
