, stellvertretend für den Verfasser der Stellungnahme des mitberatenden Haushaltsausschusses.	, representing the Draftsman of the opinion of the Committee on Budgets.
Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Zuerst gilt unser Dank dem Berichterstatter.	Mr President, Commissioner, ladies and gentlemen, first, our thanks to the rapporteur.
Mit dem Vorschlag für eine Europäische Agentur für Flugsicherheit kam die Kommission einer seit langem vom Parlament erhobenen Forderung nach.	The Commission proposal for a European Aviation Safety Agency comes in response to a long-standing demand by Parliament.
Die Agentur für Flugsicherheit ist unsere zweite Agentur im Verkehrsbereich, eine dritte für die Bahn und die Bahnsicherheit soll folgen.	The Aviation Safety Agency is our second agency in the transport sector; a third for the railways and rail safety will ensue.
Ich halte diese Strategie der Errichtung von europäischen Agenturen für sehr geeignet, um zur Integration der europäischen Verkehrsmärkte beizutragen.	I think this strategy of creating European agencies is an ideal way of helping the European transport markets to integrate.
Für die Agentur Flugsicherheit hat der Ausschuss für Regionalpolitik, Verkehr und Fremdenverkehr bereits einige wichtige Änderungen vorgenommen, z. B. die Stärkung der Agentur und ihre größere Unabhängigkeit und die Erweiterung ihres Aufgabenbereiches.	The Committee on Regional Policy, Transport and Tourism has already proposed a number of important amendments for the Aviation Safety Agency, such as strengthening the agency, giving it more independence and extending its remit.
Wichtig erscheint mir zudem - und hier spreche ich im Namen meines Kollegen Kuckelkorn - die Annahme eines Änderungsantrages des Haushaltsausschusses hinsichtlich der Finanzierung.	I also think it is important - and I speak here on behalf of Mr Kuckelkorn - that we accept an amendment proposed by the Committee on Budgets on funding.
Wir müssen unbedingt auf Effizienz, Transparenz und Kostenkontrolle achten.	Come what may, we must ensure that we have efficiency, transparency and controlled costs.
Mit den zwei Agenturen haben wir nun die Möglichkeit, gleich von Beginn an einer klaren Linie zu folgen.	These two agencies give us the opportunity to take a clear line right from the outset.
Meine Fraktion hat weitere Änderungsanträge eingebracht.	My group has also tabled a number of proposed amendments.
Der erste betrifft die Zusammensetzung des Verwaltungsrates.	The first concerns the composition of the administrative board.
Wir fordern, dass auch Arbeitgeber und Arbeitnehmer einen Sitz im Verwaltungsrat erhalten.	We are calling for employers and employees to be given a seat on the board.
Ein weiterer Änderungsantrag betrifft die Errichtung von Außenstellen der Agentur, die ja vorgeschlagen wurden, um den Ängsten vor Souveränitätsverlust einiger Mitgliedstaaten zu begegnen.	Another proposed amendment concerns the creation of local offices of the agency, which have been suggested in order to allay the fears of a number of Member States about loss of sovereignty.
Hier erwarten wir von dem Mitgliedstaat, der den Sitz der Agentur erhalten wird, eine finanzielle Beteiligung.	We expect the Member State in which the agency is located to make a financial contribution.
Mit dieser Regelung wollen wir unter anderem verhindern, dass ein Mitgliedstaat seine Agentur - also die auf seinem Hoheitsgebiet ansässige - drängt, Außenstellen zu errichten.	One purpose of this rule is to prevent a Member State from pressurising its agency, i.e. the agency established on its sovereign territory, into setting up local offices.
Auch hier bin ich der Überzeugung, dass es sich um ein vertretbares und legitimes Anliegen des Parlaments handelt, und appelliere deshalb an Sie, ihm zuzustimmen!	Here too I am positive that this is a reasonable and legitimate concern on the part of Parliament and I therefore call on you to support it.
