Herr Präsident, liebe Kolleginnen und Kollegen! Das ist hier ein Bericht zum Terrorismus.	Madam President, ladies and gentlemen, this is a report about terrorism.
Deswegen würde ich jetzt gern darauf eingehen, was mit Terrorismus gemeint ist, weil er als etwas Böses anerkannt ist und oft auch herhalten muss zur Legitimierung von staatlichen Eingriffen in die Grundrechte.	I should therefore like to examine now what is meant by terrorism, because it is recognised as something evil and is often used as an excuse to legitimise the infringement of fundamental rights by the state.
Ich habe mir also angesehen, was hier als Terrorismus benannt wird.	And so I have considered the things that are designated as terrorism in this report.
Da ist zum Beispiel der Handel mit Drogen.	Trafficking in drugs is one example.
Welche Drogen illegal und welche legal sind, ist, wie wir alle wissen, relativ willkürlich festgelegt und lässt sich zum Beispiel gesundheitspolitisch auch nicht herleiten.	As we all know, the line between illegal and legal drugs is drawn in a fairly arbitrary manner and cannot be inferred from the principles of health policy, for example.
Viele Leute hier im Parlament konsumieren ja auch reichlich Drogen.	Many people here in Parliament, indeed, consume copious quantities of drugs.
Hier sind die illegalen Drogen gemeint, das weiß ich schon.	But I am well aware that the report refers to illegal drugs.
Ich meine nur, zu jeder Gesellschaft gehören auch Drogen, das war immer so, das wird wohl auch immer so bleiben.	I simply mean to say that drugs are an intrinsic feature of every society; they always have been, and no doubt they always will be.
Mit Kriminalisierung hilft man hier nicht weiter.	Criminalisation will not get us anywhere.
Dann steht zum Beispiel der Menschenhandel drin.	The report then deals with trafficking in human beings, for example.
Wenn der Menschenschmuggel gemeint ist, was oft durcheinander gebracht wird, dann muss man sich doch den Hinweis gefallen lassen, dass hier Leute in der EU als Asylberechtigte anerkannt werden, die auf illegalem Weg in die EU kommen mussten, weil wir hier eine Festung Europa haben und Menschen auch eine Hilfestellung - zum Beispiel von Menschenschmugglern - in Anspruch nehmen müssen.	If the smuggling of human beings is meant - and these two concepts are frequently confused - it would be sufficient to include a reference to the fact that people who have had to enter the EU by illegal means have been recognised here as genuine asylum seekers. They are compelled to seek help from people like the snakeheads because we have created Fortress Europe here.
Wenn Menschenhandel gemeint ist, also die essenzielle Wegnahme von Grundrechten von Personen und der Zwang zum Arbeiten, dann stellt sich doch die Frage, warum es in dem Bericht, über den wir neulich abgestimmt haben, so wenig um den Schutz der Opfer oder der Gehandelten geht.	If traffic in human beings is meant, in other words the essential denial of people' s fundamental rights and the imposition of forced labour, this raises the question why the report on which we have just voted devotes so little attention to the protection of victims, of those who are traded.
Das wäre doch das beste Mittel, um so etwas wie Menschenhandel abzuschaffen.	That would surely be the best way to go about eradicating abuses such as traffic in human beings.
An einer Stelle des Berichts heißt es: Terrorismus ist auch der illegale Handel mit Waffen und Drogen.	At this point, the report says that terrorism is also to be found in the context of illegal trafficking in drugs and arms.
Zu Drogen habe ich schon etwas gesagt; was Waffen betrifft, so finde ich, Handel mit Waffen ist illegal, aber, noch viel schlimmer, er ist illegitim.	I have already said something on the subject of drugs; as for arms, I believe trafficking in arms is illegal but, what is far worse, it is immoral.
Die Frage ist nur: Ist das denn nur der illegale Handel mit Waffen?	Quite simply, the question is whether this immorality only applies to illegal arms trafficking.
Ist das nicht vielmehr auch der legale Handel mit Waffen?	Does it not, in fact, extend to the legal arms trade?
Ist es nicht auch Terrorismus, wenn Zivilisten von NATO-Bomben bombardiert werden und aufgrund dessen dann sterben oder ihr ganzes Leben leiden müssen?	Is it not terrorism when civilians are attacked by NATO bombers and killed or made to suffer for the rest of their lives?
Es gibt Leute, die sich dagegen wehren, die ergreifen Maßnahmen, z. B. des civil disobedience.	There are people who resist, who take action, such as civil disobedience.
Die wissen sehr genau, dass das illegal ist.	They know very well that such action is illegal.
Ob das kriminell ist, sei dahingestellt.	Whether it is a crime is another matter.
Viele dieser Leute haben nämlich, wie hier auch geschrieben wird, von Betrug und Korruption des Staates die Nase voll, wehren sich dagegen, und das soll hier als Terrorismus klargestellt werden.	The report refers to corruption and fraud; many people are sick of government corruption and fraud and decide to do something about it, and we are supposed to construe that here as terrorism.
Wenn nicht einmal der Antrag der Grünen angenommen wird, dass die Grundrechte der Menschen als ein gemeinsames Schutzniveau in der EU festgelegt werden, dann kann man im Sinne der Grundrechte nur gegen diesen Bericht stimmen.	If the House does not even accept the Greens' amendment that seeks to establish fundamental human rights as a common minimum level of protection for everyone in the EU, the proposed recommendation must be rejected for the sake of those same fundamental rights.
