Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen.
Mit der Ausrufung der Charta gelang ein wichtiger Schritt für die Bürger der Europäischen Union, auch wenn noch umstritten ist, welche Rechtswirklichkeit mit dieser Ausrufung mittlerweile erreicht ist.	The proclamation of the Charter represented an important step forward for the citizens of the European Union, even if there is controversy as to what legal reality this proclamation has achieved in the meantime.
Jedenfalls bedarf die Fortführung dieses wichtigen Prozesses weiterer Anstrengungen auf allen Ebenen.	In any case, the continuation of this important process demands further efforts at every level.
Mit der Charta wurde für die Unionsbürger neben anderen wichtigen Dingen ein wichtiger Dreiklang weiter verankert, der sich in den drei vorliegenden Berichten widerspiegelt: Petitionen, Bürgerbeauftragter und gute Verwaltung.	The Charter further laid down, in addition to other important things, a triad of significance to EU citizens which is echoed in the three reports before us: petitions, the Ombudsman and good administration.
Insoweit ist den drei Berichterstattern, Bösch, Almeida Garrett und Perry, zu dessen Bericht ich die Ehre habe zu sprechen, besonders zu danken und ihnen auch ein Glückwunsch auszusprechen.	For this, the three rapporteurs, Mr Bösch, Mrs Almeida Garrett and Mr Perry, to whose report I have the honour of speaking, deserve especial thanks and also congratulations.
Ihnen ist ein wichtiger Schritt gelungen, diesen genannten Dreiklang zu festigen. Es bedarf nämlich der Schaffung eines weiteren Unterbaus, eines Netzwerkes, um diese Einrichtungen für den Bürger zu festigen.	In reinforcing the triad I have referred to, they have achieved an important step forward, for there is a need for the creation of a further substructure, a network, to secure these institutions for the citizen.
Dabei ist es nun durchaus spannend, wie dieses Netzwerk in seinen Verästelungen weiter gestaltet wird.	It will now be exciting to see how this network's ramifications will develop.
Das Recht kennt viele Instrumente, um Ansprüche in die Wirklichkeit überzuführen, Verfassungen, Gesetze, Verordnungen, Erlasse bis hinunter zu Dienstanweisungen.	The law has many instruments through which to turn rights into realities - constitutions, laws, regulations, decrees, right down to service instructions.
Dabei gilt der Grundsatz: Je allgemeiner ein Anspruch formuliert ist, desto weiter oben ist er in dieser Hierarchie anzusiedeln, und je spezieller, desto weiter unten.	In all these, the principle applies: the more generally a right is formulated, the higher up this hierarchy it should be set, and the more specifically, the further down it.
Deshalb ist es gut, dass wir einen Kodex für gute Verwaltungspraxis vorliegen haben, und es ist richtig, dass die Kommission ermutigt wird, hierfür eine Verordnung vorzulegen.	So it is good that we have a code for good administrative conduct before us, and it is right to encourage the Commission to make a regulation for this purpose.
Aber wir müssen dann bei der konkreten Umsetzung genau aufpassen, was am Ende in dieser Verordnung stehen wird.	When this regulation is put into tangible form, however, we must keep a careful eye on its precise final content.
In Deutschland gab es einmal eine Vorschrift, die hieß: Ab 80 cm Wassertiefe muss der Soldat selbständig mit Schwimmbewegungen beginnen.	In Germany, there was at one time a regulation which stated that a soldier had to start swimming, once he reached a depth of 80 cm of water.
Wenn man dies natürlich in eine Verfassung reinschreibt, dann machen sich die Kabarettisten über eine solche Vorschrift her.	Write this into a constitution and comedians will have a field day with it.
Deshalb stand das mit gutem Grund nicht in der deutschen Verfassung, sondern in einer Dienstanweisung.	And so it was with good reason that this was not in the German constitution, but in a service regulation.
Ich glaube, dass es wichtig ist, Verwaltung gut zu organisieren.	I believe it to be important that administration should be well organised.
Dies heißt nicht nur, richtiges Entscheiden sicherzustellen, sondern betrifft auch die Frage, wie die Verwaltung - gewissermaßen an der Ladentheke - dem Bürger gegenübertritt.	This does not only mean ensuring that the right decisions are taken but also touches on the question of how administration comes across to the citizen - at the shop counter, as it were.
Dies ist sehr wichtig.	This is very important.
Moderne Verwaltung bedeutet, dass der Bürger kein Bittsteller auf dem Amt ist, sondern ein Kunde.	Modern administration means that the citizen is not the authorities' supplicant, but one of its customers.
Moderne Verwaltung heißt, dass die Verwaltung sich selber nicht als Obrigkeit begreift, sondern als Dienstleister.	Modern administration involves the authorities not thinking of themselves as superiors, but as providers of a service.
Dafür ist sie da, und der Bürger hat ein gutes Recht, gute Dienstleistungen zu erwarten.	That is what they are there for, and the citizen is entitled to expect good services.
