Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen.
Die Zahl der Fälle von Maul- und Klauenseuche steigt wieder an.	The number of cases of foot-and-mouth is on the rise once again.
Maul- und Klauenseuche ist - wie wir wissen - für den Menschen ungefährlich, das Virus ist jedoch hochgradig ansteckend für alle Klauentiere und führt zu schweren wirtschaftlichen Verlusten.	As you know, the foot-and-mouth virus is harmless to man but is highly infectious to all cloven-hoofed animals and results in huge financial losses.
Angesichts der neuen Seuchenfälle fordere ich Kommission und Rat erneut auf, impfen statt töten zu favorisieren.	With new outbreaks occurring, I again call on the Commission and the Council to favour vaccination rather than slaughter.
Wir müssen in Europa zu einem Umdenken in der Tierseuchenbekämpfung kommen, und dazu liegt heute, so finde ich, eine sehr ausgewogene Entschließung vor.	We must rethink how we fight zoonoses in Europe and today we have what I think is a very balanced resolution in order to do so.
Konsequente seuchenhygienische Vorsorgemaßnahmen sind nur die eine Seite der Medaille.	Consistent preventive hygiene is only one side of the coin.
MKS ist angesichts der üblichen weltweiten Geschäfts- und Urlaubsreisen eine ständig lauernde Gefahr. Die Kontrollen an den Flughäfen zum Schutz vor Einschleppung und Verbreitung dieser Seuche müssen wir viel konsequenter durchführen.	With people travelling the world for business and pleasure, foot-and-mouth disease is an ever-present threat and we must be far more consistent in applying controls at airports to prevent this epidemic from coming in and spreading.
Ich stelle fest, dass Bauern wie Verbraucher auch Schwierigkeiten mit den ethischen Problemen der derzeitigen Impfpolitik haben.	I realise that both farmers and consumers are having difficulties with the ethical implications of the current vaccination policy.
Wir haben es mit fatalen Folgen zu tun.	We are talking fatal consequences here.
Wir brauchen endlich eine Abkehr von der Nichtimpfungspolitik.	We must, at long last, move away from our non-vaccination policy.
Wir brauchen die Markerimpfstoffe.	We need marker vaccines.
Wir brauchen den vernünftigen Umgang mit der Ringimpfung, und wir sollten endlich in der Politik Zeichen setzen, damit auch bei der Verhütung bzw. der Ausarbeitung von geeigneten Impfstoffen die wissenschaftliche Entwicklung vorangeht.	We need a reasonable approach to ring vaccination and we need to make up our minds once and for all to show through our policy that science needs to make progress with prevention, that is, by formulating suitable vaccines.
