Das wäre ebenfalls in meinem Interesse.	That would be in my interest as well.
(Das Parlament stimmt der Berücksichtigung des mündlichen Änderungsantrags zu.) (Das Parlament nimmt den Entschließungsantrag an.)	(Parliament indicated its agreement with the tabling of the oral amendment) (Parliament adopted the resolution)
Bericht (A5-0307/2001) von Frau Berès im Namen des Ausschusses für Wirtschaft und Währung über die Mitteilung der Kommission über die verstärkte wirtschaftspolitische Koordinierung im Euro-Gebiet (KOM(2001) 82 - C5-0173/2001 - 2083/2001(COS))	Report (A5-0307/2001) by Mrs Berès, on behalf of the Committee on Economic and Monetary Affairs, on the Commission Communication on strengthening economic policy coordination within the euro area (COM(2001) 82 - C5-0173/2001 - 2083/2001(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0306/2001) von Frau Peijs im Namen des Ausschusses für Wirtschaft und Währung über die Mitteilung der Kommission über den Beitrag der öffentlichen Haushalte zu Wachstum und Beschäftigung: Verbesserung von Qualität und Nachhaltigkeit (KOM(2000) 846 - C5-0172/2001 - 2001/2082(COS))	Report (A5-0306/2001) by Mrs Peijs, on behalf of the Committee on Economic and Monetary Affairs on the Commission Communication on the contribution of public finances to growth and employment: improving quality and sustainability (COM(2000) 846 - C5-0172/2001 - 2001/2082(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0299/2001) von Herrn Agag Longo im Namen des Ausschusses für Wirtschaft und Währung über den XXX. Bericht der Kommission über die Wettbewerbspolitik (2000) (SEK(2001)694 - C5-0312/2001 - 2001/2130(COS))	Report (A5-0299/2001) by Mr Agag Longo, on behalf of the Committee on Economic and Monetary Affairs, on the Commission' s XXXth report on competition policy (2000) (SEC(2001)694 - C5-0312/2001 - 2001/2130(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0301/2001) von Herrn Huhne im Namen des Ausschusses für Wirtschaft und Währung über die Mitteilung der Kommission an den Rat und das Europäische Parlament "Elektronischer Geschäftsverkehr und Finanzdienstleistungen " (KOM(2001) 66 - C5-0257/2001 - 2001/2119(COS))	Report (A5-0301/2001) by Mr Huhne, on behalf of the Committee on Economic and Monetary Affairs, on the Commission Communication to the Council and the European Parliament on E-commerce and financial services (COM(2001) 66 - C5-0257/2001 - 2001/2119(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0310/2001) von Frau Berger im Namen des Ausschusses für Recht und Binnenmarkt über die Mitteilung der Kommission "Eine Binnenmarktstrategie für den Dienstleistungssektor " (KOM(2000) 888 - C5-0103/2001 - 2001/2052(COS))	Report (A5-0310/2001) by Mrs Berger, on behalf of the Committee on Legal Affairs and the Internal Market, on the Commission Communication : "An Internal Market Strategy for Services" (COM(2000) 888 - C5-0103/2001 - 2001/2052(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0290/2001) von Herrn Radwan im Namen des Ausschusses für Wirtschaft und Währung über die Empfehlung der Kommission über vorvertragliche Informationen, die Darlehensgeber, die wohnungswirtschaftliche Darlehen anbieten, den Verbrauchern zur Verfügung stellen müssen (C5-0256/2001 - 2001/2121(COS))	Report (A5-0290/2001) by Mr Radwan, on behalf of the Committee on Economic and Monetary Affairs, on the Commission recommendation on pre-contractual information to be given to consumers by lenders offering home loans (C5-0256/2001 - 2001/2121(COS))
(Das Parlament nimmt den Entschließungsantrag an.)	(Parliament adopted the resolution)
Bericht (A5-0263/2001) von Herrn Khanbhai im Namen des Ausschusses für Entwicklung und Zusammenarbeit über die Mitteilungen der Kommission an den Rat und das Europäische Parlament	Report (A5-0263/2001) by Mr Khanbhai, on behalf of the Committee on Development and Cooperation, on the Commission Communications to the Council and the European Parliament on:
über eine beschleunigte Aktion zur Bekämpfung der wichtigsten übertragbaren Krankheiten im Rahmen der Armutslinderung (KOM(2000) 585 - C5-0014/2001 - 2001/2006(COS))	accelerated action targeted at major communicable diseases within the context of poverty reduction (COM(2000) 585 - C5-0014/2001 - 2001/2006(COS))
und	and
betreffend das Aktionsprogramm: Beschleunigte Aktion zur Bekämpfung von HIV/AIDS, Malaria und Tuberkulose im Rahmen der Armutslinderung (KOM(2001) 96 - C5-0112/2001 - 2001/2006(COS))	a Programme for action: Accelerated action on HIV/AIDS, malaria and tuberculosis in the context of poverty reduction (COM(2001) 96 - C5-0112/2001 - 2001/2006(COS))
Vor Beginn der Abstimmung	Before the start of the vote
