Herr Präsident, Herr Kommissar, meine Damen und Herren! Eine Gratulation dem Berichterstatter!	Mr President, Commissioner, ladies and gentlemen, congratulations to the rapporteur.
Sie wurde schon geäußert.	That has already been said.
Ich habe vier Bereiche, die ich noch kurz anschneiden möchte.	There are four areas I would like to touch on briefly.
Zum ersten: Wir wollen das internationale Währungssystem stabiler machen, weil unter anderem die finanzielle Stabilität ein öffentliches Gut, eine wirtschaftliche Grundvoraussetzung für Wachstum und Beschäftigung sowie soziale Gerechtigkeit ist, das heißt eine moralische Verpflichtung.	First, we want to make the international monetary system more stable, because financial stability is, among other things, a public good and a basic economic precondition for growth, employment and social justice - that is to say, a moral duty.
Zweitens: Wir fordern nicht bloß eine Reform des IWF, wir fordern von den öffentlichen Behörden die moralische Verpflichtung ein, ein optimales Gleichgewicht zwischen dem freien Spiel der Märkte und der Notwendigkeit ihrer Reglementierung im Sinne des Grundprinzips der ökosozialen Marktwirtschaft herzustellen, sowie bei öffentlichen Rettungsmaßnahmen im Fall von Krisen ein Gleichgewicht zwischen öffentlichem und privatem Sektor zu gewährleisten.	Second, we demand not simply a reform of the IMF, we require of the public authorities the moral obligation to create optimum balance between the free play of markets and the need for them to be regulated in accordance with the fundamental principle of the eco-social market economy, and to guarantee a balance between the public and private sectors in public rescue measures in times of crisis.
Wir fordern von den Mitgliedstaaten eine Wirtschaftspolitik, die sich nach Wachstum und Beschäftigung ausrichtet, und wir fordern einen an angemessene wirtschaftspolitische Bedingungen geknüpften Schuldenerlass.	We demand of the Member States economic policies geared to growth and employment, and we demand the cancellation of debt, subject to appropriate economic and political conditions.
Drittens: Wir beginnen bei uns selbst.	Third, we begin at home.
Der Euro ist eine Stabilitätswährung auch im Lichte der Welt.	The euro is a stability currency even in the eyes of the world.
Die Antwort der FED und der EZB nach dem 11. September war eine Stabilitätsantwort gegen die Krise.	The response of the Federal Reserve and the European Central Bank after 11 September was one of stability in the face of the crisis.
Der Stabilitäts- und Wachstumspakt ist eine europäische Antwort.	The Stability and Growth Pact is a European response.
Die Kommission und das Europäische Parlament haben sich mehrheitlich gegen die Tobin tax ausgesprochen, und die Beschlüsse von Lüttich beziehen Maßnahmen als Korrektur zur Globalisierung ein.	The Commission and the European Parliament have, by a majority, expressed their opposition to the Tobin tax, and the Liège resolutions include measures as correctives to globalisation.
Viertens: Wir wenden uns gegen Maßnahmen zur Verlangsamung der Wirtschaftsentwicklung und die Verunsicherung aller am Markt Tätigen durch ideologisch motivierte Versuche den Stabilitätspakt aufzuschnüren oder die Tobin tax allein einzuführen.	Fourth, we oppose measures to slow down economic development and ideologically motivated attempts to undo the Stability and Growth Pact or introduce the Tobin tax on its own, which create insecurity among those who work in the market.
Daher bedauere ich auch, dass im Änderungsantrag 10 der Sozialdemokraten der richtige Beschluss von Lüttich durch die Einfügung der Tobin tax uminterpretiert wird.	So I also regret that the Social Democrats' Amendment No 10 reinterprets the actual Liège resolution by inserting the Tobin tax.
Beseitigen Sie diese Uminterpretierung, in Lüttich finden wir uns!	Remove this reinterpretation; in Liège we find ourselves.
