Herr Präsident! Ich möchte dem Berichterstatter auch zu diesem Bericht gratulieren.	Mr President, I, too, would like to congratulate the rapporteur on this report.
Er erfasst sehr klar, wie sehr der Erfolg eines Produkts - hier des Films - von vertriebsfördernden Maßnahmen wie Marketing und Werbung abhängig ist.	He sums up very clearly to what an extent the success of a product, film in this instance, is dependent on the promotion of sales through marketing and advertising.
Wenn amerikanische Produktionsfirmen 30% ihres Budgets für die Vermarktung einplanen, so darf man sich nicht wundern, dass europäische Produkte im direkten Konkurrenzkampf um den Kunden unterliegen, wenn sie selbst nur 3 bis 6% ihres Budgets dafür einsetzen.	When American production companies set aside 30% of their budgets for marketing, it is not to be wondered at that European products lose in direct competition for customers, when they themselves use only 3 to 6% of their budgets for this purpose.
Die europäischen Filmproduzenten müssen daher einfach selbst mehr für die Vermarktung ihrer Produkte tun.	It follows that European film producers must do more to market their products.
Wir haben als Steuerzahler auch das Recht, das von ihnen zu fordern.	We, as taxpayers, are also entitled to demand that they do so.
Es wäre sogar vorstellbar, die staatlichen Unterstützungen für Folgeprojekte von den Bemühungen der Filmschaffenden abhängig zu machen, ihr Publikum auch zu erreichen.	One could envisage state support for follow-up projects being made dependent on the filmmakers' efforts at reaching their public.
Mehr Subvention allein kann jedoch nicht die Lösung sein.	More subsidies cannot be the solution on their own.
Zuviel Geld wurde in der Vergangenheit für Filme ausgegeben, die nie ihr Publikum erreichten.	Too much money was spent in the past on films that never reached their public.
Österreich vergibt mehr als 30 Millionen Euro pro Jahr an Filmförderung.	Austria spends over EUR 30 million per annum on promoting films.
Berücksichtigt man die Anzahl der Zuschauer, so wurde jede Kinokarte für einen österreichischen Film mit mehr als 1000 Euro subventioniert.	Taking the number of cinema-goers into account, every ticket to see a film is subsidised to the tune of EUR 1 000.
Das kann nicht das Ziel einer staatlichen Filmförderung sein.	State promotion of film cannot have this as its objective.
