Herr Abgeordneter! Weder der Kommissionspräsident noch ich haben eine Pressekonferenz gegeben.	Sir, neither the President of the Commission nor I myself have held any press conference.
Wir respektieren voll, was wir verabredet hatten.	We abide fully by what we agreed.
Das ist der Grund, warum die Pressekonferenz um 18.00 Uhr stattfindet, also nach der Information des Parlaments.	It is for that reason that the press conference is to take place at 6 p.m., after Parliament has been informed.
Dass ich regelmäßig mit Journalisten spreche, wissen Sie.	I regularly talk to journalists, as you well know.
Es gab aber keine Pressekonferenz, das ist ein wichtiger Unterschied.	There was, though, no press conference, and that is an important distinction.
Was das ungarische Status-Gesetz angeht, so ist es so, dass wir, soweit es den Acquis Communautaire betrifft, schon vor der Verabschiedung dieses Gesetzes die ungarische Regierung auf Probleme aufmerksam gemacht haben.	As far as the Hungarian law on status is concerned, we notified the Hungarian government of problems with this law from the point of view of the acquis communautaire even before the law was enacted.
Diese Probleme sind dann bei der Gesetzgebung berücksichtigt worden, so dass wir keine Probleme mit dem Gemeinschaftsrecht haben.	These problems were then taken into legislative account, so that we have no problems with Community law.
Was die Venedig-Kommission angeht, so ist meine Einschätzung anders als ihre.	My estimation of the Venice Commission differs from your own.
Nach dem Ergebnis der Venedig-Kommission hängt es von der Implementierung des ungarischen Status-Gesetzes ab, ob es gegen internationales Recht verstößt oder nicht.	The Venice Commission ruled that whether the Hungarian Status Law is contrary to international law or not is dependent on the way it is implemented.
Deshalb sind wir schon seit langem mit der ungarischen Regierung und den Nachbarregierungen im Gespräch, um sicherzustellen, dass eine einvernehmliche Implementierung zwischen den Nachbarn gefunden wird.	We have therefore had discussions for some time with the Hungarian government and with the governments of neighbouring countries in order to ensure that Hungary's neighbours are involved in finding a way of implementing it on which they can all agree.
Die ungarische Regierung bemüht sich dankenswerterweise darum, und die rumänische und die slowakische Regierung sind auch bereit, sich daran zu beteiligen.	The Hungarian government is thankfully endeavouring to bring this about, and the Romanian and Slovak governments are also ready to play their part.
Was die Benes-Dekrete angeht, so sind sie bisher kein Verhandlungsgegenstand gewesen, weil Eigentumsfragen, wie Sie wissen, vom Gemeinschaftsrecht nicht abgedeckt werden.	The Benes decrees have not to date been the subject of negotiations, since property issues, as you well know, are not covered by Community law.
Was die Frage des Landerwerbs angeht, so rechne ich damit, dass jetzt sehr schnell Bewegung in die entsprechenden Verhandlungen mit Polen kommen wird.	As regards the acquisition of land, I expect something to happen very quickly in the relevant negotiations with Poland.
Bei meinem Besuch in Warschau in der vergangenen Woche hat die polnische Regierung in dieser Frage Flexibilität angekündigt.	During my visit to Warsaw last week, the Polish government announced that it would be taking a flexible approach to this issue.
