Vielen Dank, Herr Abgeordneter!	I am obliged to the honourable Member.
Das Monitoring der Fortschritte bei der Implementierungsfähigkeit ist ein Standardverfahren, das wir schon seit längerer Zeit entwickelt haben.	The monitoring of progress in the capacity to implement is a standard procedure that we have developed over a considerable time.
Wir beobachten einfach, welche Gesetzgebung wurde übernommen, und sind adäquate materielle und humane Ressourcen vorhanden, um diese Gesetzgebung auch zu realisieren?	We simply observe what legislation was taken over, and whether adequate material and human resources were available to make this legislation a reality.
Selbstverständlich beobachten wir auch, ob das in der Praxis funktioniert.	It goes without saying that we also observe whether it actually works in practice.
Dieses Monitoring findet ständig statt.	This monitoring is going on constantly.
Die Informationen dazu fließen uns zu aus den verschiedensten Quellen, nicht nur aus eigenen Quellen, auch aus dem Parlament zum Beispiel werden Informationen verwendet.	The information required for it comes to us from the most diverse sources, not only from our own, but also, for example, information is used which comes to us from Parliament.
Wir haben ein System, das uns in die Lage versetzt, eigentlich zu jedem Land ständig sagen zu können, wie weit wir mit der jeweiligen Implementierungsfähigkeit sind.	We have a system that puts us in a position to say at any time to any given country how far we have got with their capacity to implement.
Das ist ein sehr gut eingeführtes und bewährtes Verfahren.	This procedure has been well established and has proved its worth.
Was die Türkei angeht, Herr Abgeordneter, so möchte ich sagen, dass das Bild, das sich heute bietet, gemischt ist.	As regards Turkey, I can tell the honourable gentleman that the current picture presents varied aspects.
Es gibt positive Elemente.	There are positive things in it.
Es ist zweifellos ein positives Element, dass die Beitrittspartnerschaft in allen ihren Teilen jetzt funktioniert.	One is no doubt that the Accession Partnership is now working in all its aspects.
Alle Elemente sind da und werden wahrgenommen.	All its elements are present and are being kept to.
Insofern waren auch die Beziehungen zwischen uns und der Türkei lange nicht mehr so dicht, wie sie es jetzt sind.	In this respect, relations between us and Turkey were never before as close as they are now.
Es ist zweifellos ein positives Element, dass es bemerkenswerte Fortschritte bei der Verfassungsreform und auch bei der Gesetzgebung gegeben hat im Hinblick auf Demokratisierung und Achtung von Menschenrechten.	Another positive element is no doubt the remarkable progress being made in constitutional reform and also in legislative matters, towards democratisation and respect for human rights.
Hier hängt es aber sicherlich noch davon ab, inwieweit wir die Verwirklichung dieser Verfassungsänderungen und dieser Gesetzgebung in der Realität des Landes auch erleben.	This is surely still dependent on the extent to which these constitutional changes and legislation are actually experienced in the country's day-to-day reality.
Es hat keine Fortschritte im wirtschaftlichen Bereich gegeben.	There has been no progress in the economic sphere.
Das ist bekannt.	So much is well known.
Es hat bemerkenswerte Fortschritte bei der Anpassung an den Acquis gegeben.	There has been remarkable progress in conforming to the acquis.
Das ist das, was ich an Positivem sagen kann.	That is the good I have to report.
Auf der negativen Seite muss ich sagen, dass, wie gesagt, die Menschenrechtssituation immer noch unbefriedigend ist.	On the negative side, I have to say that, as already stated, the human rights situation is still unsatisfactory.
Ich muss sagen, dass ich mir von der Türkei in der Zusammenarbeit bei der Lösung der Zypernfrage wesentlich mehr versprochen hatte.	I must say that I had expected more from Turkey by way of cooperation in resolving the Cyprus issue.
Hierüber haben wir eben schon in einem anderen Zusammenhang gesprochen.	We have already discussed this in another context.
Ich bin auch enttäuscht über das Verhalten der Türkei in der Frage der europäischen Sicherheits- und Verteidigungspolitik.	I am also disappointed by Turkey's conduct as regards the issue of European security and defence policy.
Ich finde es nicht angemessen, dass ein Land, das Mitglied der Europäischen Union werden möchte, die Europäische Union daran hindern will, ein wesentliches Stück Integration voranzubringen.	I do not find it appropriate for a country desirous of being a member of the European Union to hinder the European Union from making progress with a significant aspect of integration.
Das ist in meinen Augen nicht das Verhalten, das wir von einem Kandidatenland erwarten sollten.	This is, in my view, not the sort of behaviour that we should expect of a candidate country.
