Herr Präsident!	Mr President, water is the Number One food.
Wasser ist das Lebensmittel Nr. 1. Ein nachhaltiger Umgang mit Wasser und der Schutz der Wasserressourcen ist deshalb für mich unabdingbar.	I therefore consider constant use of water and protection of water resources to be indispensable.
Ein Instrument, um dies zu erreichen, ist, wie in der Wasserrahmenrichtlinie gefordert, ein kostendeckender Wasserpreis, der sowohl Umwelt- als auch Infrastruktur- und Aufbereitungskosten enthält.	One means by which this may be achieved is, as required by the water framework directive, a price for water that covers costs, comprising the environmental costs and the cost of infrastructure and of treatment.
Es sind aber auch Anreize notwendig, Wasser nachhaltig zu nutzen.	Incentives are necessary for water to be continuously used.
Mit einem Basispreis für die Grundversorgung und steigenden Preisen für den darüber hinausgehenden Verbrauch wird der sorgsame Umgang mit Wasser gefördert.	Careful use of water is encouraged by having a basic price for basic services and increasing prices for use over and above that.
Sichergestellt werden muss auch, dass der Basispreis soziale Aspekte berücksichtigt, denn der Zugang zu Wasser muss finanziell Schwächeren in der Gesellschaft möglich sein.	The basic price must also take social aspects into account, for access to water must be possible for the less well off in society.
Ein wichtiger Bereich, für den auch Handlungsbedarf besteht, ist die Landwirtschaft.	One important area in which there is a need for action is that of agriculture.
Der Abbau von Wassersubventionen in der Landwirtschaft und der ressourcenschonende Umgang mit Wasser ist nur zu erreichen, wenn die ländliche Entwicklung gefördert wird und neue Einkommensquellen für die Landwirte erschlossen werden.	The reduction of water subsidies in agriculture and the careful use of water resources will only be achieved by promoting rural development and finding new sources of income for farmers.
Notwendig ist auch, dass die Verschmutzer von Wasser zur Kasse gebeten werden, das heißt, das Verursacherprinzip muss greifen.	Water polluters must also be called to account, which means that the 'polluter pays' principle applies.
Außerdem sollte jeder Wasserverbraucher in Europa einen Nachweis erhalten, wie viel Wasser er verbraucht hat und wie sein Wasserpreis sich zusammensetzt.	Every water consumer in Europe should additionally receive a statement of how much water he has used and how the price he pays for his water is made up.
Eine wichtige Frage wie ich meine, ist auch, wie viel Markt wir zulassen und ob privates Engagement und öffentlich-rechtlich, regional organisierte Wasserversorgung und ressourcenschonender Umgang mit Wasser ein Widerspruch sind.	I see it as an important question, how much of a market we permit and whether private commitment conflicts with public and regionally-organised water supply and careful use of water.
Ich meine, dass Kooperation von öffentlich-rechtlichen und privaten Unternehmen unter Nutzung privaten Know-hows und Kapitals Optionen sind, Wasserressourcen unter ökologischen und ökonomischen Aspekten optimal zu nutzen, ohne dass regionale Versorgungsgebiete aufgegeben werden.	I believe that cooperation between public and private undertakings using private know-how and capital is an option when it comes to making the best use of water resources from an ecological and economic point of view, without regional supply zones being given up.
Ich spreche hier also nicht von Liberalisierung und von einem Wettbewerb um jeden Preis, sondern von der Sicherung einer effizienten ökologischen Wasserversorgung.	So here I am not talking about deregulation and competition at any price, but about ensuring efficient and environmentally friendly water supply.
