Herr Präsident, meine sehr verehrten Damen und Herren! Auch dies ist ein sehr bedeutender Bericht.	Mr President, ladies and gentlemen, this too is a very important report.
Um was geht es?	What is it about?
Es geht darum, dass wir einen immer stärker zusammenwachsenden Binnenmarkt in Europa haben, der aber, wie wir alle wissen, natürlich auch noch eine Reihe von Defiziten aufweist.	It is about the fact that although the internal market in Europe is becoming ever more integrated, there are also various deficits, as we all know.
Die Kommission, Parlament und Rat bemühen sich seit vielen Jahren, in Einzelaspekten zu einer gemeinsamen Gesetzgebung zu kommen, insbesondere für den Bereich der so genannten Verbrauchergeschäfte.	The Commission, the Parliament and the Council have been trying for many years to achieve joint legislation, particularly in the field of consumer protection.
Die Kommission hat in ihrer Mitteilung zum Vertragsrecht, die sie vorgelegt hat und auf die sich auch dieser Bericht bezieht, ganz umfassend dargestellt, was es bereits an gemeinsamem Rechtsbestand in der Europäischen Union gibt, und dabei auch alle Richtlinien aufgezählt, die dazu bereits existieren.	In the communication on contract law which the Commission has brought forward, and which is also referred to in this report, the Commission covered in detail the position on the common body of law which already exists in the European Union, and also referred to all the directives already in existence in this field.
Wenn man sich diese Richtlinien aber genauer anschaut, so wird man feststellen, dass sie in sich nicht immer unbedingt konsistent sind.	However, if you take a closer look at these directives, you will see that they are not always necessarily consistent.
Es ist durchaus denkbar, dass es eine Vertragskonstruktion gibt, die zwischen einem Verbraucher und einem Verkäufer abgeschlossen wird, bei der die Möglichkeit besteht, dass bis zu drei unterschiedliche Widerrufserklärungen mit unterschiedlichen Widerrufsfristen von dem Käufer unterzeichnet werden müssen, weil in unterschiedlichen Richtlinien, wie zum Beispiel in der Fernabsatz-Richtlinie und anderen Richtlinien ganz unterschiedliche Fristen angesprochen sind.	It is quite conceivable for there to be a contract entered into between a purchaser and a vendor in which the purchaser may have to sign three different cancellation statements with different cancellation deadlines, because totally different deadlines are found in different directives, such as the distance-selling directive and other directives.
Dass so etwas nichts mit Verbraucherschutz zu tun hat, sondern dass so etwas Unsinn ist, liegt, glaube ich, auf der Hand.	It is pretty obvious that this does little for consumer protection and is sheer nonsense.
Von daher ist es erforderlich, dass dieser gemeinsame Rechtsbestand auch konsolidiert und zusammengefasst wird und zu einem gemeinsamen Ergebnis geführt wird.	That is why it is necessary for this common body of law to be consolidated and summarised to achieve a common result.
Die Ursachen, warum es so gekommen ist, sind mannigfaltig.	There are many reasons why this situation has come about.
Sie erklären sich zum Teil einfach dadurch, dass innerhalb der europäischen Institutionen ganz unterschiedliche Generaldirektionen, Ausschüsse und Fachministerräte für die Einzelaspekte zuständig waren und dies natürlich immer aus ihrer isolierten Sicht heraus betrachtet haben und dann auch zu unterschiedlichen Ergebnissen gekommen sind.	It can be explained, in part, simply by the fact that within the European institutions totally different directorates-general, committees and Councils were responsible for individual aspects, and of course they always looked at things from their own isolated point of view, which then led to quite different end results.
Es hat bisher am ganzheitlichen Ansatz gefehlt, an der ganzheitlichen Betrachtung der Zivilrechtsharmonisierung.	So up to now there has not been an integrated approach, an integrated view of the approximation of civil rights.
Ich finde es sehr gut, dass die Kommission nach den Beschlüssen von Tampere nunmehr auch die Absicht hat, genauso wie das Parlament in Zukunft diese ganzheitliche Betrachtungsweise einzuführen.	I think it is a very good thing that following the decisions taken at the Tampere Council, the Commission now intends, just like this House, to adopt an integrated approach in future.
Das ist auch zwingend erforderlich, denn die Zahl der grenzüberschreitenden Geschäfte nimmt in Europa zu.	This is a matter of urgent necessity, as the volume of cross-border trade is on the increase in Europe.
Dafür gibt es zwei ganz wesentliche Faktoren: Ein Faktor wird sicherlich die Einführung des Euro im kommenden Jahr sein.	There are two key factors which explain this. The first is, of course, the introduction of the euro next year.
Ein weiterer Faktor sind die modernen Technologien - ich verweise nur auf Electronic Commerce.	A second factor is the impact of modern technology, and I only have to mention electronic commerce.
Wenn man in Zukunft über Electronic Commerce Waren und auch andere Dinge bestellt, weiß man ja gar nicht mehr oder zumindest oft nicht, wo der Vertragspartner auf der anderen Seite eigentlich seinen Sitz hat.	If, in the future, you order goods or other commodities via electronic commerce, you will have no idea, or, at least, you frequently will not have, of where the company you are dealing with is based.
Dies führt eben zu einem ganz zwangsläufigen Wachstum der grenzüberschreitenden Geschäfte.	This is leading to an inevitable growth in cross-border trade.
Deswegen, glaube ich, ist es auch notwendig, dass wir hier einen breiteren gemeinsamen Tatbestand und eine breitere gemeinsame Menge an Gemeinschaftsrecht entwickeln.	That is why I believe that it is also necessary for us to develop more common definitions of offences and a broader common body of Community law.
Die jetzige Electronic-Commerce-Richtlinie, die wir ja hier im Hause befürwortet haben, ist insoweit, wie wir das heute schon wissen, keine Ideallösung.	The present electronic commerce directive, which we in this House supported, is not therefore, as we already know, an ideal solution.
Da das Herkunftslandprinzip gilt und auf der anderen Seite für Verbraucherschutzrechte das Bestimmungslandprinzip gilt, kann sie in der Praxis dazu führen, dass zum Beispiel ein Amtsrichter in Köln irisches Recht parallel zu deutschem Recht anwenden muss.	As the country of origin principle applies here, whereas in the case of consumer rights law the country of destination principle applies, this can lead in practice to situations such as a district court judge in Cologne having to apply Irish law in parallel with German law.
Ich wage einmal zu behaupten, dass dies bei Bagatellstreitwerten und beim juristischen Massengeschäft zu ganz erheblichen Problemen führen wird.	I would not mind betting that this will lead to considerable problems when only trifling amounts are at stake and with bread-and-butter legal cases.
Dies zeigt, dass es notwendig ist, dass wir in Zukunft einen breiteren gemeinsamen Rechtsbestand entwickeln.	This demonstrates that we need to develop a broader common body of law in future.
Mein Bericht sieht nun vor - und das auch in Anlehnung an zahlreiche wissenschaftliche Gruppen, die dies seit langem gefordert haben -, dass die Kommission sozusagen in Gestalt eines Aktionsplans über einen mehrjährigen Zeitraum ihre Arbeiten fortsetzt.	My report now envisages, with the support of many expert groups who have been calling for this for a long time, that the Commission should continue its work by means of an action plan covering several years.
Am Ende dieses Weges soll dann tatsächlich - so meine ich jedenfalls - ein weitestgehend gemeinsamer Rechtsbestand an Vorschriften innerhalb der Europäischen Union zumindest für grenzüberschreitende Geschäfte stehen.	At the end of that process, and this is my belief at least, the result should be a common body of law within the European Union, for cross-border transactions at least, which is as extensive as possible.
Ich halte dies im Hinblick auf die Transparenz für erforderlich, nicht nur für den Verbraucher, sondern auch für die Geschäftstreibenden und auch im Hinblick auf die Rechtssicherheit, die Rechtspraktikabilität und die Rechtsanwendung.	With regard to transparency, I believe that this is necessary, not only for consumers, but also for businesspeople, and this also applies to legal certainty, legal practicality and the application of the law.
Von daher wäre meine Bitte an das Haus, dem Vorschlag des Ausschusses für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten zu diesem Bericht über die Annäherung des Zivil- und Handelsrechtes der Mitgliedstaaten seine Zustimmung zu geben.	I therefore wish to ask the House to give its approval to the proposal emanating from the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs on this report regarding the approximation of the civil and commercial law of the Member States.
Dies ist sozusagen auch mit der Startschuss für weitere Arbeiten der Kommission.	This is, as it were, the starting pistol for the Commission's work.
Ich weiß, dass sich der Rat parallel zu uns im Augenblick auch mit diesem Thema befasst und dass beabsichtigt ist, auch auf dem Gipfel in Laeken dieses Thema zu behandeln.	I know that the Council is currently considering this matter in parallel with ourselves, and that it is intended to deal with this subject at the Laeken Summit.
Ich glaube, alle in Europa haben erkannt, dass dies eine hohe Priorität hat und dass mit dieser Arbeit vorangegangen werden muss.	I believe that everyone in Europe has recognised that this issue is of a very high priority, and that progress needs to be made with this work.
Um ein bisschen Druck zu machen, denke ich, müssen wir auch diesen Aktionsplan beschließen.	In order to exert a little bit of pressure, I think that we should approve this action plan.
