Herr Präsident! Wir hatten heute schon eine voll gepackte Tagesordnung.	Mr President, we have certainly had a packed agenda today.
Wir hatten Forschung von Herrn Caudron, in der Abstimmung hatten wir Hafendienste von Herrn Jarzembowski, wir hatten Schiffbau von der Kollegin Riis-Jørgensen, und wenn ich mir die Leute auf der Tribüne angeschaut habe, dann muss ich sagen, das waren alles wirtschaftlich oder gesellschaftlich wichtige Themen, aber vielfach haben die Zuhörer nur Bahnhof verstanden.	We have had research from Mr Caudron, we have voted on Mr Jarzembowski's report on port services and we have had shipbuilding courtesy of Mrs Riis-Jørgensen, but looking up at the people in the galleries I have to say that these may all have been important issues for the economy or for society, but in many cases it will have been nothing but gobbledegook to our listeners.
Anders ist es beim vorliegenden Thema.	This issue is different.
Ich selber habe im vergangenen Sommer in Österreich unwillentlich falsch geparkt und mich schrecklich schuldig gefühlt.	Last summer in Austria I, myself, unintentionally parked illegally and felt dreadfully guilty.
Aber das schlechte Gewissen über diesen Parkverstoß war sehr rasch überlagert von der Sorge, was mich denn die Überweisung von 200 österreichischen Schilling für diesen Strafzettel von Deutschland nach Österreich kosten würde.	However, my bad conscience about this parking offence was very quickly eclipsed by concern about how much it would cost me to transfer the 200 Austrian schillings for this parking ticket from Germany to Austria.
Deshalb habe ich mich rasch auf die österreichische Behörde begeben und bar bezahlt, weil ich Angst hatte, dass möglicherweise die Gebühren für diesen Strafzettel höher sind als der eigentliche Strafzettel.	I therefore went straight to the Austrian authorities and paid in cash because I was afraid that the bank charges might be more than the actual fine.
So geht es vielen Bürgern!	This is an experience familiar to many people.
Entscheidend ist, und dies sollten wir in diesem Haus auch immer berücksichtigen, wie dieses Europa dem einzelnen Bürger konkret gegenüber tritt, und da zeigt sich an vielen Baustellen vieles zu unvollkommen.	What is decisive, and this is something which we should also always bear in mind in this House, is how Europe measures up when people encounter it in their everyday lives, and in many of the areas on which we are working it proves to be far from perfect.
Wir werden am 1. Januar den Euro bekommen.	On 1 January we will get the euro.
Im Deutschen gibt es ein Wort, das heißt "begreifen " im Sinne von verstehen, aber in diesem Wort "begreifen " ist das Anfassen mit dabei.	There is a German word, 'begreifen', which means to understand, but which incorporates a notion of grasping or touching.
Sie werden den Euro anfassen können, und deshalb wird das Vertrauen in den Euro ab diesem Zeitpunkt steigen.	The public will be able to touch the euro and that is why confidence in the euro will grow from that moment on.
Wir müssen aber auch dem Bürger die entsprechende Landschaft zur Verfügung stellen, damit er Zahlungen innerhalb Europas auch als Zahlungen im Zahlungsinland begreifen kann.	However, we must also make sure that all of the appropriate arrangements are in place so that the public are able to treat payments within Europe in the same way as payments within their own countries.
Deshalb ist diese Verordnung unglaublich wichtig, und ich bedauere sehr, dass die Kommission erst heute auf die Idee gekommen ist.	That is why this regulation is incredibly important, and I very much regret the fact that the idea of it has only just occurred to the Commission.
Vor einem dreiviertel Jahr war ich schon einmal Verfasser einer Stellungnahme.	I drafted an opinion once before, nine months ago.
Da wurde mir noch von der Kommission gesagt, zwischen den Banken sind Klettersteige, und ich habe gesagt, wenn mit Klettersteigen Geld verdient werden kann, wird mit Klettersteigen Geld verdient.	At that time I was still being told by the Commission that there were steep mountain tracks between the banks, and I said that if money could be made with mountain tracks it would be.
Wenn mit Autobahnen Geld verdient werden kann, wird mit Autobahnen Geld verdient.	If money can be made with motorways then it will be.
Wir brauchen Autobahnen auch auf dem Banksektor.	We need motorways in the banking sector too.
