, Verfasserin der Stellungnahme des mitberatenden Haushaltsausschusses. Herr Präsident!	, draftsperson of the opinion of the Committee on Budgets.
Ich möchte mich ausdrücklich beim Berichterstatter bedanken. Ich möchte mich auch für die Debatte bedanken, die er angeregt hat.	Mr President, I would like to express my thanks to the rapporteur, and also my gratitude for the debate he has stimulated.
Diese breite Bürgerdebatte, von der er spricht, hat er wirklich versucht umzusetzen.	He has really tried to make a reality of the wide-ranging citizens' debate of which he speaks.
Er hat versucht, im Parlament und außerhalb des Parlaments, in Forscherkreisen, auf viele zuzugehen, um hier eine kluge Diskussion zu führen und einen guten Kompromiss vorzubereiten.	He has tried to involve many people, within and outside Parliament, and in research circles, in order to have an intelligent discussion here and prepare a good compromise.
Aus Sicht des Haushaltsausschusses, so muss ich sagen, unterstütze ich den Berichterstatter, aber ich bin ja in einer zwiespältigen Situation, weil ich gleichzeitig ankündigen muss, dass meine Fraktion Bedenken hat und diesem Beschluss nicht in der Gänze zustimmen wird.	From the point of view of the Committee on Budgets, I must say, I support the rapporteur, but I am being pulled in two directions, because I at the same time have to announce that my group has misgivings and will not vote in favour of this resolution in its entirety.
Ich bin jetzt hier jedoch zuallererst einmal als Verfasserin der Stellungnahme des Haushaltsausschusses gefordert.	I am here, then, primarily playing my role as draftsperson of the opinion of the Committee on Budgets.
Da muss man sagen, der Haushalt dieses sechsten Forschungsrahmenprogramms bewegt sich in einem guten Rahmen.	It has to be said on this point that the budget for this Sixth Research Framework Programme ranges between the right limits.
Es wurde eine leichte Erhöhung durchgesetzt, aber gleichzeitig wurde die Rubrik nicht gesprengt, d. h., das Programm bewegt sich haushaltstechnisch gesprochen in einem klugen und guten Rahmen.	A slight increase was achieved, but at the same time the allocation was not exceeded, in other words the programme is, in budgetary terms, within proper and sensible limits.
Ich denke, wir können mit diesem Vorschlag auch wirklich europäischen Mehrwert schaffen.	I think we can achieve real European added value with this proposal.
Gemeinsam mit der Kommission wurde auch darüber gesprochen, wie die Verfahren vereinfacht werden können, weil auch das ein Anliegen unseres Haushaltsausschusses war, damit es zu schnelleren Bewilligungen kommt.	We also had discussions with the Commission about possible simplification of the procedure, that also being one of our Committee's concerns, so that approval might be granted more quickly.
Hier gibt es gute Vorschläge von der Kommission, und wir sind sehr zuversichtlich, dass diese Verfahrensbeschleunigung erreicht werden kann, damit die Projektpartner schneller auf ihre Mittel zugreifen können.	The Commission has made good proposals on this point, and we are very confident that this speeding-up of procedures can be achieved in order that the partners in projects can access their funds more quickly.
Gleichzeitig wurde von unserer Seite aus noch einmal darauf gedrungen, dass die kleinen Projektpartner richtig berücksichtigt werden, dass jetzt nicht im Rahmen einer Verschlankung der Verfahren die kleinen Projekte unter den Tisch fallen, weil gerade im Bereich der kleinen Projekte viel wichtige Arbeit geleistet worden ist.	At the same time, our side urged once more that proper account should be taken of the smaller project partners and that smaller projects should not fall by the wayside in a slimmed-down procedure, because it is in the sphere of the smaller projects that a lot of important work has been done.
Es gibt einen Wermutstropfen, der vor allem unsere Fraktion betrifft, nämlich die Frage der erneuerbaren Energien und die Frage der Euratom-Mittel.	There is one bitter pill for our group above all others to swallow, and that is the issue of renewable energies and the issue of the Euratom resources.
Hier, so muss ich aus Sicht der Fraktion sagen, haben wir Probleme damit, dass die erneuerbaren Energien nicht in dem Maß ausgebaut worden sind, wie sie hätten ausgebaut werden müssen, und dass vor allem im Bereich der Fusion zu viel bewilligt worden ist.	Speaking from my group's point of view, I have to say that we have problems with the fact that renewable energies have not been developed as they should have been, and that too much has been approved, especially in the fusion field.
