Frau Präsidentin, herzlichen Glückwunsch, dass Sie heute da sitzen!	Madam President, congratulations on being seated there today.
Einen Dank an die beiden Kommissare, die anwesend sind, und im Übrigen an das gesamte Team der Kommission. Ich möchte auch den Rat ausdrücklich in den Dank mit einschließen.	Thank you to the two Commissioners who are present and thank you also to the whole of the Commission's team.
Ich glaube, nur gemeinsam ist es gelungen, hier wirklich zu einem Erfolg zu kommen.	I would also like to thank the Council.
Das bezieht im Übrigen auch unseren Kollegen Carlos Westendorp ein, der unsere Delegation geleitet hat.	I believe it was only by working together that we managed to achieve real success here.
Er ist heute Abend leider nicht anwesend. Aber ich glaube, ihm gebührt ebenso Dank wie allen anderen.	I include in this, by the way, our colleague Mr Westendorp, who headed our delegation and, unfortunately, is not here this evening, but I believe he deserves as much gratitude as everyone else.
Ich möchte nur wenige Punkte ansprechen.	There are just a few points that I want to address.
Erstens: Ich glaube, dass viele Kollegen immer wieder einiges vergessen, vor allem die Kollegen, von denen ich immer sage, dass sie permanent Mantrapolitik betreiben, immer wieder nur das Gleiche wiederholen.	First, I believe that many Members have yet again forgotten a number of things, above all those whom I always describe as permanently engaging in mantra politics by repeating the same thing over and over again.
Ich glaube, was sie alle vergessen, ist, dass es eine Verhandlungseröffnung gewesen ist, und es wurde eine Verhandlungsstrategie festgelegt.	I believe that they are forgetting that Doha opened a way ahead for negotiations and laid down a strategy for them.
Wir sollten uns ein bisschen mehr Gedanken darüber machen, wie wir mit der Kommission und dem Rat zukünftig zusammenarbeiten können, denn die eigentliche Verhandlungsführung findet ja erst statt.	We should give more consideration to how we can work together with the Commission and the Council in future, for it is only now that the actual negotiations are happening.
Die Themen müssen präzisiert werden, und es ist ja gar nicht sicher, dass an vielen Stellen, an denen wir einen so genannten Erfolg erzielt haben, dieser Erfolg dann auch tatsächlich über Jahre hinweg Bestand haben wird. Insofern möchte ich vor allem die Kommissare fragen, wie sie sich eigentlich die Zusammenarbeit mit dem Europäischen Parlament vorstellen.	The subjects for discussion must be defined, and it is by no means certain that apparent successes we have achieved on many points will prove to be lasting successes over the years, and so I would like to ask the Commissioners in particular how they actually envisage cooperation with Parliament.
Ich wünsche mir, dass diese Zusammenarbeit erheblich präziser und detaillierter wird, einen viel genaueren Einblick in die Verhandlungen gibt, die Sie im Einzelnen zu den verschiedenen Themen führen werden, und auch signalisiert, wo es Schwierigkeiten gibt, wo Probleme aufkommen, damit es an vielen Punkten nicht nur konkrete Informationen gibt, sondern auch tatsächlich die Möglichkeit der politischen Begleitung vorhanden ist.	I would like this cooperation to be substantially more precise and detailed, giving a much more accurate view of the state of negotiations you will be engaged in on the various subject areas, and also signalling where there are difficulties or problems, not only giving definite information on many points, but actually facilitating political monitoring as well.
Ich möchte einen weiteren Punkt anbringen.	Let me make another point.
Ich glaube, viel wichtiger als in der Vergangenheit wird es sein, Handels- und Außenpolitik miteinander zu verknüpfen.	I believe it will be much more important than in the past to join up policies on trade and foreign affairs.
Ich möchte da zwei Regionen besonders erwähnen, die Europäische Union und die Vereinigten Staaten.	I would particularly like to mention in this context two regions - the European Union and the United States.
Ich glaube, die Europäische Union und die Vereinigten Staaten tragen eine unglaubliche Verantwortung für die zukünftige Definition von Handelspolitik. Handelspolitik ist viel mehr als nur die Beschränkung auf die klassischen Handelsthemen, wie wir sie in der Vergangenheit kannten, denn sie bezieht sehr viele neue Themen mit ein.	I believe that the European Union and the United States bear to an incredible degree responsibility for the future definition of trade policy, which is much more than can be summed up in the traditional trade themes we were familiar with in the past, incorporating as it does so many new ones.
Die Entwicklung und die Verknüpfung der klassischen Handelspolitik mit den neuen Themen wird eigentlich die schwierige Aufgabe in der Zukunft sein.	Development of traditional trade policy and its connection with new subject matter will be the difficult task to be faced in the future.
