Herr Präsident, auch ich darf Ihnen zunächst sehr herzlich zu Ihrer Wahl gratulieren.	Mr President, let me also congratulate you on your election.
Sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen! Auch ich möchte zunächst dem Berichterstatter im Namen meiner Fraktion gratulieren und ihm und allen Verfassern der Stellungnahmen der mitberatenden Ausschüsse danken für die enorme Arbeit, die mit diesem Bericht verbunden ist.	Commissioner, ladies and gentlemen, I too would like to start by congratulating the rapporteur on behalf of my group and thanking him and all the draftsmen of the consulting committees' opinions for the enormous work involved in this report.
Wir beschäftigen uns ja jetzt schon sehr lange mit diesen beiden Richtlinienentwürfen der Kommission, schon gut eineinhalb Jahre.	We have already been occupying ourselves for a long time with these two draft Directives from the Commission, a good year and a half in fact.
Wir hatten vor einem Jahr eine öffentliche Anhörung zu diesem Thema.	We had a public hearing on this subject a year ago.
Ich denke, nach den intensiven Beratungen, nach einer sehr langwierigen Abstimmung im Ausschuss für Recht und Binnenmarkt ist es doch höchste Zeit, dass wir morgen mit der Abstimmung im Plenum - und ich hoffe, dass sie stattfinden kann -, die erste Lesung abschließen.	I think the intensive discussions and the highly laborious vote in the Committee on Legal Affairs and the Internal Market make it high time that we complete the first reading with the plenary vote tomorrow - which I hope will actually take place.
Die vielen Abänderungsanträge, die wir bereits im Ausschuss und teilweise auch noch morgen für das Plenum zu behandeln haben, bedeuten nicht, dass wir mit den grundsätzlichen Ansätzen der Kommission nicht einverstanden wären.	The many amendments that we have had to deal with in Committee and, to some extent, still have to deal with in tomorrow's plenary session, do not mean that we were not in agreement with the Commission's basic premises.
Die Zusammenfassung der bisherigen Richtlinien, deren Harmonisierung und Modernisierung ist sicher ein sehr wesentlicher Schritt.	The consolidation of the previous Directives, and their harmonisation and modernisation, is certainly a very important step.
Für meine Fraktion gibt es neben einigen anderen wichtigen Themen, die zum Teil schon angesprochen wurden, einen zentralen Punkt, in dem wir mit der Kommission nicht übereinstimmen können.	As far as my group is concerned, in addition to a number of other important topics, some of which have already been addressed, there is a central issue on which we cannot agree with the Commission.
Es ist dies die Neufassung der Vergabekriterien. Hier nimmt die Kommission im Vergleich zur bisherigen Rechtslage eine sehr wesentliche inhaltliche Änderung vor und fasst nicht nur Bestehendes zusammen.	I refer to the new criteria for the awarding of contracts, where the Commission is attempting very substantial changes in content in comparison with the former legal position, and what it is consolidating is not only current legislation.
Der Kommissionsvorschlag engt die Spielräume, die bisher gegeben waren und geltendes Recht sind, dramatisch ein. Diese Einengung geht vor allem zu Lasten von qualitativen Kriterien, insbesondere von sozialen, ökologischen und gesundheitsbezogenen Kriterien.	The Commission's proposal dramatically restricts the room for manoeuvre which was formerly provided for and which is still current law, and does so above all at the expense of qualitative criteria, notably those to do with social security, the environment and health.
Die Kommission hat selbst in ihren beiden interpretativen Erklärungen aufgezeigt, wie diese Spiel- und Gestaltungsräume heute diskriminierungsfrei angewandt werden können.	In its two interpretative statements, the Commission has itself shown how this room for manoeuvre and rearrangement can today be used without discrimination.
