Verfasser der Stellungnahme des mitberatenden Ausschusses für Wirtschaft und Währung.	draftsman of the opinion of the Committee on Economic and Monetary Affairs.
Herr Präsident! Der Bericht der Kommission und der Bericht Musotto verdienen Lob einerseits für die analytische Darstellung der Problemlage und andererseits für die Ergänzungsvorschläge, wiewohl die Anmerkungen des Ausschusses für Wirtschaft und Währung in etwas bescheidenem Maße berücksichtigt wurden.	Mr President, the Commission's report and Mr Musotto's are laudable, the one for its analytical description of the situation and the other for its supplementary proposals, although the observations of the Committee on Economic and Monetary Affairs were taken into account only to a somewhat modest extent.
Aber ergänzend möchte ich aus der Sicht meines Ausschusses noch eine fast verdrängte Frage herausarbeiten.	Further to them, though, I would like to elaborate, from my Committee's point of view, another issue which has almost been pushed into obscurity.
Die wesentlichen Lehren, Herr Kommissar, die wir aus den Schwierigkeiten beim Heranführen ärmerer Regionen oder notleidender ehemaliger Industrieregionen an das Niveau innerhalb der Europäischen Union gezogen haben, sollen uns anspornen und Maßstab sein für den Erweiterungsprozess, um hier einiges besser zu machen.	Commissioner, we have learned essential lessons from the difficulties we have had in raising poorer regions or suffering former industrialised zones to the level within the European Union; they should spur us on to improve things and should serve as a benchmark for the process of enlargement.
Vor allem die notleidenden Industrieregionen in den zukünftigen Mitgliedstaaten machen mir bedingt durch notwendige riesige Umstrukturierungsmaßnahmen große Sorgen.	It is above all the poorer industrial zones in the future Member States whose need for massive restructuring measures causes me great concern.
Vor allem spreche ich Kohle- und Stahlregionen an; die Stahlindustrien in diesen Ländern sind gegenüber unseren absolut nicht wettbewerbsfähig, und die Kohlengruben sind ein latentes Problem.	I refer above all to coal and steel regions; the steel industries in these countries are absolutely incapable of competing with our own, and the collieries are a potential problem.
Ich will jetzt gar nicht die Konsequenzen beschreiben, wenn wir unseren neuen Freunden nicht genügend Hilfe geben können.	I do not want to go at this juncture into what will happen if we are unable to give our new friends sufficient aid.
Ich weise nur darauf hin, dass wir - seit klar ist, dass der EGKS ausläuft - kein passendes Instrument mehr in diesem Bereich haben.	I will only observe that, as the ECSC's expiry is imminent, we no longer have a suitable instrument in this field.
Ich sage das deshalb gerade jetzt noch einmal, weil uns gerade der EGKS in den letzten Jahren noch beste Dienste geleistet hat, keine Kofinanzierungen notwendig sind und das System der Mittelaufbringung ohnehin hätte adaptiert werden können.	I reiterate that now because the ECSC continued to be of excellent service to us in recent years, no cofinancing is needed and the system of financing could in any case have been adapted.
Und Solidarleistungen müssen wir gegenüber den Erweiterungsstaaten bringen.	We also have to make solidarity payments to the applicant countries.
Ich erwähne das jetzt deshalb noch einmal, weil die neuen Staaten nicht genügend Finanzierungsmöglichkeiten haben werden.	I reiterate that now because the new States will not have adequate access to financing.
Diese Frage habe ich jetzt angeschnitten, weil die Kommission maßgeblich daran beteiligt war, dieses Instrument umzuwandeln, ohne die Schwierigkeiten im Erweiterungsprozess gesehen oder an sie gedacht zu haben.	I have touched on this issue now because the Commission played a considerable part in changing this instrument without envisaging the difficulties in the process of enlargement or even giving them some thought.
Herr Kommissar, nehmen Sie sich dieses Problems an!	Do something about this problem, Commissioner!
Das Problem ist kein kleines.	The problem is not a small one.
Wir haben nicht genügend passende Instrumente für die Anpassungsprozesse im Zuge der Erweiterung.	We do not have enough instruments suited to the processes of adaptation while enlargement is going on.
