- Herr Präsident! Punkt 1: Normalerweise wird an dieser Stelle der Berichterstatter gelobt.	Mr President, my first point is that this is where one normally praises the rapporteur.
Das kann ich leider diesmal nicht tun, denn dem Berichterstatter ist es nicht gelungen, und er hat sich auch nicht die Mühe gemacht, eine Diskussion im Ausschuss zu entwickeln, die zu einem gemeinsamen Standpunkt des Parlaments zu den Kommissionsvorschlägen führt.	I cannot, unfortunately, do that on this occasion, as the rapporteur did not succeed in developing a discussion in the committee that would lead to a common position by Parliament on the Commission's proposals, nor, indeed, did he make the effort to do so.
Das finde ich sehr schade, denn ein zentraler Bericht und eine zentrale Stellungnahme des Parlaments sind gefragt.	I see this as a great pity, as a core report and a core position on the part of Parliament are just what is needed.
Die Grünen hingegen haben eine klare Position.	The Greens, by contrast, have a clear position.
Sie erteilen allen Versuchen der Besitzstandswahrung und der Ausnahmen eine Absage.	They reject all attempts to protect vested rights and the exceptions to them.
Die Solidarität zwischen den Regionen muss das oberste Gebot bleiben, gleichzeitig darf es kein Zweiklassen-Europa geben.	Solidarity between regions must remain the supreme imperative, whilst there must not be such a thing as first and second-class Europe.
Folglich müssen die Strukturfonds in Zukunft vor allem den ärmsten Regionen zugute kommen, und die sind dann eben im Osten.	In consequence, the Structural Funds must primarily benefit the poorest regions, which just happen to be in the East.
Das heißt, ein phasing out ist gleichzeitig ein wichtiges Instrument, und es federt auch die jetzigen Förderregionen ab.	That means that a phasing-out is at the same time an important instrument, and it also cushions the present regions in receipt of support.
Option 2 zeigt die Probleme auf und bietet eine Lösung, und deshalb hat Option 2 unsere volle Unterstützung.	Option 2 highlights the problems and offers a solution, and hence it is Option 2 that enjoys our full support.
Unsere Fraktion wendet sich aber gleichzeitig - und das ist der nächste Punkt - gegen die Taktik in der Kommission, die Beitrittsländer zu spät in das Management der Strukturfonds einzuführen und dann am Ende zu sparen.	At the same time though - and this is my next point - our group objects to the Commission's tactic of involving the candidate countries in the management of the Structural Funds at too late a stage and then making a saving at the end of the day.
Ich finde den Vorschlag von letzter Woche skandalös.	Last week' s proposal strikes me as scandalous.
Er spart in der Kohäsionspolitik, anstatt sie bereits vorher in den Vorbeitrittsprozess einzuführen.	It economises on the cohesion policy rather than introducing it earlier, in the pre-accession process.
Deshalb fordern wir, jetzt mit dem phasing in mit den Beitrittsländern zu beginnen, jetzt die payment agencies zu etablieren, jetzt ein training im Management für Strukturfonds, um so zu erreichen, dass dezentrale Strukturpolitik und nicht zentrale Projektpolitik Ziel der Strukturfonds ist.	That is why we urge that a start be made now, with the candidate countries, on phasing-in, on setting up the payment agencies, on training in the management of Structural Funds, in order to make decentralised structural policy, rather than centralised project-based policy, the objective of the Structural Funds.
Nachhaltige Entwicklung und Partizipation der lokalen Akteure müssen ein Markenzeichen zukünftiger Koalitionspolitik sein, und damit muss jetzt angefangen werden.	Future coalition policy must be characterised by sustainable development and participation by local actors, and we must make a start on this now.
